SMILES,CID,real_space,SCR,BB,extended_real_space
O=C(CCl)N1CCN(S(=O)(=O)c2ccc(F)c(F)c2)CC1,ABB-MCD-f8003a30-1,Z199040726,Z199040726,EN300-22578,False
COc1ccc2[nH]cc(CCNC(C)=O)c2c1,ALE-ACE-2610ee4d-1,False,Z1191880499,EN300-6486827,s_22____4839448____58844
Cc1ccncc1NC(=O)Nc1ccccc1,ALE-HEI-f28a35b5-1,Z1130395550,False,False,s_2430____7867050____4862808
CN1CCN(C(=O)Nc2cccnc2)CC1,ALE-HEI-f28a35b5-16,Z166701880,False,FCH13488461,s_2430____881164____740802
Cc1ccncc1NC(=O)N1CCN(C)CC1,ALE-HEI-f28a35b5-17,Z1531408828,False,False,s_2430____7867050____740802
Cc1nnc(CC(=O)Nc2cnccc2C)s1,ALE-HEI-f28a35b5-3,Z2627791575,False,False,False
Cc1ccncc1NC(=O)CC1CCCCC1,ALE-HEI-f28a35b5-6,Z1129284100,False,False,s_22____3391102____59992
Cc1ccncc1NC(=O)NC1CCCCC1,ALE-HEI-f28a35b5-7,Z1531420463,False,False,s_2430____7867050____740834
O=C(Nc1cccnc1)NC1CCCCC1,ALE-HEI-f28a35b5-8,Z44592328,Z44592328,False,s_2430____881164____740834
O=C(CC1CCCCC1)Nc1cccnc1,ALE-HEI-f28a35b5-9,Z31792168,Z31792168,False,s_22____57778____59992
CC(=O)N1CCN(S(=O)(=O)c2cc(F)cc(F)c2)CC1,ALE-MCD-a1893bfb-1,Z192950298,False,False,s_40____79524____153317
Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O,ALE-UNK-fca05062-1,False,False,EN300-7402887,False
CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,ALE-UNK-fca05062-2,False,False,EN300-119505,False
