SMILES,CID,link
CCC(=O)NC[C@@H]1C[C@H]1c1ccccc1,ANT-OPE-6a16a9ad-1,https://covid.postera.ai/covid/submissions/ANT-OPE-6a16a9ad
COc1ccc(-c2cccc(S(=O)(=O)N3CCN(C(C)=O)CC3)c2)cc1,ANT-OPE-7824651a-1,https://covid.postera.ai/covid/submissions/ANT-OPE-7824651a
O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cccc(Cl)c1,CHR-SOS-7098f804-2,https://covid.postera.ai/covid/submissions/CHR-SOS-7098f804
O=C(Nc1cnccc1Cl)c1cccc(Cl)c1,CHR-SOS-7098f804-21,https://covid.postera.ai/covid/submissions/CHR-SOS-7098f804
O=C(CC1(c2ccccc2)CCCC1)Nc1cccnc1,CHR-SOS-f7373dd1-4,https://covid.postera.ai/covid/submissions/CHR-SOS-f7373dd1
O=C(Nc1nnc(-c2ccccn2)o1)C1CCN(S(=O)(=O)c2ccc(F)cc2)CC1,DRA-CSI-7ec17797-18,https://covid.postera.ai/covid/submissions/DRA-CSI-7ec17797
N#Cc1cccc(C(=O)Nc2ncc([N+](=O)[O-])s2)c1,GAB-FAC-0d239413-1,https://covid.postera.ai/covid/submissions/GAB-FAC-0d239413
O=C(C1CCN(c2ccncc2)CC1)N1CCCCC1,GIA-UNK-30c7cb75-1,https://covid.postera.ai/covid/submissions/GIA-UNK-30c7cb75
CC(=O)N1CCN(C(=O)Cc2ccccn2)CC1,JON-UIO-066ce08b-3,https://covid.postera.ai/covid/submissions/JON-UIO-066ce08b
CN1CCCC1c1cccnc1,KTA-UNK-dac325de-1,https://covid.postera.ai/covid/submissions/KTA-UNK-dac325de
CC(=O)OC1CC(C)CCC1C(C)C,MAK-UNK-0cb6a3ad-6,https://covid.postera.ai/covid/submissions/MAK-UNK-0cb6a3ad
C[C@H]1CC[C@H](CC(=O)Nc2cccnc2)CC1,MED-UNK-e6e8ef8a-3,https://covid.postera.ai/covid/submissions/MED-UNK-e6e8ef8a
O=C(Cc1ccccc1)Nc1cccnc1,SAN-PRS-52b81272-2,https://covid.postera.ai/covid/submissions/SAN-PRS-52b81272
Cc1ccncc1NC(=O)Cc1ccccc1,TRY-UNI-714a760b-5,https://covid.postera.ai/covid/submissions/TRY-UNI-714a760b
