SMILES,CID,IN_STOCK_or_QUICK,ON_DEMAND,URLS
Clc1ccc(Cn2c(CN3CCCC3)nc3ccccc32)cc1,AME-NAT-624-1,True,True,"['https://www.molport.com/shop/molecule-link/MolPort-000-411-312', 'https://www.molport.com/shop/molecule-link/MolPort-000-411-312', 'https://www.molport.com/shop/molecule-link/MolPort-003-940-752', 'https://mcule.com/MCULE-2180061700/', 'https://mcule.com/MCULE-7107653430/', 'https://mcule.com/MCULE-2180061700/', 'https://mcule.com/MCULE-7107653430/', 'http://www.sigmaaldrich.com/catalog/search?term=SML1447|SIGMA&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=SML1447&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'https://www.molport.com/shop/molecule-link/MolPort-003-940-752']"
CCOC(=O)C(=O)Nc1cc(OC)c(OC)c(OC)c1,ANT-LOU-17a-3,True,True,"['https://mcule.com/MCULE-3741003126/', 'https://www.molport.com/shop/molecule-link/MolPort-002-303-513']"
C=CC(=O)N1CCN(Cc2ccc(F)cc2)CC1,ANT-OPE-d97-1,True,True,['https://www.molport.com/shop/molecule-link/MolPort-046-622-971']
CC12CCC(CC1)C(C)(C)O2,BET-COM-8a5-1,True,True,"['https://www.molport.com/shop/molecule-link/MolPort-003-929-343', 'https://www.molport.com/shop/molecule-link/MolPort-039-339-173', 'http://www.sigmaaldrich.com/catalog/search?term=1268900|USP&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=W246506|ALDRICH&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=C80601|ALDRICH&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=00020590|SIAL&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=29210|SIAL&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=46128|SIAL&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=53801|SIAL&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=95656|SIAL&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=PHR1828|SIAL&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=Y0000176|SIAL&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=00020590&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=1268900&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=29210&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=46128&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=53801&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=95656&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=C80601&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=PHR1828&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=W246506&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=Y0000176&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product']"
O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,CHR-SOS-709-1,True,True,"['https://www.molport.com/shop/molecule-link/MolPort-006-109-233', 'https://www.molport.com/shop/molecule-link/MolPort-039-139-221', 'https://mcule.com/MCULE-9985514311/', 'https://mcule.com/MCULE-9985514311/', 'http://www.sigmaaldrich.com/catalog/search?term=N3510|SIGMA&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=N0560000|SIAL&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=N0560000&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=N3510&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'https://www.molport.com/shop/molecule-link/MolPort-000-181-408', 'https://www.molport.com/shop/molecule-link/MolPort-000-181-408', 'https://www.molport.com/shop/molecule-link/MolPort-006-109-233']"
O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cccc(Cl)c1,CHR-SOS-709-2,True,True,['https://mcule.com/MCULE-7195431626/']
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O,DAV-UNI-bdc-1,True,True,"['https://www.molport.com/shop/molecule-link/MolPort-002-885-877', 'https://www.molport.com/shop/molecule-link/MolPort-023-335-629', 'https://mcule.com/MCULE-9377211268/', 'https://mcule.com/MCULE-1466631069/', 'https://mcule.com/MCULE-6391365404/', 'https://mcule.com/MCULE-2089808361/', 'https://mcule.com/MCULE-2836937026/', 'https://mcule.com/MCULE-2950373497/', 'https://mcule.com/MCULE-1466631069/', 'https://mcule.com/MCULE-6391365404/', 'http://www.sigmaaldrich.com/catalog/search?term=CDS020548|ALDRICH&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=CDS020548&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'https://www.molport.com/shop/molecule-link/MolPort-003-666-389', 'https://www.molport.com/shop/molecule-link/MolPort-023-335-629', 'http://www.sigmaaldrich.com/catalog/search?term=CDS020548|ALDRICH&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=CDS020548&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'https://www.molport.com/shop/molecule-link/MolPort-002-885-877', 'https://www.molport.com/shop/molecule-link/MolPort-003-666-389', 'https://www.molport.com/shop/molecule-link/MolPort-044-723-642']"
O=C(O)c1c[nH]c2cc(F)ccc2c1=O,DEN-EUR-293-1,True,True,"['https://mcule.com/MCULE-9461127067/', 'https://mcule.com/MCULE-9461127067/', 'https://www.molport.com/shop/molecule-link/MolPort-004-804-422']"
CC(C)C[C@@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)OCc1ccccc1)C(=O)NCC(N)=O,FAR-UNI-124-1,True,True,['https://www.molport.com/shop/molecule-link/MolPort-002-508-723']
N=C(N)NCCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1)C(=O)O,FAR-UNI-9a7-1,True,True,['https://www.molport.com/shop/molecule-link/MolPort-002-511-949']
CSCC(=O)N1CC[C@H](NC(=O)Nc2ccc(F)cc2F)[C@H]1C(=O)N(C)CC(N)=O,FAR-UNI-736-11,True,True,['https://www.molport.com/shop/molecule-link/MolPort-001-749-159']
NC(=O)CC[C@@H]1N[C@@]2(C(=O)Nc3c(Cl)cccc32)[C@@H]2C(=O)N(Cc3ccc4c(c3)OCO4)C(=O)[C@H]12,FAR-UNI-9a7-3,True,True,['https://www.molport.com/shop/molecule-link/MolPort-002-532-086']
CCCCOc1ccc(NC(=O)Nc2ncc([N+](=O)[O-])s2)cc1,GAB-FAC-da1-1,True,True,['https://www.molport.com/shop/molecule-link/MolPort-046-683-838']
CCOC(=O)C(c1c(O)c2ccccc2oc1=O)c1c(O)c2ccccc2oc1=O,GER-UNI-9e0-1,True,True,"['https://www.molport.com/shop/molecule-link/MolPort-001-785-568', 'https://www.molport.com/shop/molecule-link/MolPort-001-785-568', 'https://mcule.com/MCULE-8709308438/']"
N[C@H]1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@H]12,GER-UNI-c28-1,True,True,"['https://www.molport.com/shop/molecule-link/MolPort-005-935-608', 'https://www.molport.com/shop/molecule-link/MolPort-035-395-403', 'http://www.sigmaaldrich.com/catalog/search?term=PZ0015|SIGMA&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=PZ0015&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product']"
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,GER-UNI-cad-1,True,True,"['https://mcule.com/MCULE-1215564244/', 'https://mcule.com/MCULE-1215564244/', 'http://www.sigmaaldrich.com/catalog/search?term=A8800|SIGMA&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=611026|SIAL&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=A0357000|SIAL&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=A-903|CERILLIAN&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=611026&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=A0357000&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=A8800&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=A-903&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product']"
O=C(O)c1cn(-c2ccc(F)cc2)c2cc(N3CCNCC3)c(F)cc2c1=O,GER-UNI-cae-1,True,True,"['https://mcule.com/MCULE-6661335977/', 'https://mcule.com/MCULE-8937074288/', 'https://mcule.com/MCULE-6661335977/', 'https://mcule.com/MCULE-8937074288/', 'http://www.sigmaaldrich.com/catalog/search?term=33497&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'https://www.molport.com/shop/molecule-link/MolPort-003-666-635', 'https://www.molport.com/shop/molecule-link/MolPort-003-850-226', 'https://www.molport.com/shop/molecule-link/MolPort-003-666-635', 'https://www.molport.com/shop/molecule-link/MolPort-003-850-226']"
N#Cc1ccccc1-c1cc(-c2ccccn2)cn(-c2ccccc2)c1=O,GER-UNI-cfb-1,True,True,"['https://www.molport.com/shop/molecule-link/MolPort-035-395-270', 'https://www.molport.com/shop/molecule-link/MolPort-035-395-270', 'https://mcule.com/MCULE-6282665861/', 'https://mcule.com/MCULE-6282665861/']"
