SMILES,CID,creator,rationale,fragments,real_space,SCR,BB,link,covalent_frag
Cc1nnc(CC(=O)Nc2cccnc2)s1,ALE-HEI-f28-5,"Alexander Minges, Heinrich Heine University Düsseldorf","Fragments were chosen and merged based on visual inspection. Three-dimensional models were obtained and energy-minimised using RDkit and used for docking with smina (AutoDock vina-derived software, vinardo scoring function). See notes section for SMILE strings ranked by binding affinity according to docking.","x0107,x0395,x0434,x0678,x0967,x0991,x1093",False,False,False,https://covid.postera.ai/covid/submissions/ALE-HEI-f28,False
O=C(Cn1c(-c2cccc(Cl)c2Cl)nc2ccccc21)Nc1ccnnc1,BAR-COM-4e0-13,"Bart Lenselink, compchemist","Virtual screen on enamine REAL:
https://docs.google.com/document/d/1IZIsCPIoNvEXNFxqCvPKpFO3_Xu_xxR5BqfIj_jTWBE
Poses/data can be found in the drive folder.",x0434,False,False,False,https://covid.postera.ai/covid/submissions/BAR-COM-4e0,False
O=C(Cc1cccnc1Cl)Nc1cccc(OCCc2ccccc2)c1,BAR-COM-4e0-15,"Bart Lenselink, compchemist","Virtual screen on enamine REAL:
https://docs.google.com/document/d/1IZIsCPIoNvEXNFxqCvPKpFO3_Xu_xxR5BqfIj_jTWBE
Poses/data can be found in the drive folder.",x0434,False,False,False,https://covid.postera.ai/covid/submissions/BAR-COM-4e0,False
Cc1cncc(N(Cc2ncc[nH]2)C(=O)Cn2c(-c3scnc3C)nc3ccccc32)c1,BAR-COM-4e0-32,"Bart Lenselink, compchemist","Virtual screen on enamine REAL:
https://docs.google.com/document/d/1IZIsCPIoNvEXNFxqCvPKpFO3_Xu_xxR5BqfIj_jTWBE
Poses/data can be found in the drive folder.",x0434,False,False,False,https://covid.postera.ai/covid/submissions/BAR-COM-4e0,False
O=C(Cc1cncnc1)Nc1cccc(OC2CC(=O)N2)c1,BAR-COM-4e0-39,"Bart Lenselink, compchemist","Virtual screen on enamine REAL:
https://docs.google.com/document/d/1IZIsCPIoNvEXNFxqCvPKpFO3_Xu_xxR5BqfIj_jTWBE
Poses/data can be found in the drive folder.",x0434,False,False,False,https://covid.postera.ai/covid/submissions/BAR-COM-4e0,False
Cc1noc(CC(NC(=O)NC(c2cncc(Br)c2)C2CC2)c2ccccc2)n1,BAR-COM-4e0-46,"Bart Lenselink, compchemist","Virtual screen on enamine REAL:
https://docs.google.com/document/d/1IZIsCPIoNvEXNFxqCvPKpFO3_Xu_xxR5BqfIj_jTWBE
Poses/data can be found in the drive folder.",x0434,False,False,False,https://covid.postera.ai/covid/submissions/BAR-COM-4e0,False
O=C(NCc1cncs1)Nc1cccc(N2CCOCC2)c1,BAR-COM-4e0-58,"Bart Lenselink, compchemist","Virtual screen on enamine REAL:
https://docs.google.com/document/d/1IZIsCPIoNvEXNFxqCvPKpFO3_Xu_xxR5BqfIj_jTWBE
Poses/data can be found in the drive folder.",x0434,False,False,False,https://covid.postera.ai/covid/submissions/BAR-COM-4e0,False
CC(=O)N1CCCC1C(=O)NCC(NC(=O)Cn1cncn1)c1ccccc1,BAR-COM-4e0-59,"Bart Lenselink, compchemist","Virtual screen on enamine REAL:
https://docs.google.com/document/d/1IZIsCPIoNvEXNFxqCvPKpFO3_Xu_xxR5BqfIj_jTWBE
Poses/data can be found in the drive folder.",x0434,False,False,False,https://covid.postera.ai/covid/submissions/BAR-COM-4e0,False
O=C(Nc1cccc(-c2cc[nH]n2)c1)C(O)c1cccnc1,BAR-COM-4e0-68,"Bart Lenselink, compchemist","Virtual screen on enamine REAL:
https://docs.google.com/document/d/1IZIsCPIoNvEXNFxqCvPKpFO3_Xu_xxR5BqfIj_jTWBE
Poses/data can be found in the drive folder.",x0434,False,False,False,https://covid.postera.ai/covid/submissions/BAR-COM-4e0,False
O=C(CC1(c2ccccc2)CCCC1)Nc1cccnc1,CHR-SOS-f73-4,"Chris de Graaf, Sosei Heptares","Structure-Based Design:
- Combination X_0678 and X0946 without sulphonamide
- Combination X_0678 and pyridine version X0946 without sulphonamide
- Combination X_0678 and methylthiazole isostere version X0946 without sulphonamide
- Combination cyclopentyl version X_0678 and X0946 without sulphonamide
- Combination cyclopentyl version X_0678 and pyridine version X0946 without sulphonamide
- Combination cyclopentyl version X_0678 and methylthiazole isostere version X0946 without sulfonamide","x0678,x0946",False,False,False,https://covid.postera.ai/covid/submissions/CHR-SOS-f73,False
N#Cc1cncc(CC(=O)Nc2cccnc2)c1,DAR-DIA-23a-17,"Daren Fearon, Diamond Light Source Ltd",Introduction of aromatic ring with nitrile/chloro substituent at one end of molecule following overlay of x0305/x1249/104 with x0434/x0678/x1093/x0995.,"x0104,x0305,x0434,x0678,x0995,x1093,x1249",False,False,False,https://covid.postera.ai/covid/submissions/DAR-DIA-23a,False
Cc1ccc(NCc2cc(NC(=O)OC(C)(C)C)ccc2Br)cn1,FRA-BIO-8bf-6,"Franca Klingler, BioSolveIT","We applied a new approach named ""Chemical Space Docking"" to mine Enamine's REAL Space for compounds with a high potential to be good binders. REAL Space is based on reliable reactions and off-the-shelf building blocks from Enamine. It contains billions of molecules, which prohibits brute-force docking. Our new method exploits an anchor-and-grow strategy that circumvents the problem of the combinatorial explosion.

Our Chemical Space Docking was performed using 4 non-covalent fragment binders as starting-points. This led to almost 2 mio molecules and a total of 8 million docking poses. These were scored and filtered followed by visual selection of 13 molecules from the top of the list.","x0107,x0434,x0874,x0995",False,False,False,https://covid.postera.ai/covid/submissions/FRA-BIO-8bf,False
C#Cc1ccc(CNC(=O)N2CCOCC2)cc1,PAT-GYR-359-1,"Patrick Killoran, GyreOx",Expanding fragment x1249,x1249,False,False,False,https://covid.postera.ai/covid/submissions/PAT-GYR-359,False
