SMILES,CID,frag_ID,fragalysis_link
CS(=O)(=O)NCCc1ccccc1,AAR-POS-d2a4d1df-1,x0072,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
O=C(NCCc1ccncc1)c1ccccc1F,AAR-POS-d2a4d1df-10,x0426,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
O=C(Nc1ccccc1)Nc1cccnc1,AAR-POS-d2a4d1df-11,x0434,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
O=C(NCCc1ccncc1)NC1CCCCC1,AAR-POS-d2a4d1df-12,x0540,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
O=C(CC1CCCCC1)Nc1cccnc1,AAR-POS-d2a4d1df-13,x0678,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
NC(=O)[C@H]1CCC[C@H]1c1ccsc1,AAR-POS-d2a4d1df-14,x0874,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
NS(=O)(=O)c1ccc(Br)cc1,AAR-POS-d2a4d1df-15,x0946,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
CC(=O)NC(Cc1ccc(O)cc1)C(=O)NCC#CBr,AAR-POS-d2a4d1df-16,x0967,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
CCC(=N)N,AAR-POS-d2a4d1df-17,x0991,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
Nc1cncnc1,AAR-POS-d2a4d1df-18,x0995,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
N#Cc1ccc(N2CCCOCC2)cn1,AAR-POS-d2a4d1df-19,x1077,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
CC(=O)NCCc1c[nH]c2ccc(F)cc12,AAR-POS-d2a4d1df-2,x0104,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
CN1CCN(C(=O)Cc2c[nH]c3ncccc23)CC1,AAR-POS-d2a4d1df-20,x1093,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
N#Cc1ccc(CNC(=O)N2CCOCC2)cc1,AAR-POS-d2a4d1df-21,x1249,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
O=C(CCl)N1CCN(S(=O)(=O)c2cccs2)CC1,AAR-POS-d2a4d1df-22,x0689,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
O=C(CCl)N1CCN(S(=O)(=O)c2cccc(F)c2)CC1,AAR-POS-d2a4d1df-23,x0691,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
Cc1cccc(CN2CCN(C(=O)CCl)CC2)c1,AAR-POS-d2a4d1df-24,x0692,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro
