SMILES,CID,creator,rationale,fragments,link,real_space,SCR,BB,extended_real_space,in_molport_or_mcule,in_ultimate_mcule,in_emolecules,covalent_frag,covalent_warhead,acrylamide,acrylamide_adduct,chloroacetamide,chloroacetamide_adduct,vinylsulfonamide,vinylsulfonamide_adduct,nitrile,nitrile_adduct,MW,cLogP,HBD,HBA,TPSA,num_criterion_violations,BMS,Dundee,Glaxo,Inpharmatica,LINT,MLSMR,PAINS,SureChEMBL,PostEra,ORDERED,MADE,ASSAYED
O=C(CCl)Nc1cccc(N2CCCC2=O)c1,AAR-POS-0daf6b7e-11,"Aaron Morris, PostEra",Second batch of submissions of fragments in order to generate Moonshot CID,x0072,https://covid.postera.ai/covid/submissions/AAR-POS-0daf6b7e,Z199423638,False,EN300-24592,m_270062____7596708____8147258,False,False,False,False,True,False,False,True,False,False,False,False,False,252.701,1.9907,1,2,49.41,0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,True,True,False
O=C(CCl)N1CCN(Cc2ccsc2)CC1,AAR-POS-0daf6b7e-13,"Aaron Morris, PostEra",Second batch of submissions of fragments in order to generate Moonshot CID,x0072,https://covid.postera.ai/covid/submissions/AAR-POS-0daf6b7e,Z1562120350,False,False,m_270062____7596486____8147258,False,False,False,False,True,False,False,True,False,False,False,False,False,258.77400000000006,1.6311000000000002,0,3,23.550000000000004,0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,True,True,False
O=C(CCl)N1CCN(Cc2cccs2)CC1,AAR-POS-0daf6b7e-17,"Aaron Morris, PostEra",Second batch of submissions of fragments in order to generate Moonshot CID,x0072,https://covid.postera.ai/covid/submissions/AAR-POS-0daf6b7e,Z1562120010,False,False,m_270062____7596146____8147258,False,False,False,False,True,False,False,True,False,False,False,False,False,258.77400000000006,1.6311000000000002,0,3,23.550000000000004,0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,True,True,False
CC(C)N(C)C(=O)C1CCN(C(=O)CCl)CC1,AAR-POS-0daf6b7e-19,"Aaron Morris, PostEra",Second batch of submissions of fragments in order to generate Moonshot CID,x0072,https://covid.postera.ai/covid/submissions/AAR-POS-0daf6b7e,False,Z561717446,EN300-47990,False,False,False,False,False,True,False,False,True,False,False,False,False,False,260.765,1.3305999999999998,0,2,40.62000000000001,0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,True,True,True
O=C(CCl)N1CCC(C(=O)N2CCCCC2)CC1,AAR-POS-0daf6b7e-9,"Aaron Morris, PostEra",Second batch of submissions of fragments in order to generate Moonshot CID,x0072,https://covid.postera.ai/covid/submissions/AAR-POS-0daf6b7e,False,Z291278798,EN300-46675,False,False,False,False,False,True,False,False,True,False,False,False,False,False,272.776,1.4763,0,2,40.62000000000001,0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,True,True,True
COc1ccc(NC(=O)C2CCN(C(=O)CCl)CC2)cn1,AAR-POS-5507155c-2,"Aaron Morris, PostEra",Final set of fragments so we can generate moonshot CID,x0072,https://covid.postera.ai/covid/submissions/AAR-POS-5507155c,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,311.76900000000006,1.5060999999999998,1,4,71.53,0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,True,True,True
O=C(CCl)N1CCN(S(=O)(=O)c2cccs2)CC1,AAR-POS-d2a4d1df-22,"Aaron Morris, PostEra",First batch of fragments so we have a Moonshot CID for them,x0072,https://covid.postera.ai/covid/submissions/AAR-POS-d2a4d1df,Z212045150,False,EN300-23037,False,False,False,False,False,True,False,False,True,False,False,False,False,False,308.8120000000001,0.8197999999999999,0,4,57.69000000000001,0,PASS,PASS,PASS,PASS,PASS,Hetero_hetero,PASS,PASS,PASS,True,True,False
O=C(CCl)N1CCN(S(=O)(=O)c2cccc(F)c2)CC1,AAR-POS-d2a4d1df-23,"Aaron Morris, PostEra",First batch of fragments so we have a Moonshot CID for them,x0072,https://covid.postera.ai/covid/submissions/AAR-POS-d2a4d1df,Z147647642,False,EN300-22860,False,False,False,False,False,True,False,False,True,False,False,False,False,False,320.77300000000014,0.8973999999999999,0,3,57.69000000000001,0,PASS,PASS,PASS,PASS,PASS,Hetero_hetero,PASS,PASS,PASS,True,True,False
O=C(CCl)N1CCN(S(=O)(=O)c2c(F)cccc2F)CC1,AAR-POS-d2a4d1df-32,"Aaron Morris, PostEra",First batch of fragments so we have a Moonshot CID for them,x0072,https://covid.postera.ai/covid/submissions/AAR-POS-d2a4d1df,Z212045114,False,EN300-22862,False,False,False,False,False,True,False,False,True,False,False,False,False,False,338.7630000000001,1.0365000000000002,0,3,57.69000000000001,0,PASS,PASS,PASS,PASS,PASS,Hetero_hetero,PASS,PASS,PASS,True,True,False
CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12,AAR-POS-fca48359-19,"Aaron Morris, PostEra",Similar compounds found in VITAS dataset to other Moonshot submissions.,x0072,https://covid.postera.ai/covid/submissions/AAR-POS-fca48359,False,Z1814381791,EN300-120629,False,False,False,False,False,False,False,False,False,False,False,False,False,False,273.719,4.162600000000002,2,1,53.09,0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,True,True,True
