SMILES,CID,creator,rationale,fragments,link,real_space,SCR,BB,extended_real_space,in_molport_or_mcule,in_ultimate_mcule,in_emolecules,covalent_frag,covalent_warhead,acrylamide,acrylamide_adduct,chloroacetamide,chloroacetamide_adduct,vinylsulfonamide,vinylsulfonamide_adduct,nitrile,nitrile_adduct,MW,cLogP,HBD,HBA,TPSA,num_criterion_violations,BMS,Dundee,Glaxo,Inpharmatica,LINT,MLSMR,PAINS,SureChEMBL,PostEra
O=C(CCl)Nc1cccc(N2CCCC2=O)c1,AAR-POS-0daf6b7e-11,"Aaron Morris, PostEra",Second batch of submissions of fragments in order to generate Moonshot CID,x0072,https://covid.postera.ai/covid/submissions/AAR-POS-0daf6b7e,Z199423638,False,EN300-24592,m_270062____7596708____8147258,False,False,False,False,True,False,False,True,False,False,False,False,False,252.701,1.9907,1,2,49.41,0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
O=C(CCl)N1CCN(Cc2ccsc2)CC1,AAR-POS-0daf6b7e-13,"Aaron Morris, PostEra",Second batch of submissions of fragments in order to generate Moonshot CID,x0072,https://covid.postera.ai/covid/submissions/AAR-POS-0daf6b7e,Z1562120350,False,False,m_270062____7596486____8147258,False,False,False,False,True,False,False,True,False,False,False,False,False,258.77400000000006,1.6311000000000002,0,3,23.550000000000004,0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
O=C(CCl)N1CCN(Cc2cccs2)CC1,AAR-POS-0daf6b7e-17,"Aaron Morris, PostEra",Second batch of submissions of fragments in order to generate Moonshot CID,x0072,https://covid.postera.ai/covid/submissions/AAR-POS-0daf6b7e,Z1562120010,False,False,m_270062____7596146____8147258,False,False,False,False,True,False,False,True,False,False,False,False,False,258.77400000000006,1.6311000000000002,0,3,23.550000000000004,0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
COc1ccc(NC(=O)C2CCN(C(=O)CCl)CC2)cn1,AAR-POS-5507155c-2,"Aaron Morris, PostEra",Final set of fragments so we can generate moonshot CID,x0072,https://covid.postera.ai/covid/submissions/AAR-POS-5507155c,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,311.76900000000006,1.5060999999999998,1,4,71.53,0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
COc1ccc(NC(=O)C2CCN(C(=O)CCl)CC2)cn1,AAR-POS-f650c5f2-4,"Aaron Morris, PostEra",Missing fragalysis structures,x0072,https://covid.postera.ai/covid/submissions/AAR-POS-f650c5f2,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,311.76900000000006,1.5060999999999998,1,4,71.53,0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
N#Cc1ncccc1NC(=O)Cc1cccc(Cl)c1,AGN-NEW-c7b24fe3-4,"Agnieszka K. Bronowska, Newcastle University","Structure-guided design, navigating on fragments (non-covalent) available via Enamine REAL space.",x0434,https://covid.postera.ai/covid/submissions/AGN-NEW-c7b24fe3,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,271.707,2.787880000000001,1,3,65.78,0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
O=S1(=O)CCC(N2CCN(c3nc(-c4cccnc4)nc4ccccc34)CC2)C1,AUS-ARG-7cfdce8f-15,"Austin Clyde, Argonne National Laboratory","We performed docking against all provided MPro structures and aggregated the results by assigning a exponential hit curve to each target's ranking and averaging those ranking. In some sense, we imagine it as docking against a representative account of the states of a protein. I selected the top ten 13 hits to upload.",x0678,https://covid.postera.ai/covid/submissions/AUS-ARG-7cfdce8f,Z90167687,Z90167687,False,s_27____115719____61058,False,False,False,False,False,False,False,False,False,False,False,False,False,409.51500000000016,2.0009,0,7,79.29,0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
O=C(NCc1cnn2ccccc12)c1cccnc1OCCO,BAR-COM-4e090d3a-40,"Bart Lenselink, compchemist","Virtual screen on enamine REAL:
https://docs.google.com/document/d/1IZIsCPIoNvEXNFxqCvPKpFO3_Xu_xxR5BqfIj_jTWBE
Poses/data can be found in the drive folder.",x0434,https://covid.postera.ai/covid/submissions/BAR-COM-4e090d3a,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,312.3290000000001,1.0303999999999998,2,6,88.75000000000001,0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
O=C(NCc1cnn2ccccc12)c1cccnc1OCCO,BAR-COM-4e090d3a-41,"Bart Lenselink, compchemist","Virtual screen on enamine REAL:
https://docs.google.com/document/d/1IZIsCPIoNvEXNFxqCvPKpFO3_Xu_xxR5BqfIj_jTWBE
Poses/data can be found in the drive folder.",x0434,https://covid.postera.ai/covid/submissions/BAR-COM-4e090d3a,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,312.3290000000001,1.0303999999999998,2,6,88.75000000000001,0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
O=C(NCc1ccno1)c1ccccc1Oc1ccc(Cl)cc1Cl,BAR-COM-4e090d3a-42,"Bart Lenselink, compchemist","Virtual screen on enamine REAL:
https://docs.google.com/document/d/1IZIsCPIoNvEXNFxqCvPKpFO3_Xu_xxR5BqfIj_jTWBE
Poses/data can be found in the drive folder.",x0434,https://covid.postera.ai/covid/submissions/BAR-COM-4e090d3a,Z1673773262,False,False,s_527____8331890____2009458,False,False,False,False,False,False,False,False,False,False,False,False,False,363.20000000000016,4.703700000000002,1,4,64.36,0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
