SMILES,CID,creator,rationale,fragments,link,real_space,SCR,BB,extended_real_space,in_molport_or_mcule,in_ultimate_mcule,in_emolecules,covalent_frag,covalent_warhead,acrylamide,acrylamide_adduct,chloroacetamide,chloroacetamide_adduct,vinylsulfonamide,vinylsulfonamide_adduct,nitrile,nitrile_adduct,MW,cLogP,HBD,HBA,TPSA,num_criterion_violations,BMS,Dundee,Glaxo,Inpharmatica,LINT,MLSMR,PAINS,SureChEMBL,PostEra
CCN(Cc1cccc(-c2ccncc2)c1)C(=O)Cn1nnc2ccccc21,AAR-POS-8a4e0f60-1,"Aaron Morris, PostEra",Prior SARS inhibitors that are present in Enamine Real Space. See here: https://discuss.postera.ai/t/a-brief-exploration-of-past-sars-small-molecule-inhibitors/895/22?u=aaron.morris,x0072,https://covid.postera.ai/covid/submissions/AAR-POS-8a4e0f60,Z1260533612,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,371.4440000000001,3.5420000000000025,0,5,63.91,0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
O=C(Cn1nnc2ccccc21)NCc1ccc(Oc2cccnc2)c(F)c1,AAR-POS-8a4e0f60-10,"Aaron Morris, PostEra",Prior SARS inhibitors that are present in Enamine Real Space. See here: https://discuss.postera.ai/t/a-brief-exploration-of-past-sars-small-molecule-inhibitors/895/22?u=aaron.morris,x0072,https://covid.postera.ai/covid/submissions/AAR-POS-8a4e0f60,Z826180044,False,False,s_22____1723102____13206668,False,False,False,False,False,False,False,False,False,False,False,False,False,377.3790000000001,3.0741000000000014,1,6,81.93,0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
CN(Cc1nnc2ccccn12)C(=O)N(Cc1cccs1)c1ccc(Br)cc1,AAR-POS-8a4e0f60-11,"Aaron Morris, PostEra",Prior SARS inhibitors that are present in Enamine Real Space. See here: https://discuss.postera.ai/t/a-brief-exploration-of-past-sars-small-molecule-inhibitors/895/22?u=aaron.morris,x0072,https://covid.postera.ai/covid/submissions/AAR-POS-8a4e0f60,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,456.36900000000014,4.811900000000004,0,5,53.74000000000001,0,PASS,PASS,PASS,Filter9_metal,aryl bromide,PASS,PASS,PASS,PASS
CCN(Cc1cccc(-c2ccncc2)c1)C(=O)Cc1noc2ccccc12,AAR-POS-8a4e0f60-2,"Aaron Morris, PostEra",Prior SARS inhibitors that are present in Enamine Real Space. See here: https://discuss.postera.ai/t/a-brief-exploration-of-past-sars-small-molecule-inhibitors/895/22?u=aaron.morris,x0072,https://covid.postera.ai/covid/submissions/AAR-POS-8a4e0f60,Z1260535907,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,371.44000000000017,4.4810000000000025,0,4,59.23,0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
O=C(NCc1noc2ccccc12)N(Cc1cccs1)c1ccc(F)cc1,AAR-POS-8a4e0f60-3,"Aaron Morris, PostEra",Prior SARS inhibitors that are present in Enamine Real Space. See here: https://discuss.postera.ai/t/a-brief-exploration-of-past-sars-small-molecule-inhibitors/895/22?u=aaron.morris,x0072,https://covid.postera.ai/covid/submissions/AAR-POS-8a4e0f60,False,False,False,s_272164____9388766____17338746,False,False,False,False,False,False,False,False,False,False,False,False,False,381.4320000000001,4.944800000000003,1,4,58.37000000000001,0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
CCOCC(=O)NCc1ccc(CNC(=O)Cn2nnc3ccccc32)cc1,AAR-POS-8a4e0f60-4,"Aaron Morris, PostEra",Prior SARS inhibitors that are present in Enamine Real Space. See here: https://discuss.postera.ai/t/a-brief-exploration-of-past-sars-small-molecule-inhibitors/895/22?u=aaron.morris,x0072,https://covid.postera.ai/covid/submissions/AAR-POS-8a4e0f60,False,False,False,m_275592____14114838____13186948____15862234,False,False,False,False,False,False,False,False,False,False,False,False,False,381.43600000000015,1.4004,2,6,98.14,0,PASS,PASS,PASS,PASS,PASS,Long aliphatic chain,PASS,PASS,PASS
COc1ccccc1C(CNC(=O)Cn1nnc2ccccc21)NC(=O)CNc1nccs1,AAR-POS-8a4e0f60-5,"Aaron Morris, PostEra",Prior SARS inhibitors that are present in Enamine Real Space. See here: https://discuss.postera.ai/t/a-brief-exploration-of-past-sars-small-molecule-inhibitors/895/22?u=aaron.morris,x0072,https://covid.postera.ai/covid/submissions/AAR-POS-8a4e0f60,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,465.53900000000016,1.9821999999999989,3,9,123.06,0,PASS,PASS,PASS,PASS,PASS,Long aliphatic chain,PASS,aminothiazole,PASS
COc1cc(OC)cc(Oc2ccc(CNC(=O)Cn3nnc4ccccc43)cc2)c1,AAR-POS-8a4e0f60-6,"Aaron Morris, PostEra",Prior SARS inhibitors that are present in Enamine Real Space. See here: https://discuss.postera.ai/t/a-brief-exploration-of-past-sars-small-molecule-inhibitors/895/22?u=aaron.morris,x0072,https://covid.postera.ai/covid/submissions/AAR-POS-8a4e0f60,Z2044672392,False,False,s_22____9964822____13206668,False,False,False,False,False,False,False,False,False,False,False,False,False,418.45300000000015,3.5572000000000017,1,7,87.5,0,PASS,PASS,PASS,Filter57_polyphenol1,PASS,PASS,PASS,PASS,PASS
CN(C(=O)Cn1nnc2ccccc21)c1ccc(Oc2ccc(C(F)(F)F)cn2)cc1,AAR-POS-8a4e0f60-7,"Aaron Morris, PostEra",Prior SARS inhibitors that are present in Enamine Real Space. See here: https://discuss.postera.ai/t/a-brief-exploration-of-past-sars-small-molecule-inhibitors/895/22?u=aaron.morris,x0072,https://covid.postera.ai/covid/submissions/AAR-POS-8a4e0f60,Z1207302574,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,427.38600000000014,4.3004000000000016,0,6,73.14,0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
CN(Cc1ccc(OCc2cccs2)cc1)C(=O)Cn1nnc2ccccc21,AAR-POS-8a4e0f60-8,"Aaron Morris, PostEra",Prior SARS inhibitors that are present in Enamine Real Space. See here: https://discuss.postera.ai/t/a-brief-exploration-of-past-sars-small-molecule-inhibitors/895/22?u=aaron.morris,x0072,https://covid.postera.ai/covid/submissions/AAR-POS-8a4e0f60,Z929497546,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,392.48400000000015,3.7304000000000017,0,6,60.25,0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
CN(C(=O)Cc1noc2ccccc12)c1ccc(NC(=O)OC(C)(C)C)cc1,AAR-POS-8a4e0f60-9,"Aaron Morris, PostEra",Prior SARS inhibitors that are present in Enamine Real Space. See here: https://discuss.postera.ai/t/a-brief-exploration-of-past-sars-small-molecule-inhibitors/895/22?u=aaron.morris,x0072,https://covid.postera.ai/covid/submissions/AAR-POS-8a4e0f60,Z2721856533,False,False,s_22____12335866____132823,False,False,False,False,False,False,False,False,False,False,False,False,False,381.4320000000001,4.3803000000000045,1,5,84.67,0,PASS,PASS,PASS,PASS,"carbamate, T-boc Protected, carbamate include di-substitued N",PASS,PASS,PASS,PASS
O=C(CC1CCCCC1)Nc1cccnc1,AAR-POS-d2a4d1df-13,"Aaron Morris, PostEra",First batch of fragments so we have a Moonshot CID for them,x0072,https://covid.postera.ai/covid/submissions/AAR-POS-d2a4d1df,Z31792168,Z31792168,False,s_22____57778____59992,False,True,False,False,False,False,False,False,False,False,False,False,False,218.30000000000004,2.9905000000000013,1,2,41.99,0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
Cc1ccc2nc(-c3ccc(N)cc3)sc2c1S(=O)(=O)O,AAR-POS-dddeddbf-1,"Aaron Morris, PostEra","My great ideas; ordered from Maybridge, AK Scientific,",x0072,https://covid.postera.ai/covid/submissions/AAR-POS-dddeddbf,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,320.3950000000001,3.10062,2,5,93.28,0,PASS,"aniline, Sulfonic acid",PASS,PASS,"aniline, S/PO3 groups",Sulfonic acid,PASS,"sulphates, analine",PASS
Cc1cc(S(=O)(=O)c2c([N+](=O)[O-])cc(C(F)(F)F)cc2[N+](=O)[O-])c(Cl)cc1Cl,AAR-POS-dddeddbf-2,"Aaron Morris, PostEra","My great ideas; ordered from Maybridge, AK Scientific,",x0072,https://covid.postera.ai/covid/submissions/AAR-POS-dddeddbf,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,459.1850000000002,4.969820000000001,0,6,120.42000000000002,0,PASS,"nitro group, Oxygen-nitrogen single bond",PASS,PASS,"aromatic NO2, high halogen content (>3)","Dye 16 (1), nitro aromatic 2+",PASS,"Dinitrobenzene_3, Nitro_more_than_one",PASS
Nc1ncc(S(=O)(=O)c2ccc(Cl)cc2)c(N)n1,AAR-POS-dddeddbf-3,"Aaron Morris, PostEra","My great ideas; ordered from Maybridge, AK Scientific,",x0072,https://covid.postera.ai/covid/submissions/AAR-POS-dddeddbf,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,284.728,1.1272000000000004,2,6,111.96,0,PASS,PASS,PASS,PASS,aniline,PASS,PASS,PASS,PASS
O=C(Nc1cc(NC(=O)c2ccccc2)cc(C(=O)Nc2ccc([N+](=O)[O-])cc2)c1)c1ccccc1,AAR-POS-fca48359-1,"Aaron Morris, PostEra",Similar compounds found in VITAS dataset to other Moonshot submissions.,x0072,https://covid.postera.ai/covid/submissions/AAR-POS-fca48359,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,480.48000000000013,5.351700000000003,3,5,130.44000000000003,1,PASS,"nitro group, Oxygen-nitrogen single bond",PASS,PASS,aromatic NO2,"Dye 16 (1), Dye 29",PASS,PASS,PASS
