SMILES,CID,creator,rationale,fragments,real_space,SCR,BB,link,covalent_frag,covalent_warhead,acrylamide,acrylamide_adduct,chloroacetamide,chloroacetamide_adduct,vinylsulfonamide,vinylsulfonamide_adduct,in_molport_or_mcule,in_emolecules
CCNc1ncc(F)cc1CN1CCN(C(=O)CCl)CC1,DAR-DIA-fb2-1,"Daren Fearon, Diamond Light Source Ltd",Merging of x0830 with x0305/x0104 and x0195 to target S1 pocket in addition to Cys145.,"x0104,x0195,x0305,x0830",False,False,False,https://covid.postera.ai/covid/submissions/fb20be43-b2ad-4a19-a5ce-eb2fe8d462e2,True,True,False,False,True,False,False,False,False,False
O=C(CCl)N1CCN(Cc2cc(F)cc3ccccc23)CC1,DAR-DIA-fb2-2,"Daren Fearon, Diamond Light Source Ltd",Merging of x0830 with x0305/x0104 and x0195 to target S1 pocket in addition to Cys145.,"x0104,x0195,x0305,x0830",False,False,False,https://covid.postera.ai/covid/submissions/fb20be43-b2ad-4a19-a5ce-eb2fe8d462e2,True,True,False,False,True,False,False,False,False,False
CCNc1ccc(C#N)cc1CN1CCN(C(=O)CCl)CC1,DAR-DIA-fb2-3,"Daren Fearon, Diamond Light Source Ltd",Merging of x0830 with x0305/x0104 and x0195 to target S1 pocket in addition to Cys145.,"x0104,x0195,x0305,x0830",False,False,False,https://covid.postera.ai/covid/submissions/fb20be43-b2ad-4a19-a5ce-eb2fe8d462e2,True,True,False,False,True,False,False,False,False,False
CCNc1ncc(C#N)cc1CN1CCN(C(=O)CCl)CC1,DAR-DIA-fb2-4,"Daren Fearon, Diamond Light Source Ltd",Merging of x0830 with x0305/x0104 and x0195 to target S1 pocket in addition to Cys145.,"x0104,x0195,x0305,x0830",False,False,False,https://covid.postera.ai/covid/submissions/fb20be43-b2ad-4a19-a5ce-eb2fe8d462e2,True,True,False,False,True,False,False,False,False,False
CCNc1ncc(OC)cc1CN1CCN(C(=O)CCl)CC1,DAR-DIA-fb2-5,"Daren Fearon, Diamond Light Source Ltd",Merging of x0830 with x0305/x0104 and x0195 to target S1 pocket in addition to Cys145.,"x0104,x0195,x0305,x0830",False,False,False,https://covid.postera.ai/covid/submissions/fb20be43-b2ad-4a19-a5ce-eb2fe8d462e2,True,True,False,False,True,False,False,False,False,False
N#Cc1cc(CN2CCN(C(=O)CCl)CC2)c2ccccc2c1,DAR-DIA-fb2-6,"Daren Fearon, Diamond Light Source Ltd",Merging of x0830 with x0305/x0104 and x0195 to target S1 pocket in addition to Cys145.,"x0104,x0195,x0305,x0830",False,False,False,https://covid.postera.ai/covid/submissions/fb20be43-b2ad-4a19-a5ce-eb2fe8d462e2,True,True,False,False,True,False,False,False,False,False
COc1cc(CN2CCN(C(=O)CCl)CC2)c2ccccc2c1,DAR-DIA-fb2-7,"Daren Fearon, Diamond Light Source Ltd",Merging of x0830 with x0305/x0104 and x0195 to target S1 pocket in addition to Cys145.,"x0104,x0195,x0305,x0830",False,False,False,https://covid.postera.ai/covid/submissions/fb20be43-b2ad-4a19-a5ce-eb2fe8d462e2,True,True,False,False,True,False,False,False,False,False
O=C(CCl)N1CCN(Cc2cc(Cl)cc3ccccc23)CC1,DAR-DIA-fb2-8,"Daren Fearon, Diamond Light Source Ltd",Merging of x0830 with x0305/x0104 and x0195 to target S1 pocket in addition to Cys145.,"x0104,x0195,x0305,x0830",False,False,False,https://covid.postera.ai/covid/submissions/fb20be43-b2ad-4a19-a5ce-eb2fe8d462e2,True,True,False,False,True,False,False,False,False,False
NS(=O)(=O)c1ccc2c(CN3CCN(C(=O)CCl)CC3)cccc2c1,DAR-DIA-fb2-9,"Daren Fearon, Diamond Light Source Ltd",Merging of x0830 with x0305/x0104 and x0195 to target S1 pocket in addition to Cys145.,"x0104,x0195,x0305,x0830",False,False,False,https://covid.postera.ai/covid/submissions/fb20be43-b2ad-4a19-a5ce-eb2fe8d462e2,True,True,False,False,True,False,False,False,False,False
CC(=O)NCCC1=CCc2c(CN3CCN(C(=O)CCl)CC3)cc(F)cc21,DAR-DIA-fb2-10,"Daren Fearon, Diamond Light Source Ltd",Merging of x0830 with x0305/x0104 and x0195 to target S1 pocket in addition to Cys145.,"x0104,x0195,x0305,x0830",False,False,False,https://covid.postera.ai/covid/submissions/fb20be43-b2ad-4a19-a5ce-eb2fe8d462e2,True,True,False,False,True,False,False,False,False,False
