SMILES,CID,canonical_CID,old_CID,inchikey,short_inchikey
CN1CCCC1c1cccnc1,KTA-UNK-dac325de-1,KTA-UNK-dac325de-1,K. -UNK-dac-1,SNICXCGAKADSCV-UHFFFAOYSA-N,SNICXCGAKADSCV
c1ccc2[nH]ccc2c1,KTA-UNK-dac325de-2,KTA-UNK-dac325de-2,K. -UNK-dac-2,SIKJAQJRHWYJAI-UHFFFAOYSA-N,SIKJAQJRHWYJAI
c1ccncc1,KTA-UNK-dac325de-3,KTA-UNK-dac325de-3,K. -UNK-dac-3,JUJWROOIHBZHMG-UHFFFAOYSA-N,JUJWROOIHBZHMG
CC(=O)NCCc1c[nH]c2c(CCNS(C)(=O)=O)cc(F)cc12,ELE-IMP-dfb36048-1,ELE-IMP-dfb36048-1,ELE-IMP-dfb-1,XNAQQFQHDABOLB-UHFFFAOYSA-N,XNAQQFQHDABOLB
CC(=O)NCCc1c[nH]c2c(CCNS(C)(=O)=O)cccc12,ELE-IMP-dfb36048-2,ELE-IMP-dfb36048-2,ELE-IMP-dfb-2,MTAWMSNRFRVSDK-UHFFFAOYSA-N,MTAWMSNRFRVSDK
CC(=O)N1CCc2c([nH]c3c(CCNS(C)(=O)=O)cccc23)C1,ELE-IMP-dfb36048-3,ELE-IMP-dfb36048-3,ELE-IMP-dfb-3,VNNGGGFLNSSYEP-UHFFFAOYSA-N,VNNGGGFLNSSYEP
CS(=O)(=O)NCCc1cccc2c3c([nH]c12)CN(S(C)(=O)=O)CC3,ELE-IMP-dfb36048-4,ELE-IMP-dfb36048-4,ELE-IMP-dfb-4,MKGFMJGATQCXIH-UHFFFAOYSA-N,MKGFMJGATQCXIH
CS(=O)(=O)NCCc1c[nH]c2c(CCNS(C)(=O)=O)cccc12,ELE-IMP-dfb36048-5,ELE-IMP-dfb36048-5,ELE-IMP-dfb-5,MHZGZVKNCWBSDI-UHFFFAOYSA-N,MHZGZVKNCWBSDI
NS(=O)(=O)c1cc2cc(F)ccc2[nH]1,ELE-IMP-dfb36048-6,ELE-IMP-dfb36048-6,ELE-IMP-dfb-6,SVEBDZPXCXCWHI-UHFFFAOYSA-N,SVEBDZPXCXCWHI
CS(=O)(=O)NCCc1ccc(C#N)cc1NC(=O)Nc1cccnc1,WAR-XCH-6eb0722e-1,WAR-XCH-6eb0722e-1,WAR-XCH-6eb-1,FITRPXQIMBHMAT-UHFFFAOYSA-N,FITRPXQIMBHMAT
CS(=O)(=O)NCCCc1ccc(Cl)cc1NC(=O)Nc1cccnc1,WAR-XCH-6eb0722e-2,WAR-XCH-6eb0722e-2,WAR-XCH-6eb-2,DSYFUVBTANJMFX-UHFFFAOYSA-N,DSYFUVBTANJMFX
CS(=O)(=O)NCCCc1ccc(C#N)cc1NC(=O)Nc1cccnc1,WAR-XCH-6eb0722e-3,WAR-XCH-6eb0722e-3,WAR-XCH-6eb-3,WCQQDAOZLBFSAB-UHFFFAOYSA-N,WCQQDAOZLBFSAB
CS(=O)(=O)NCCc1ccc(Cl)cc1NC(=O)Nc1cccnc1,WAR-XCH-6eb0722e-4,WAR-XCH-6eb0722e-4,WAR-XCH-6eb-4,LNCYYCMLMXTHSJ-UHFFFAOYSA-N,LNCYYCMLMXTHSJ
Cc1ccc(CCNS(C)(=O)=O)c(NC(=O)Nc2cccnc2)c1,WAR-XCH-6eb0722e-5,WAR-XCH-6eb0722e-5,WAR-XCH-6eb-5,INSAADBZXPUVID-UHFFFAOYSA-N,INSAADBZXPUVID
Cc1ccc(CCCNS(C)(=O)=O)c(NC(=O)Nc2cccnc2)c1,WAR-XCH-6eb0722e-6,WAR-XCH-6eb0722e-6,WAR-XCH-6eb-6,BUEUGONSXBPLCS-UHFFFAOYSA-N,BUEUGONSXBPLCS
NC(=O)[C@H]1CC(Cc2cccnc2)=C[C@H]1c1cccc(Cl)c1,DAR-DIA-43a5904b-1,DAR-DIA-43a5904b-1,DAR-DIA-43a-1,HGGUQRSLVBCKSE-IRXDYDNUSA-N,HGGUQRSLVBCKSE
NC(=O)[C@H]1CC(Cc2cccnc2)=C[C@H]1c1cccc(Br)c1,DAR-DIA-43a5904b-2,DAR-DIA-43a5904b-2,DAR-DIA-43a-2,UUQQSKKXUHGDJU-IRXDYDNUSA-N,UUQQSKKXUHGDJU
NC(=O)[C@H]1CC(Cc2cccnc2)=C[C@H]1c1cccc(I)c1,DAR-DIA-43a5904b-3,DAR-DIA-43a5904b-3,DAR-DIA-43a-3,PLBAEJFMFXUCEQ-IRXDYDNUSA-N,PLBAEJFMFXUCEQ
NC(=O)[C@H]1CC(Cc2cccnc2)=C[C@H]1c1cccc(C(F)(F)F)c1,DAR-DIA-43a5904b-4,DAR-DIA-43a5904b-4,DAR-DIA-43a-4,RCZPKBPFTFBECY-IRXDYDNUSA-N,RCZPKBPFTFBECY
NC(=O)[C@H]1C(O)C(Cc2cccnc2)=C[C@H]1c1cccc(Cl)c1,DAR-DIA-43a5904b-5,DAR-DIA-43a5904b-5,DAR-DIA-43a-5,LAFXWQYSMXFVAP-RTKIROINSA-N,LAFXWQYSMXFVAP
NC(=O)[C@H]1[C@@H](c2cccc(Cl)c2)C=C(Cc2cccnc2)[C@@H]1O,DAR-DIA-43a5904b-6,DAR-DIA-43a5904b-6,DAR-DIA-43a-6,LAFXWQYSMXFVAP-IKGGRYGDSA-N,LAFXWQYSMXFVAP
NC(=O)[C@H]1CC(Cc2ccccc2)=C[C@H]1c1cccc(Cl)c1,DAR-DIA-43a5904b-7,DAR-DIA-43a5904b-7,DAR-DIA-43a-7,DWUUDRKATVNZTC-ROUUACIJSA-N,DWUUDRKATVNZTC
NC(=O)[C@H]1CC(Cc2cncs2)=C[C@H]1c1cccc(Cl)c1,DAR-DIA-43a5904b-8,DAR-DIA-43a5904b-8,DAR-DIA-43a-8,HRMBYAABAJCSMN-GJZGRUSLSA-N,HRMBYAABAJCSMN
NC(=O)[C@H]1CC(Cc2cnco2)=C[C@H]1c1cccc(Cl)c1,DAR-DIA-43a5904b-9,DAR-DIA-43a5904b-9,DAR-DIA-43a-9,FPUNDIBMDZAXCK-GJZGRUSLSA-N,FPUNDIBMDZAXCK
NC(=O)[C@H]1CC(CC2CC2)=C[C@H]1c1cccc(Cl)c1,DAR-DIA-43a5904b-10,DAR-DIA-43a5904b-10,DAR-DIA-43a-10,WTMMCWPMWSOPNR-GJZGRUSLSA-N,WTMMCWPMWSOPNR
Cn1cc(CC2=C[C@@H](c3cccc(Cl)c3)[C@@H](C(N)=O)C2)cn1,DAR-DIA-43a5904b-11,DAR-DIA-43a5904b-11,DAR-DIA-43a-11,OXFTWJCHLUIXDO-HOTGVXAUSA-N,OXFTWJCHLUIXDO
NCCCCNC(=O)[C@H]1CC(Cc2cccnc2)=C[C@H]1c1cccc(Cl)c1,DAR-DIA-43a5904b-12,DAR-DIA-43a5904b-12,DAR-DIA-43a-12,XYKAYOOWHOTZHG-SFTDATJTSA-N,XYKAYOOWHOTZHG
NCCNC(=O)[C@H]1CC(Cc2cccnc2)=C[C@H]1c1cccc(Cl)c1,DAR-DIA-43a5904b-13,DAR-DIA-43a5904b-13,DAR-DIA-43a-13,QQLLPBQQYLYFLN-OALUTQOASA-N,QQLLPBQQYLYFLN
CC(C)CCNC(=O)[C@H]1CC(Cc2cccnc2)=C[C@H]1c1cccc(Cl)c1,DAR-DIA-43a5904b-14,DAR-DIA-43a5904b-14,DAR-DIA-43a-14,FILRQSIVZWIJLC-VXKWHMMOSA-N,FILRQSIVZWIJLC
