SMILES,CID,shipments,comments
O=C(CCl)Nc1cccc(N2CCCC2=O)c1,LON-WEI-8f408cad-1,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
O=C(CCl)N1CCN(S(=O)(=O)c2c(F)cccc2F)CC1,LON-WEI-8f408cad-2,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
O=C(CCl)N1CCN(S(=O)(=O)c2cccs2)CC1,LON-WEI-8f408cad-3,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
O=C(CCl)N1CCN(S(=O)(=O)c2cccc(F)c2)CC1,LON-WEI-8f408cad-4,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
NS(=O)(=O)c1ccc(N2CCC(c3ccsc3)CC2)cc1,WAR-XCH-b72a1bbc-16,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
Cc1cccc(NC2CCN(c3ccc(S(N)(=O)=O)cc3)CC2)c1,WAR-XCH-b6889685-27,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
NS(=O)(=O)c1ccc(N2CCC(c3ccco3)CC2)cc1,WAR-XCH-b72a1bbc-7,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
O=C(Cc1cncnc1)Nc1cccc(OC2CC(=O)N2)c1,BAR-COM-4e090d3a-39,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
O=C(Cc1cncc2ccccc12)Nc1ccccc1,DAR-DIA-23aa0b97-20,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
CC(NC(=O)c1ccccc1OCC(N)=O)c1cnn(C)c1,BAR-COM-4e090d3a-62,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
N#CCOc1ccccc1C(=O)NCc1cnsc1,BAR-COM-4e090d3a-49,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
CCC(NC(=O)C(C)n1cncn1)c1ccccc1OCC(=O)N1CCCC1,BAR-COM-4e090d3a-31,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
O=C(c1ccccc1)N1CCN(C(=O)C2CCOCC2)CC1,GIA-UNK-eaadd1d4-1,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
NS(=O)(=O)c1ccc(N2CCC(c3ccncc3)CC2)cc1,WAR-XCH-b72a1bbc-15,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
N#Cc1cncc(CC(=O)Nc2cccnc2)c1,DAR-DIA-23aa0b97-17,"20200417_enamine_to_oxford.csv, 20200417_enamine_to_xchem.csv",
