SMILES,CID,creator,rationale,fragments,link,real_space,SCR,BB,extended_real_space,in_molport_or_mcule,in_ultimate_mcule,in_emolecules,covalent_frag,covalent_warhead,acrylamide,acrylamide_adduct,chloroacetamide,chloroacetamide_adduct,vinylsulfonamide,vinylsulfonamide_adduct,nitrile,nitrile_adduct,MW,cLogP,HBD,HBA,TPSA,num_criterion_violations,BMS,Dundee,Glaxo,Inpharmatica,LINT,MLSMR,PAINS,SureChEMBL
Cc1ccc2nc(-c3ccc(N)cc3)sc2c1S(=O)(=O)O,AAR-POS-dddeddbf-1,"Aaron Morris, PostEra","My great ideas; ordered from Maybridge, AK Scientific,",x0072,https://covid.postera.ai/covid/submissions/AAR-POS-dddeddbf,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,320.3950000000001,3.10062,2,5,93.28,0,PASS,"aniline, Sulfonic acid",PASS,PASS,"aniline, S/PO3 groups",Sulfonic acid,PASS,"sulphates, analine"
Cc1cc(S(=O)(=O)c2c([N+](=O)[O-])cc(C(F)(F)F)cc2[N+](=O)[O-])c(Cl)cc1Cl,AAR-POS-dddeddbf-2,"Aaron Morris, PostEra","My great ideas; ordered from Maybridge, AK Scientific,",x0072,https://covid.postera.ai/covid/submissions/AAR-POS-dddeddbf,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,459.1850000000002,4.969820000000001,0,6,120.42000000000002,0,PASS,"nitro group, Oxygen-nitrogen single bond",PASS,PASS,"aromatic NO2, high halogen content (>3)","Dye 16 (1), nitro aromatic 2+",PASS,"Dinitrobenzene_3, Nitro_more_than_one"
Nc1ncc(S(=O)(=O)c2ccc(Cl)cc2)c(N)n1,AAR-POS-dddeddbf-3,"Aaron Morris, PostEra","My great ideas; ordered from Maybridge, AK Scientific,",x0072,https://covid.postera.ai/covid/submissions/AAR-POS-dddeddbf,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,284.728,1.1272000000000004,2,6,111.96,0,PASS,PASS,PASS,PASS,aniline,PASS,PASS,PASS
CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1,AAR-POS-dddeddbf-4,"Aaron Morris, PostEra","My great ideas; ordered from Maybridge, AK Scientific,",x0072,https://covid.postera.ai/covid/submissions/AAR-POS-dddeddbf,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,307.2870000000001,2.2289000000000003,1,7,111.43,0,PASS,"nitro group, Oxygen-nitrogen single bond, phenol ester",PASS,PASS,aromatic NO2,"Ester, Dye 16 (1), Dye 29",PASS,"Phenylester, aminothiazole"
C[C@@H]1CS/C(=N\NC(=O)C(=O)C(NC(=O)C2CCCCCC2)C2CCOCC2)N1C,AAR-POS-dddeddbf-5,"Aaron Morris, PostEra","My great ideas; ordered from Maybridge, AK Scientific,",x0072,https://covid.postera.ai/covid/submissions/AAR-POS-dddeddbf,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,438.5940000000005,1.8916,2,6,100.1,0,alpha_dicarbonyl,"diketo group, imine, Oxygen-nitrogen single bond",PASS,Filter41_12_dicarbonyl,"1,2-dicarbonyl not in ring","acyl hydrazine, Ketone, Long aliphatic chain, Oxalyl",PASS,PASS
O=C(Nc1cccc(Cl)c1)Nc1cncc(CC(=O)N2CCN(S(=O)(=O)c3cccc(F)c3)CC2)c1,ABB-MCD-f549d731-1,"Abby Gallagher, McDaniel College",I combined hits X0434_0 and X0691_0 with an additional chlorine on the ring on X0434_0 to leave room for the reactivity and benefits it held in X0691_0,"x0434,x0691",https://covid.postera.ai/covid/submissions/ABB-MCD-f549d731,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,531.9970000000002,3.593700000000002,2,5,111.70999999999998,0,PASS,PASS,PASS,PASS,PASS,Hetero_hetero,PASS,PASS
O=C(CCl)N1CCN(S(=O)(=O)c2ccc(F)c(F)c2)CC1,ABB-MCD-f8003a30-1,"Abby Gallagher, McDaniel College","Other hits lead me to believe that a chlorine seems to be essential, but I placed an additional 2 flourines in adjacent positions on the ring to give more potential sites for reaction",x0691,https://covid.postera.ai/covid/submissions/ABB-MCD-f8003a30,Z199040726,Z199040726,EN300-22578,False,False,False,False,True,True,False,False,True,False,False,False,False,False,338.7630000000001,1.0364999999999998,0,3,57.69000000000001,0,"alpha_halo_carbonyl, primary_halide_sulfate",alkyl halide,PASS,"Filter4_alpha_halo_carbonyl, Filter26_alkyl_halide","alkyl halide, alpha halo carbonyl","alkyl halide, Hetero_hetero",PASS,"alkyl_halides, reactive_carbonyls"
N=C(N)NCCCC(NC(=O)C(Cc1ccccc1)NC(=O)CN)C(=O)NCC(=O)NC(Cc1ccccc1)C(=O)NC(C=O)CO,ABH-HOE-1cbf6cd9-1,"Abhishek Jalan, Hoecker Protein Design Group University of Bayreuth Germany","The cleft near the binding site is visually similar to some of the collagen receptors I had worked with. Initially, I had docked a collagen triple helical backbone into the active site and then manually added the residues that could be accommodated. The rational for using a collagen triple helix was that is highly protease resistant, is easily absorbed in the gut and has low renal clearance. A major disadvantage is that it will probably not permeate the cell membrane as well as small molecules. In any case, I realised that all interactions were coming from a contiguous stretch of six amino acids GFRGFS on a single chain of the triple helix. Thus, I sopped working with then triple helix and instead docked the hexamer GFRGFS onto the domains harbouring the binding site in cluspro.  Cluspro identified a single high energy cluster containing close to 1000 poses (uploaded). All the remaining 9 clusters also put the peptide within binding site albeit in slightly altered conformations. Variations on the sequence that give similar energies and cluster sizes in Cluspro are includes. 

Please note that we have converted this peptide into a peptidomimetic structure and are now working on docking it to the target. We will upload the results if the docking results look promising.",x0072,https://covid.postera.ai/covid/submissions/ABH-HOE-1cbf6cd9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,653.7410000000002,-3.0596299999999887,10,9,270.72,4,aldehyde,"aldehyde, Aliphatic long chain, imine, imine",PASS,Filter38_aldehyde,aldehyde,"Imine 3, aldehyde, Long aliphatic chain, Dipeptide",PASS,Aldehyde
N=C(N)NCCCC(NC(=O)C(Cc1ccc(O)cc1)NC(=O)CN)C(=O)NCC(=O)NC(Cc1ccccc1)C(=O)NC(C=O)CO,ABH-HOE-1cbf6cd9-2,"Abhishek Jalan, Hoecker Protein Design Group University of Bayreuth Germany","The cleft near the binding site is visually similar to some of the collagen receptors I had worked with. Initially, I had docked a collagen triple helical backbone into the active site and then manually added the residues that could be accommodated. The rational for using a collagen triple helix was that is highly protease resistant, is easily absorbed in the gut and has low renal clearance. A major disadvantage is that it will probably not permeate the cell membrane as well as small molecules. In any case, I realised that all interactions were coming from a contiguous stretch of six amino acids GFRGFS on a single chain of the triple helix. Thus, I sopped working with then triple helix and instead docked the hexamer GFRGFS onto the domains harbouring the binding site in cluspro.  Cluspro identified a single high energy cluster containing close to 1000 poses (uploaded). All the remaining 9 clusters also put the peptide within binding site albeit in slightly altered conformations. Variations on the sequence that give similar energies and cluster sizes in Cluspro are includes. 

Please note that we have converted this peptide into a peptidomimetic structure and are now working on docking it to the target. We will upload the results if the docking results look promising.",x0072,https://covid.postera.ai/covid/submissions/ABH-HOE-1cbf6cd9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,669.7400000000004,-3.3540299999999896,11,10,290.9500000000001,4,aldehyde,"aldehyde, Aliphatic long chain, imine, imine",PASS,Filter38_aldehyde,aldehyde,"Imine 3, aldehyde, Long aliphatic chain, Dipeptide",PASS,Aldehyde
NCCCC(NC(=O)C(Cc1ccccc1)NC(=O)CN)C(=O)NCC(=O)NC(Cc1ccccc1)C(=O)NC(C=O)CO,ABH-HOE-1cbf6cd9-3,"Abhishek Jalan, Hoecker Protein Design Group University of Bayreuth Germany","The cleft near the binding site is visually similar to some of the collagen receptors I had worked with. Initially, I had docked a collagen triple helical backbone into the active site and then manually added the residues that could be accommodated. The rational for using a collagen triple helix was that is highly protease resistant, is easily absorbed in the gut and has low renal clearance. A major disadvantage is that it will probably not permeate the cell membrane as well as small molecules. In any case, I realised that all interactions were coming from a contiguous stretch of six amino acids GFRGFS on a single chain of the triple helix. Thus, I sopped working with then triple helix and instead docked the hexamer GFRGFS onto the domains harbouring the binding site in cluspro.  Cluspro identified a single high energy cluster containing close to 1000 poses (uploaded). All the remaining 9 clusters also put the peptide within binding site albeit in slightly altered conformations. Variations on the sequence that give similar energies and cluster sizes in Cluspro are includes. 

Please note that we have converted this peptide into a peptidomimetic structure and are now working on docking it to the target. We will upload the results if the docking results look promising.",x0072,https://covid.postera.ai/covid/submissions/ABH-HOE-1cbf6cd9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,611.7000000000003,-2.5839999999999903,8,9,234.84,4,aldehyde,aldehyde,PASS,Filter38_aldehyde,aldehyde,"aldehyde, Long aliphatic chain, Dipeptide",PASS,Aldehyde
