external_ID,CDD_name,molecule_ID,batch_ID,canonical_CID,virtual_project,for_synthesis_project,made_project
ABH-HOE-1cbf6cd9-1,CVD-0000001,75708143,76911769,ABH-HOE-1cbf6cd9-1,True,False,False
ABH-HOE-1cbf6cd9-2,CVD-0000002,75708144,76911770,ABH-HOE-1cbf6cd9-2,True,False,False
ABH-HOE-1cbf6cd9-3,CVD-0000003,75708145,76911771,ABH-HOE-1cbf6cd9-3,True,False,False
ABH-HOE-1cbf6cd9-4,CVD-0000004,75708146,76911772,ABH-HOE-1cbf6cd9-4,True,False,False
ABH-HOE-8c83008f-1,CVD-0000005,75708147,76911773,ABH-HOE-8c83008f-1,True,False,False
ABH-UNI-d4faac8d-1,CVD-0000005,75708147,76911774,ABH-HOE-8c83008f-1,True,False,False
ABH-UNI-fbfec4c4-1,CVD-0000006,75708148,76911775,ABH-UNI-fbfec4c4-1,True,False,False
ADA-UNI-f8e79267-1,CVD-0000007,75708149,76911776,ADA-UNI-f8e79267-1,True,False,False
ADA-UNI-f8e79267-10,CVD-0000008,75708150,76911777,ADA-UNI-f8e79267-10,True,False,False
ADA-UNI-f8e79267-11,CVD-0000009,75708151,76911778,ADA-UNI-f8e79267-11,True,False,False
ADA-UNI-f8e79267-12,CVD-0000010,75708152,76911779,ADA-UNI-f8e79267-12,True,False,False
ADA-UNI-f8e79267-2,CVD-0000011,75708153,76911780,ADA-UNI-f8e79267-2,True,True,False
ADA-UNI-f8e79267-3,CVD-0000012,75708154,76911781,ADA-UNI-f8e79267-3,True,False,False
ADA-UNI-f8e79267-4,CVD-0000013,75708155,76911782,ADA-UNI-f8e79267-4,True,False,False
ADA-UNI-f8e79267-5,CVD-0000014,75708156,76911783,ADA-UNI-f8e79267-5,True,True,False
ADA-UNI-f8e79267-6,CVD-0000015,75708157,76911784,ADA-UNI-f8e79267-6,True,False,False
ADA-UNI-f8e79267-7,CVD-0000016,75708158,76911785,ADA-UNI-f8e79267-7,True,False,False
ADA-UNI-f8e79267-8,CVD-0000017,75708159,76911786,ADA-UNI-f8e79267-8,True,False,False
ADA-UNI-f8e79267-9,CVD-0000018,75708160,76911787,ADA-UNI-f8e79267-9,True,False,False
ADR-MCR-f276533c-1,CVD-0000019,75708161,76911788,ADR-MCR-f276533c-1,True,False,False
AGN-NEW-051944a9-1,CVD-0000020,75708162,76911789,AGN-NEW-051944a9-1,True,False,False
AGN-NEW-051944a9-2,CVD-0000021,75708163,76911790,AGN-NEW-051944a9-2,True,False,False
AGN-NEW-051944a9-3,CVD-0000022,75708164,76911791,AGN-NEW-051944a9-3,True,False,False
AGN-NEW-051944a9-4,CVD-0000023,75708165,76911792,AGN-NEW-051944a9-4,True,False,False
AGN-NEW-5f02c22c-1,CVD-0000024,75708166,76911793,AGN-NEW-5f02c22c-1,True,False,False
AGN-NEW-63f62ae9-1,CVD-0000025,75708167,76911794,AGN-NEW-63f62ae9-1,True,False,False
AGN-NEW-63f62ae9-2,CVD-0000026,75708168,76911795,AGN-NEW-63f62ae9-2,True,False,False
AGN-NEW-817c14da-1,CVD-0000027,75708169,76911796,AGN-NEW-fad6815c-2,True,False,False
AGN-NEW-fad6815c-2,CVD-0000027,75708169,76911842,AGN-NEW-fad6815c-2,True,False,False
AGN-NEW-817c14da-2,CVD-0000028,75708170,76911797,AGN-NEW-817c14da-2,True,False,False
AGN-NEW-817c14da-3,CVD-0000029,75708171,76911798,AGN-NEW-fad6815c-1,True,False,False
AGN-NEW-fad6815c-1,CVD-0000029,75708171,76911841,AGN-NEW-fad6815c-1,True,False,False
AGN-NEW-817c14da-4,CVD-0000030,75708172,76911799,AGN-NEW-817c14da-4,True,False,False
AGN-NEW-817c14da-5,CVD-0000031,75708173,76911800,AGN-NEW-817c14da-5,True,False,False
AGN-NEW-817c14da-6,CVD-0000032,75708174,76911801,AGN-NEW-817c14da-6,True,False,False
AGN-NEW-891393a6-1,CVD-0000033,75708175,76911802,AGN-NEW-891393a6-1,True,True,False
AGN-NEW-891393a6-10,CVD-0000034,75708176,76911803,AGN-NEW-891393a6-10,True,False,False
AGN-NEW-891393a6-11,CVD-0000035,75708177,76911804,AGN-NEW-891393a6-11,True,False,False
AGN-NEW-891393a6-2,CVD-0000036,75708178,76911805,AGN-NEW-891393a6-2,True,True,False
AGN-NEW-891393a6-3,CVD-0000037,75708179,76911806,AGN-NEW-891393a6-3,True,False,False
AGN-NEW-891393a6-4,CVD-0000038,75708180,76911807,AGN-NEW-891393a6-4,True,False,False
AGN-NEW-891393a6-5,CVD-0000039,75708181,76911808,AGN-NEW-891393a6-5,True,False,False
AGN-NEW-891393a6-6,CVD-0000040,75708182,76911809,AGN-NEW-891393a6-6,True,False,False
AGN-NEW-891393a6-7,CVD-0000041,75708183,76911810,AGN-NEW-891393a6-7,True,False,False
AGN-NEW-891393a6-8,CVD-0000042,75708184,76911811,AGN-NEW-891393a6-8,True,False,False
