SMILES,external_ID,purity,volume(uL),concentration(mM),% Inhibition at 20 uM (N=1),% Inhibition at 20 uM (N=2),% Inhibition at 50 uM (N=1),% Inhibition at 50 uM (N=2),% Inhibition at 100 uM (N=1),% Inhibition at 100 uM (N=2),location,CID
C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)NC(C)(C)C)c1cccnc1,LON-WEI-b8d-31,100.0,40,10.0,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition,oxford,LON-WEI-b8d98729-31
C=CC(=O)N(c1ccc(C(C)C)nc1)C(C(=O)NC(C)(C)C)c1cccnc1,LON-WEI-b8d-32,81.29,40,10.0,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition,oxford,LON-WEI-b8d98729-32
C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1ccc(OC)cc1C)c1cccnc1,LON-WEI-b8d-1,100.0,40,10.0,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition,oxford,LON-WEI-b8d98729-1
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1ccc(OC)cc1)c1cccnc1,LON-WEI-b8d-27,100.0,40,10.0,61.14169165,58.81990905,,,88.30294374,87.22295746,oxford,LON-WEI-b8d98729-27
C=CC(=O)N(c1ccc(SC)cc1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,LON-WEI-b8d-2,82.98,40,10.0,No Inhibition,No Inhibition,,,41.82927903,47.92457809,oxford,LON-WEI-b8d98729-2
C=CC(=O)N(c1ccc(C(C)(C)CC)cc1)C(C(=O)Nc1ccc(Cl)cc1)c1cccnc1,LON-WEI-b8d-33,90.91,40,10.0,13.29040895,9.217844936,,,49.68746424,60.23331313,oxford,LON-WEI-b8d98729-33
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1ccc(OC)cc1C)c1cccnc1,LON-WEI-b8d-37,95.38,40,10.0,17.99198981,4.071695215,,,73.89693515,76.19139843,oxford,LON-WEI-b8d98729-37
C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,LON-WEI-b8d-38,92.91,40,10.0,13.2572941,20.00889128,,,75.35067593,74.87068302,oxford,LON-WEI-b8d98729-38
CS(=O)(=O)Cc1ccc(C(=O)Nc2cccnc2)o1,ANT-DIA-3c7-4,100.0,40,10.0,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition,oxford,ANT-DIA-3c79be55-4
O=C(Cc1ccc(Cl)s1)Nc1cccnc1,DAR-DIA-842-13,100.0,40,10.0,No Inhibition,No Inhibition,,,4.552971708,8.38132599,oxford,DAR-DIA-842b4336-13
O=C(Cc1c[nH]c2ncccc12)NCc1cc(Cl)ccn1,TRY-UNI-1fd-9,100.0,40,10.0,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition,oxford,TRY-UNI-1fd04853-9
N#Cc1ccc(CNC(=O)Cc2c[nH]c3ncccc23)cc1,TRY-UNI-1fd-8,100.0,40,10.0,0.56067584,1.676371438,,,11.73597101,13.4254707,oxford,TRY-UNI-1fd04853-8
