SMILES,external_ID,Raw signal @20 µM,Relative solubility @20 µM,Raw signal @100 µM,Relative solubility @100 µM,100 µM / 20 µM,location,CID
Cc1nnc(NC(=O)Nc2cccnc2)s1,ALE-HEI-f28-4,2,1.0,4,0.99,,Enamine,ALE-HEI-f28a35b5-4
Cc1nnc(CC(=O)Nc2cccnc2)s1,ALE-HEI-f28-5,2,1.0,4,0.99,,Enamine,ALE-HEI-f28a35b5-5
Cc1cccc(C)c1OCC(=O)NCCc1ccccc1,ALE-UNK-fca-3,3,1.0,6,0.98,,Enamine,ALE-UNK-fca05062-3
O=C(COc1ccccc1)NCCc1ccccc1,ALE-UNK-fca-4,3,1.0,3,1.0,,Enamine,ALE-UNK-fca05062-4
CCCNC(=O)C(C)NC(=O)N(C)Cc1csc(C)n1,ALE-UNK-fca-9,2,1.0,3,1.0,,Enamine,ALE-UNK-fca05062-9
N#Cc1ccc(NC(=O)Nc2cccnc2)cc1,ANN-UNI-263-3,3,1.0,3,1.0,,Enamine,ANN-UNI-26382800-3
N#Cc1cccc(CC(=O)Nc2cccnc2)c1,ANN-UNI-263-5,2,1.0,3,1.0,,Enamine,ANN-UNI-26382800-5
COc1cccc(NC(=O)Nc2cccc(C#N)c2)c1,ANN-UNI-263-6,7,0.96,11,0.94,,Enamine,ANN-UNI-26382800-6
CS(=O)(=O)Cc1ccc(C(=O)Nc2cccnc2)o1,ANT-DIA-3c7-4,2,1.0,3,1.0,,Enamine,ANT-DIA-3c79be55-4
CS(=O)(=O)NCCc1cccc(O)c1,ANT-DIA-b7f-2,3,1.0,3,1.0,,Enamine,ANT-DIA-b7f58f21-2
O=C(Cc1cncnc1)Nc1cccc(CCCc2ccccc2)c1,BAR-COM-4e0-11,7,0.96,11,0.94,,Enamine,BAR-COM-4e090d3a-11
O=C(Cc1cccnc1Cl)Nc1cccc(OCCc2ccccc2)c1,BAR-COM-4e0-15,24,0.81,99,0.27,,Enamine,BAR-COM-4e090d3a-15
Nc1nnnn1-c1cccc(C(=O)Nc2c(-c3cccnc3)nc3ccccn23)c1,BAR-COM-4e0-2,4,0.98,31,0.79,,Enamine,BAR-COM-4e090d3a-2
CC(C(=O)Nc1cccc(NC2CCCC2)c1)c1cnccn1,BAR-COM-4e0-20,3,1.0,6,0.98,,Enamine,BAR-COM-4e090d3a-20
NC(=O)C1Cc2ccccc2N(CC(=O)Nc2cnccn2)C1,BAR-COM-4e0-21,2,1.0,12,0.93,,Enamine,BAR-COM-4e090d3a-21
Cc1ccccc1CNc1ccccc1NC(=O)C(O)c1cccnc1,BAR-COM-4e0-3,8,0.95,11,0.94,,Enamine,BAR-COM-4e090d3a-3
O=C(CCc1c[nH]nn1)NC(Cn1cccn1)c1ccccc1,LON-WEI-8f4-6,3,1.0,3,1.0,,Enamine,LON-WEI-8f408cad-6
CCC(NC(=O)C(C)n1cncn1)c1ccccc1OCC(=O)N1CCCC1,BAR-COM-4e0-31,3,1.0,4,0.99,,Enamine,BAR-COM-4e090d3a-31
O=C(NCC(O)Cn1ccnn1)c1ccccc1OC1CCC1,BAR-COM-4e0-34,2,1.0,3,1.0,,Enamine,BAR-COM-4e090d3a-34
O=C(Cc1cncnc1)Nc1cccc(OC2CC(=O)N2)c1,BAR-COM-4e0-39,3,1.0,3,1.0,,Enamine,BAR-COM-4e090d3a-39
CC1CN(Cc2ccccc2NC(=O)NCc2cnsc2)CC(C)O1,BAR-COM-4e0-4,3,1.0,5,0.98,,Enamine,BAR-COM-4e090d3a-4
O=C(NCc1noc2ccccc12)c1ccccc1OCC1CC1,BAR-COM-4e0-43,2,1.0,50,0.64,,Enamine,BAR-COM-4e090d3a-43
O=C(CCn1ccnn1)NC(CN1CCOCC1)c1ccccc1,BAR-COM-4e0-45,2,1.0,3,1.0,,Enamine,BAR-COM-4e090d3a-45
N#CCOc1ccccc1C(=O)NCc1cnsc1,BAR-COM-4e0-49,2,1.0,3,1.0,,Enamine,BAR-COM-4e090d3a-49
CCn1c(=O)n(CC(=O)NCc2cnccn2)c2ccccc21,BAR-COM-4e0-51,2,1.0,3,1.0,,Enamine,BAR-COM-4e090d3a-51
O=C(NCc1cccnn1)Nc1cccc(OCCN2CCOCC2)c1,BAR-COM-4e0-54,3,1.0,4,0.99,,Enamine,BAR-COM-4e090d3a-54
O=C(NCc1cncs1)Nc1cccc(N2CCOCC2)c1,BAR-COM-4e0-58,3,1.0,2,1.01,,Enamine,BAR-COM-4e090d3a-58
O=C(NCc1cccnn1)Nc1cccc(N2CCC2=O)c1,BAR-COM-4e0-60,2,1.0,3,1.0,,Enamine,BAR-COM-4e090d3a-60
O=C(NCc1ccns1)Nc1cccc(CN2CCCC2=O)c1,BAR-COM-4e0-61,3,1.0,6,0.97,,Enamine,BAR-COM-4e090d3a-61
