SMILES,CID,fragments,real_space,SCR,BB,covalent_frag,link
COc1ccc2[nH]cc(CCNC(C)=O)c2c1,ALE-ACE-261-1,x0104,False,Z1191880499,EN300-6486827,False,https://covid.postera.ai/covid/submissions/ALE-ACE-261
Cc1ccncc1NC(=O)Nc1ccccc1,ALE-HEI-f28-1,"x0107,x0395,x0434,x0678,x0967,x0991,x1093",Z1130395550,False,False,False,https://covid.postera.ai/covid/submissions/ALE-HEI-f28
CN1CCN(C(=O)Nc2cccnc2)CC1,ALE-HEI-f28-16,"x0107,x0395,x0434,x0678,x0967,x0991,x1093",Z166701880,False,FCH13488461,False,https://covid.postera.ai/covid/submissions/ALE-HEI-f28
Cc1ccncc1NC(=O)N1CCN(C)CC1,ALE-HEI-f28-17,"x0107,x0395,x0434,x0678,x0967,x0991,x1093",Z1531408828,False,False,False,https://covid.postera.ai/covid/submissions/ALE-HEI-f28
Cc1nnc(CC(=O)Nc2cnccc2C)s1,ALE-HEI-f28-3,"x0107,x0395,x0434,x0678,x0967,x0991,x1093",Z2627791575,False,False,False,https://covid.postera.ai/covid/submissions/ALE-HEI-f28
Cc1ccncc1NC(=O)CC1CCCCC1,ALE-HEI-f28-6,"x0107,x0395,x0434,x0678,x0967,x0991,x1093",Z1129284100,False,False,False,https://covid.postera.ai/covid/submissions/ALE-HEI-f28
Cc1ccncc1NC(=O)NC1CCCCC1,ALE-HEI-f28-7,"x0107,x0395,x0434,x0678,x0967,x0991,x1093",Z1531420463,False,False,False,https://covid.postera.ai/covid/submissions/ALE-HEI-f28
O=C(Nc1cccnc1)NC1CCCCC1,ALE-HEI-f28-8,"x0107,x0395,x0434,x0678,x0967,x0991,x1093",Z44592328,Z44592328,False,False,https://covid.postera.ai/covid/submissions/ALE-HEI-f28
O=C(CC1CCCCC1)Nc1cccnc1,ALE-HEI-f28-9,"x0107,x0395,x0434,x0678,x0967,x0991,x1093",Z31792168,Z31792168,False,False,https://covid.postera.ai/covid/submissions/ALE-HEI-f28
Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O,ALE-UNK-fca-1,x0072,False,False,EN300-7402887,False,https://covid.postera.ai/covid/submissions/ALE-UNK-fca
CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,ALE-UNK-fca-2,x0072,False,False,EN300-119505,False,https://covid.postera.ai/covid/submissions/ALE-UNK-fca
Cc1cccc(C)c1OCC(=O)NCCc1ccccc1,ALE-UNK-fca-3,x0072,Z26348840,False,False,False,https://covid.postera.ai/covid/submissions/ALE-UNK-fca
O=C(COc1ccccc1)NCCc1ccccc1,ALE-UNK-fca-4,x0072,Z19735885,False,False,False,https://covid.postera.ai/covid/submissions/ALE-UNK-fca
CCC(C)NC(=O)COc1c(C)cccc1C,ALE-UNK-fca-5,x0072,Z26349036,False,False,False,https://covid.postera.ai/covid/submissions/ALE-UNK-fca
CCCC(=O)NC(CC)Cc1ccccc1,ALE-UNK-fca-6,x0072,Z57156886,False,FCH9216167,False,https://covid.postera.ai/covid/submissions/ALE-UNK-fca
CCCCCC(C)NC(=O)COc1ccccc1,ALE-UNK-fca-7,x0072,Z54334314,False,False,False,https://covid.postera.ai/covid/submissions/ALE-UNK-fca
CCCC(C)NC(=O)COc1ccccc1,ALE-UNK-fca-8,x0072,Z19735469,False,False,False,https://covid.postera.ai/covid/submissions/ALE-UNK-fca
