SMILES,shipment_ID,catalog_ID,sample_MW,purity,volume(uL),concentration(mM),plate_ID,well,% Inhibition at 20 mM (N=1),% Inhibition at 20 mM (N=2),% Inhibition at 100 mM (N=1),% Inhibition at 100 mM (N=2)
CC(C)(C)NC(=O)C(N(C(=O)C=C)C=1C=CC=2N=CSC2C1)C=3C=CC=NC3,Z4439011608,Z4439011608,394.48,100.0,40,10,1169103-Y40-01,A03,No Inhibition,No Inhibition,No Inhibition,No Inhibition
CC(C)C=1C=CC(=CN1)N(C(C(=O)NC(C)(C)C)C=2C=CC=NC2)C(=O)C=C,Z4439011614,Z4439011614,380.48,81.29,40,10,1169103-Y40-01,B03,No Inhibition,No Inhibition,No Inhibition,No Inhibition
COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC=3N=CSC3C2)C=4C=CC=NC4)=C(C)C1,Z4438424252,Z4438424252,458.53,100.0,40,10,1169103-Y40-01,C03,No Inhibition,No Inhibition,No Inhibition,No Inhibition
COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)C(F)(F)F)C=3C=CC=NC3)=CC1,Z4439011539,Z4439011539,455.42,100.0,40,10,1169103-Y40-01,D03,61.141691650141084,58.81990904923741,88.30294374089493,87.22295746481375
CCC=1C=CC=C(C)C1NC(=O)C(N(C(=O)C=C)C=2C=CC(SC)=CC2)C=3C=CC=NC3,Z4439011579,Z4439011579,445.57,82.98,40,10,1169103-Y40-01,E03,No Inhibition,No Inhibition,41.82927902532179,47.92457808592603
CCC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NC=2C=CC(Cl)=CC2)C=3C=CC=NC3)C(=O)C=C,Z4438424288,Z4438424288,461.98,90.91000000000001,40,10,1169103-Y40-01,F03,13.29040895200599,9.217844936433323,49.6874642358266,60.233313127358805
COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)C(F)(F)F)C=3C=CC=NC3)=C(C)C1,Z4438424251,Z4438424251,469.45,95.38,40,10,1169103-Y40-01,G03,17.99198981245368,4.071695215438865,73.89693515126976,76.19139842549805
CCC=1C=CC=C(NC(=O)C(N(C(=O)C=C)C=2C=CC=3N=CSC3C2)C=4C=CC=NC4)C1,Z4438424262,Z4438424262,442.53,92.91000000000001,40,10,1169103-Y40-01,H03,13.25729410116601,20.008891280219558,75.35067593437417,74.87068301685983
CS(=O)(=O)CC1=CC=C(O1)C(=O)NC=2C=CC=NC2,ANT-DIA-3c7-4,Z995832158,280.29,100.0,40,10,1169103-Y40-01,I03,No Inhibition,No Inhibition,No Inhibition,No Inhibition
ClC1=CC=C(CC(=O)NC=2C=CC=NC2)S1,DAR-DIA-842-13,Z2010253653,252.71,100.0,40,10,1169103-Y40-01,J03,No Inhibition,No Inhibition,4.552971707860706,8.381325989560636
