SMILES,shipment_ID,catalog_ID,sample_MW,purity,volume(uL),concentration(mM),plate_ID,well,% Inhibition at 20 uM (N=1),% Inhibition at 20 uM (N=2),% Inhibition at 50 uM (N=1),% Inhibition at 50 uM (N=2),% Inhibition at 100 uM (N=1),% Inhibition at 100 uM (N=2)
CC(C)(C)NC(=O)C(N(C(=O)C=C)C=1C=CC=2N=CSC2C1)C=3C=CC=NC3,Z4439011608,Z4439011608,394.48,100,40,10,1169103-Y40-01,A03,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition
CC(C)C=1C=CC(=CN1)N(C(C(=O)NC(C)(C)C)C=2C=CC=NC2)C(=O)C=C,Z4439011614,Z4439011614,380.48,81.29,40,10,1169103-Y40-01,B03,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition
COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC=3N=CSC3C2)C=4C=CC=NC4)=C(C)C1,Z4438424252,Z4438424252,458.53,100,40,10,1169103-Y40-01,C03,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition
COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)C(F)(F)F)C=3C=CC=NC3)=CC1,Z4439011539,Z4439011539,455.42,100,40,10,1169103-Y40-01,D03,61.14169165,58.81990905,,,88.30294374,87.22295746
CCC=1C=CC=C(C)C1NC(=O)C(N(C(=O)C=C)C=2C=CC(SC)=CC2)C=3C=CC=NC3,Z4439011579,Z4439011579,445.57,82.98,40,10,1169103-Y40-01,E03,No Inhibition,No Inhibition,,,41.82927903,47.92457809
CCC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NC=2C=CC(Cl)=CC2)C=3C=CC=NC3)C(=O)C=C,Z4438424288,Z4438424288,461.98,90.91,40,10,1169103-Y40-01,F03,13.29040895,9.217844936,,,49.68746424,60.23331313
COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)C(F)(F)F)C=3C=CC=NC3)=C(C)C1,Z4438424251,Z4438424251,469.45,95.38,40,10,1169103-Y40-01,G03,17.99198981,4.071695215,,,73.89693515,76.19139843
CCC=1C=CC=C(NC(=O)C(N(C(=O)C=C)C=2C=CC=3N=CSC3C2)C=4C=CC=NC4)C1,Z4438424262,Z4438424262,442.53,92.91,40,10,1169103-Y40-01,H03,13.2572941,20.00889128,,,75.35067593,74.87068302
CS(=O)(=O)CC1=CC=C(O1)C(=O)NC=2C=CC=NC2,ANT-DIA-3c7-4,Z995832158,280.29,100,40,10,1169103-Y40-01,I03,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition
ClC1=CC=C(CC(=O)NC=2C=CC=NC2)S1,DAR-DIA-842-13,Z2010253653,252.71,100,40,10,1169103-Y40-01,J03,No Inhibition,No Inhibition,,,4.552971708,8.38132599
ClC=1C=CN=C(CNC(=O)CC2=CNC=3N=CC=CC23)C1,TRY-UNI-1fd-9,Z1575152133,300.74,100,40,10,1169103-Y40-01,K03,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition
O=C(CC1=CNC=2N=CC=CC12)NCC=3C=CC(C#N)=CC3,TRY-UNI-1fd-8,Z1400838206,290.31,100,40,10,1169103-Y40-01,L03,0.56067584,1.676371438,,,11.73597101,13.4254707
CC=1C=CN=CC1NC(=O)CC=2C=CC=C(Cl)C2,TRY-UNI-714-6,Z1129289650,260.71,100,40,10,1169103-Y40-01,M03,19.47970252,20.57077608,,,72.63635614,74.81687642
ClC=1C=CC(CNC(=O)CC2=CNC=3N=CC=CC23)=CC1,TRY-UNI-1fd-7,Z1400780364,299.75,100,40,10,1169103-Y40-01,N03,No Inhibition,No Inhibition,,,17.1487969,15.57078706
ClC=1C=CC=C(NC(=O)CC2=CNC=3N=CC=CC23)C1,DAR-DIA-23a-12,Z1400781098,285.72,97.6,40,10,1169103-Y40-01,O03,No Inhibition,No Inhibition,,,23.81826571,24.24919661
CC(C(=O)NC=1C=NC=CC1C)C=2C=CC=C(Cl)C2,TRY-UNI-714-18,Z1264525706,274.74,96.64,40,10,1169103-Y40-01,P03,20.10956279,20.64704311,,,78.1900862,78.64141733
ClC=1C=CC=C(CNC(=O)CC2=CNC=3N=CC=CC23)C1,TRY-UNI-1fd-5,Z1400783129,299.75,95,40,10,1169103-Y40-01,A04,3.020030009,0.942231676,,,24.53110625,15.10240476
CC(=O)N1CCN(CC=2C=CC=C(C#N)C2)CC1,PAT-UNK-b2d-1,Z46180946,243.3,97,40,10,1169103-Y40-01,B04,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition
O=C(NC=1C=CC=NC1)NC=2C=CC=C(C#N)C2,WAR-XCH-eb7-1,Z195739680,238.24,100,40,10,1169103-Y40-01,C04,No Inhibition,No Inhibition,,,7.102041136,6.417827047
O=C(NC=1C=CC(C#N)=CC1)NC=2C=CC=NC2,ANN-UNI-263-3,Z195735586,238.24,98.17,40,10,1169103-Y40-01,D04,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition
OC=1C=CC(Cl)=CC1C(=O)NC=2C=CC=NC2,CHR-SOS-709-11,Z280470232,248.66,100,40,10,1169103-Y40-01,E04,No Inhibition,No Inhibition,,,12.79551617,14.52689088
OC=1C=CC(Cl)=CC1C(=O)NC=2C=CC=CC2,CHR-SOS-709-7,Z56871780,247.67,90.16,40,10,1169103-Y40-01,F04,No Inhibition,No Inhibition,,,4.852491362,5.69809179
CC(=O)N1CCN(CC1)S(=O)(=O)C=2C=CC=C(F)C2,MAK-UNK-643-5,Z30722976,286.32,100,40,10,1169103-Y40-01,G04,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition
CS(=O)(=O)NC=1C=CC=C(C1)C(=O)NC=2C=CC=C(C2)N3CCCC3=O,MAK-UNK-915-6,Z102622686,373.42,97.29,40,10,1169103-Y40-01,H04,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition
ClC=1C=CC=C(C1)C(=O)NC=2C=CC=NC2,CHR-SOS-709-12,Z31791487,232.66,91,40,10,1169103-Y40-01,I04,No Inhibition,No Inhibition,,,1.125668283,2.178762754
CC(C(=O)O)C=1C=CC2=C(C1)NC=3C=CC(Cl)=CC32,GER-UNI-ec7-1,Z1530425063,273.71,100,40,10,1169103-Y40-01,J04,No Inhibition,No Inhibition,,,4.330358924,5.498385739
CCCNC(=O)C(C)NC(=O)N(C)CC1=CSC(C)=N1,ALE-UNK-fca-9,Z900735246,298.4,95.48,40,10,1169103-Y40-01,K04,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition
O=C(C=CC=CC=1C=CC=2OCOC2C1)N3CCCCC3,Piperine,Z104476830,285.33,100,40,10,1169103-Y40-01,L04,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition
COC=1C=CC=2NC=C(CCNS(=O)(=O)C)C2C1,MAR-UNI-9ca-1,Z1316790959,268.33,100,40,10,1169103-Y40-01,M04,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition
CC=1C=CN=C(NC(=O)CC=2C=CC=3C=CC=CC3C2)C1,LV-UNI-7ff-45,Z71390073,276.33,96.93,40,10,1169103-Y40-01,N04,No Inhibition,No Inhibition,,,12.32724119,9.739704207
CC(=O)N1CCN(CC1)S(=O)(=O)C2=CC=CS2,MAK-UNK-643-1,Z29501928,274.35,92.56,40,10,1169103-Y40-01,O04,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition
