SMILES,IC50 (µM),IC50 CI (Lower) (µM),IC50 CI (Upper) (µM),Hill slope,R squared,Concentration (µM),Inhibition (%),CID
O=C(CCl)N1CCN(Cc2cccs2)CC1,5.66,5.28,6.07,1.23,0.995,0.772,7.72,AAR-POS-0daf6b7e-17
O=C(CCl)N1CCN(Cc2cccs2)CC1,5.66,5.28,6.07,1.23,0.995,0.772,9.59,AAR-POS-0daf6b7e-17
O=C(CCl)N1CCN(Cc2cccs2)CC1,5.66,5.28,6.07,1.23,0.995,1.24,9.69,AAR-POS-0daf6b7e-17
O=C(CCl)N1CCN(Cc2cccs2)CC1,5.66,5.28,6.07,1.23,0.995,1.24,19.5,AAR-POS-0daf6b7e-17
O=C(CCl)N1CCN(Cc2cccs2)CC1,5.66,5.28,6.07,1.23,0.995,3.71,35.6,AAR-POS-0daf6b7e-17
O=C(CCl)N1CCN(Cc2cccs2)CC1,5.66,5.28,6.07,1.23,0.995,3.71,38.6,AAR-POS-0daf6b7e-17
O=C(CCl)N1CCN(Cc2cccs2)CC1,5.66,5.28,6.07,1.23,0.995,6.19,50.8,AAR-POS-0daf6b7e-17
O=C(CCl)N1CCN(Cc2cccs2)CC1,5.66,5.28,6.07,1.23,0.995,6.19,52.2,AAR-POS-0daf6b7e-17
O=C(CCl)N1CCN(Cc2cccs2)CC1,5.66,5.28,6.07,1.23,0.995,12.4,69.7,AAR-POS-0daf6b7e-17
O=C(CCl)N1CCN(Cc2cccs2)CC1,5.66,5.28,6.07,1.23,0.995,12.4,74.4,AAR-POS-0daf6b7e-17
O=C(CCl)N1CCN(Cc2cccs2)CC1,5.66,5.28,6.07,1.23,0.995,24.8,86.7,AAR-POS-0daf6b7e-17
O=C(CCl)N1CCN(Cc2cccs2)CC1,5.66,5.28,6.07,1.23,0.995,24.8,88.7,AAR-POS-0daf6b7e-17
O=C(CCl)N1CCN(Cc2cccs2)CC1,5.66,5.28,6.07,1.23,0.995,49.5,93.1,AAR-POS-0daf6b7e-17
O=C(CCl)N1CCN(Cc2cccs2)CC1,5.66,5.28,6.07,1.23,0.995,49.5,94.4,AAR-POS-0daf6b7e-17
O=C(CCl)N1CCN(Cc2cccs2)CC1,5.66,5.28,6.07,1.23,0.995,99.0,96.5,AAR-POS-0daf6b7e-17
O=C(CCl)N1CCN(Cc2cccs2)CC1,5.66,5.28,6.07,1.23,0.995,99.0,99.2,AAR-POS-0daf6b7e-17
