SMILES,IC50 (uM),CID
Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,> 49.5,TRY-UNI-714a760b-18
Cc1ccncc1NC(=O)C(C)c1cccc(C#N)c1,> 99.0,TRY-UNI-714a760b-22
C=CC(=O)N(c1cc(C(C)(C)C)on1)C(C(=O)NC(C)(C)C)c1cccnc1,> 99.0,LON-WEI-b8d98729-23
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,> 99.0,LON-WEI-b8d98729-39
C=CC(=O)N(c1ccc(C(C)OC)cc1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,> 49.5,LON-WEI-b8d98729-17
C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,> 49.5,LON-WEI-b8d98729-38
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1ccc(OC)cc1)c1cccnc1,> 49.5,LON-WEI-b8d98729-27
COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC,> 49.5,MAT-POS-916a2c5a-1
COc1ccccc1OCCNC(=O)c1cc(=O)[nH]c2ccccc12,> 99.0,MAT-POS-916a2c5a-2
Cc1cc(C)c(C)c(S(=O)(=O)N2CCN(C(=O)c3cc(=O)[nH]c4ccccc34)CC2)c1C,> 99.0,MAT-POS-916a2c5a-3
Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,> 49.5,TRY-UNI-714a760b-6
Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,> 49.5,TRY-UNI-714a760b-20
Cc1ccncc1NC(=O)Nc1cccc(Cl)c1,> 99.0,TRY-UNI-714a760b-12
O=C(CCl)N1CCN(S(=O)(=O)c2cccs2)CC1,> 99.0,AAR-POS-d2a4d1df-22
O=C(CCl)N1CCN(Cc2cccs2)CC1,> 99.0,AAR-POS-0daf6b7e-17
O=C(CCl)N1CCN(Cc2ccsc2)CC1,> 99.0,AAR-POS-0daf6b7e-13
O=C(CCl)Nc1cccc(N2CCCC2=O)c1,> 49.5,AAR-POS-0daf6b7e-11
O=C(CCl)N1CCN(S(=O)(=O)c2c(F)cccc2F)CC1,> 99.0,AAR-POS-d2a4d1df-32
O=C(CCl)N1CCN(S(=O)(=O)c2cccc(F)c2)CC1,> 99.0,AAR-POS-d2a4d1df-23
N#Cc1cccc(NC(=O)Cc2cncc3ccccc23)c1,> 99.0,DAR-DIA-23aa0b97-19
O=C(Cc1cncc2ccccc12)Nc1ccccc1,> 99.0,DAR-DIA-23aa0b97-20
