SMILES,AVG % Inhibition at 20 uM,STD DEV % Inhibition at 20 uM,N at 20 uM,AVG % Inhibition at 50 uM,STD DEV % Inhibition at 50 uM,N at 50 uM,CID
COc1ccnc(NC(=O)Cc2ccc3ccccc3c2)c1,3.47,0.377,2,6.09,0.746,2,ALV-UNI-7ff1a6f9-47
O=C(Cc1ccc2ccccc2c1)Nc1cc(C(F)(F)F)ccn1,-2.55,4.03,2,3.43,0.58,2,ALV-UNI-7ff1a6f9-46
Cc1ccnc(NC(=O)Cc2ccc3ccccc3c2)c1,3.57,2.7,2,8.23,1.36,2,ALV-UNI-7ff1a6f9-45
N#Cc1cc(Cl)cc(NC(=O)Nc2cccnc2)c1,23,0.819,2,43.9,1.17,2,WAR-XCH-eb7b662f-2
COC1CCN(c2ccc(S(N)(=O)=O)cc2)CC1,2.98,0.417,2,6.82,2.32,2,WAR-XCH-b72a1bbc-9
NS(=O)(=O)c1ccc(N2CCC(c3ccco3)CC2)cc1,5.4,0.328,2,8.47,1.73,2,WAR-XCH-b72a1bbc-7
CCN(C)CC1CCN(c2ccc(S(N)(=O)=O)cc2)CC1,3.39,0.498,2,6.02,1.2,2,WAR-XCH-b72a1bbc-49
NS(=O)(=O)c1ccc(N2CCC(CN3CCCCCC3)CC2)cc1,-5.53,5.18,2,-0.987,1.55,2,WAR-XCH-b72a1bbc-20
NS(=O)(=O)c1ccc(N2CCC(c3ccsc3)CC2)cc1,7.4,0.16,2,17.1,0.0726,2,WAR-XCH-b72a1bbc-16
NS(=O)(=O)c1ccc(N2CCC(c3ccncc3)CC2)cc1,0.875,0.328,2,1.65,0.621,2,WAR-XCH-b72a1bbc-15
NS(=O)(=O)c1ccc(N2CCC(CO)CC2)cc1,3.95,0.594,2,7.03,0.975,2,WAR-XCH-b72a1bbc-14
Cc1ccccc1NC1CCN(c2ccc(S(N)(=O)=O)cc2)CC1,4.98,0.13,2,7.22,2.41,2,WAR-XCH-b6889685-30
Cc1cccc(NC2CCN(c3ccc(S(N)(=O)=O)cc3)CC2)c1,-2.59,1.29,2,-0.838,0.583,2,WAR-XCH-b6889685-27
Cc1ccc(NC2CCN(c3ccc(S(N)(=O)=O)cc3)CC2)cc1,2.67,1.97,2,5.62,1.35,2,WAR-XCH-b6889685-25
CC(C)NC1CCN(c2ccc(S(N)(=O)=O)cc2)CC1,-1.27,0.227,2,-1.56,2.97,2,WAR-XCH-b6889685-23
CC(C)N(C)C(=O)C1CCN(C(=O)CCl)CC1,17.3,0.758,2,38.8,0.0201,2,AAR-POS-0daf6b7e-19
O=C(CCl)N1CCC(C(=O)N2CCCCC2)CC1,18.5,3.55,2,31.4,0.724,2,AAR-POS-0daf6b7e-9
C=C1CC1C(=O)NC(C)c1ccc(S(=O)(=O)NC)cc1,-2.67,0.373,2,-0.972,0.0824,2,VIJ-CYC-1a381570-5
CNS(=O)(=O)c1ccc(C(C)NC(=O)NC(C)(C)C)cc1,-0.809,3.03,2,-0.25,0.284,2,VIJ-CYC-1a381570-11
Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,61.6,1.62,2,81.8,0.414,2,TRY-UNI-714a760b-6
Cc1ccncc1NC(=O)Cc1ccccc1,8.19,0.345,2,19.5,0.723,2,TRY-UNI-714a760b-5
Cc1ccncc1NC(=O)Nc1cccc(C#N)c1,19.4,2.58,2,44.3,0.178,2,TRY-UNI-714a760b-24
Cc1ccncc1NC(=O)C(C)c1cccc(C#N)c1,35.4,1.38,2,61.4,0.439,2,TRY-UNI-714a760b-22
Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,33.6,0.817,2,58.3,0.0957,2,TRY-UNI-714a760b-20
Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,58,0.177,2,78.7,0.239,2,TRY-UNI-714a760b-18
Cc1ccncc1NC(=O)Nc1cccc(Cl)c1,32.1,0.539,2,58.7,0.386,2,TRY-UNI-714a760b-12
O=C(Cc1c[nH]c2ncccc12)NCc1cc(Cl)ccn1,2.58,5.3,2,8.45,0.533,2,TRY-UNI-1fd04853-9
N#Cc1ccc(CNC(=O)Cc2c[nH]c3ncccc23)cc1,2.44,4.57,2,1.71,1.04,2,TRY-UNI-1fd04853-8
O=C(Cc1c[nH]c2ncccc12)NCc1ccc(Cl)cc1,2.99,2.55,2,3.45,2.03,2,TRY-UNI-1fd04853-7
O=C(Cc1c[nH]c2ncccc12)NCc1cccc(Cl)c1,7.73,2.86,2,9.03,0.76,2,TRY-UNI-1fd04853-5
N#Cc1ccc(CNC(=O)Cc2c[nH]c3ncccc23)nc1,4.15,5.6,2,0.616,0.662,2,TRY-UNI-1fd04853-12
O=C(Cc1c[nH]c2ncccc12)NCc1ccc(Cl)cn1,1.55,1.25,2,4.16,1.46,2,TRY-UNI-1fd04853-11
CC(=O)N1CCN(Cc2cccc(C#N)c2)CC1,-0.339,7.61,2,6.59,0.42,2,PAT-UNK-b2d83456-1
C#Cc1ccc(CNC(=O)N2CCOCC2)cc1,1.4,1.59,2,2.46,0.567,2,PAT-GYR-359dbb24-1
CC(=O)N1CCN(Cc2cn(-c3cccc(S(N)(=O)=O)c3)nn2)CC1,-2.75,1.47,2,1.36,0.123,2,NIM-UNI-02269248-3
Cc1cc(C)c(C)c(S(=O)(=O)N2CCN(C(=O)c3cc(=O)[nH]c4ccccc34)CC2)c1C,84.4,0.904,2,92.9,0.294,2,MAT-POS-916a2c5a-3
COc1ccccc1OCCNC(=O)c1cc(=O)[nH]c2ccccc12,83.7,0.902,2,92.7,0.173,2,MAT-POS-916a2c5a-2
COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC,99.4,0.0695,2,99.2,0.0382,2,MAT-POS-916a2c5a-1
COc1ccc2[nH]cc(CCNS(C)(=O)=O)c2c1,-4.19,2.41,2,-4.39,0.755,2,MAR-UNI-9ca61fdc-1
CS(=O)(=O)Nc1cccc(C(=O)Nc2cccc(N3CCCC3=O)c2)c1,0.866,2.74,2,5.19,0.742,2,MAK-UNK-9159f8ed-6
CC(=O)N1CCN(S(=O)(=O)c2c(F)cccc2F)CC1,-1.42,5.78,2,4.18,0.576,2,MAK-UNK-6435e6c2-6
CC(=O)N1CCN(S(=O)(=O)c2cccc(F)c2)CC1,6.2,7.06,2,1.43,0.641,2,MAK-UNK-6435e6c2-5
CC(=O)Nc1cccc(N2CCCC2=O)c1,27.1,0.0478,2,51.4,0.201,2,MAK-UNK-6435e6c2-4
CC(=O)N1CCN(Cc2ccsc2)CC1,98.8,0.000332,2,99.4,0.175,2,MAK-UNK-6435e6c2-3
CC(=O)N1CCN(Cc2cccs2)CC1,94.5,1.7,2,99,0.0298,2,MAK-UNK-6435e6c2-2
CC(=O)N1CCN(S(=O)(=O)c2cccs2)CC1,2.33,3.2,4,4.21,4.43,4,MAK-UNK-6435e6c2-1
C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1ccc(Br)cc1)c1cccnc1,17.4,4.44,2,34.9,0.534,2,LON-WEI-b8d98729-9
C=CC(=O)N(c1ccc(C(C)OC)cc1)C(C(=O)Nc1ccc(OC)cc1C)c1cccnc1,2.91,0.123,2,6.9,0.785,2,LON-WEI-b8d98729-8
C=CC(=O)N(c1ccc(S(F)(F)(F)(F)F)cc1)C(C(=O)NC(C)(C)C)c1cccnc1,11.1,1.31,2,23,0.833,2,LON-WEI-b8d98729-7
C=CC(=O)N(c1ccc(SC)cc1)C(C(=O)NC(C)(C)C)c1cccnc1,3.54,5.36,2,7.75,2.46,2,LON-WEI-b8d98729-6
CCC(=O)O[C@@H](OP(=O)(CCCCc1ccccc1)CC(=O)N1C[C@H](C2CCCCC2)C[C@H]1C(=O)O)C(C)C,4.91,5.73,2,-0.253,1.1,2,LON-WEI-b8d98729-5
C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,7.67,3.72,2,10.7,1.22,2,LON-WEI-b8d98729-48
C=CC(=O)N(c1ccc(SC)cc1)C(C(=O)Nc1ccc(OC)cc1)c1cccnc1,13.5,2.82,2,27,0.9,2,LON-WEI-b8d98729-47
C=CC(=O)N(c1cc(C(C)(C)C)on1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,7.33,0.74,2,21.1,0.99,2,LON-WEI-b8d98729-46
C=CC(=O)N(c1ccc(C(C)OC)cc1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,5.9,6.3,2,3.94,2.24,2,LON-WEI-b8d98729-45
C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1ccc(Cl)cc1)c1cccnc1,8.95,0.906,2,25.3,0.217,2,LON-WEI-b8d98729-44
C=CC(=O)N(c1cc(C(C)(C)C)on1)C(C(=O)Nc1ccc(OC)cc1C)c1cccnc1,12.9,3.4,2,23.4,0.0163,2,LON-WEI-b8d98729-43
C=CC(=O)N(c1ccc(N(C)C)c(C)c1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,6.4,1.5,2,13.2,0.141,2,LON-WEI-b8d98729-42
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1ccccc1Br)c1cccnc1,15.6,7.32,2,22,1.11,2,LON-WEI-b8d98729-41
C=CC(=O)N(c1ccc(SC)cc1)C(C(=O)Nc1ccc(OC)cc1C)c1cccnc1,8.27,5.86,2,22.2,0.594,2,LON-WEI-b8d98729-40
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,22.3,0.806,2,38.6,0.0151,2,LON-WEI-b8d98729-39
C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,33.9,0.707,2,59.3,0.47,2,LON-WEI-b8d98729-38
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1ccc(OC)cc1C)c1cccnc1,7.06,1.62,2,25.4,0.233,2,LON-WEI-b8d98729-37
C=CC(=O)N(c1ccc(C(C)(C)CC)cc1)C(C(=O)Nc1cccc(F)c1C)c1cccnc1,16.3,0.472,2,31.8,1.09,2,LON-WEI-b8d98729-36
C=CC(=O)N(c1ccc(C(C)(C)CC)cc1)C(C(=O)Nc1ccc(Br)cc1)c1cccnc1,8.32,0.271,2,18.4,0.232,2,LON-WEI-b8d98729-35
C=CC(=O)N(c1ccc(C(C)(C)CC)cc1)C(C(=O)Nc1ccc(Cl)cc1)c1cccnc1,16.5,5.09,2,22.7,2.32,2,LON-WEI-b8d98729-33
C=CC(=O)N(c1ccc(C(C)C)nc1)C(C(=O)NC(C)(C)C)c1cccnc1,11.7,8.33,2,11.4,1.46,2,LON-WEI-b8d98729-32
C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)NC(C)(C)C)c1cccnc1,9.29,11.4,2,0.772,1.75,2,LON-WEI-b8d98729-31
C=CC(=O)N(c1ccc(N(C)C)c(C)c1)C(C(=O)Nc1ccc(OC)cc1C)c1cccnc1,2.51,1.12,2,7.01,0.146,2,LON-WEI-b8d98729-30
C=CC(=O)N(c1ccc(S(F)(F)(F)(F)F)cc1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,3.13,0.993,2,7.07,0.148,2,LON-WEI-b8d98729-29
C=CC(=O)N(c1ccc(S(F)(F)(F)(F)F)cc1)C(C(=O)Nc1ccc(OC)cc1C)c1cccnc1,5.52,0.958,2,12.2,0.741,2,LON-WEI-b8d98729-28
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1ccc(OC)cc1)c1cccnc1,40.3,3.05,2,60.7,0.291,2,LON-WEI-b8d98729-27
C=CC(=O)N(c1ccc(C(C)C)nc1)C(C(=O)Nc1ccc(OC)cc1C)c1cccnc1,6.56,2.76,2,10.4,1.07,2,LON-WEI-b8d98729-26
C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1ccc(OC)cc1)c1cccnc1,4.02,4.23,2,15.4,1.5,2,LON-WEI-b8d98729-25
C=CC(=O)N(c1ccc(SC)cc1)C(C(=O)Nc1ccc(Cl)cc1)c1cccnc1,16.9,2.12,2,32.3,1.06,2,LON-WEI-b8d98729-24
C=CC(=O)N(c1cc(C(C)(C)C)on1)C(C(=O)NC(C)(C)C)c1cccnc1,7.86,1.11,2,16.1,0.414,2,LON-WEI-b8d98729-23
C=CC(=O)N(c1ccc(C(C)OC)cc1)C(C(=O)Nc1ccc(Cl)cc1)c1cccnc1,12.3,2.71,2,26.1,1.87,2,LON-WEI-b8d98729-22
C=CC(=O)N(c1cc(C(C)(C)C)n[nH]1)C(C(=O)Nc1ccc(Cl)cc1)c1cccnc1,6.12,0.252,2,19.5,0.43,2,LON-WEI-b8d98729-21
C=CC(=O)N(c1cc(C(C)(C)C)n[nH]1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,4.05,4.47,2,4.71,2.18,2,LON-WEI-b8d98729-20
C=CC(=O)N(c1ccc(SC)cc1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,11.1,1.29,2,24.5,1.47,2,LON-WEI-b8d98729-2
C=CC(=O)N(c1ccc(C(C)OC)cc1)C(C(=O)Nc1ccccc1Br)c1cccnc1,3.04,4.9,2,9.73,0.763,2,LON-WEI-b8d98729-19
C=CC(=O)N(c1ccc(C(C)C)nc1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,5.61,2.53,2,12.5,1.87,2,LON-WEI-b8d98729-18
C=CC(=O)N(c1ccc(C(C)OC)cc1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,36.6,3.78,2,63.7,0.795,2,LON-WEI-b8d98729-17
C=CC(=O)N(c1ccc(N(C)C)c(C)c1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,7.05,2.96,2,11.7,1.09,2,LON-WEI-b8d98729-16
C=CC(=O)N(c1cc(C(C)(C)C)on1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,15.6,1.8,2,43.1,0.132,2,LON-WEI-b8d98729-15
C=CC(=O)N(c1ccc(N(C)C)c(C)c1)C(C(=O)Nc1ccc(Br)cc1)c1cccnc1,3.45,3.38,2,3.43,1.03,2,LON-WEI-b8d98729-14
C=CC(=O)N(c1ccc(N(C)C)c(C)c1)C(C(=O)Nc1ccccc1Br)c1cccnc1,2.84,3.7,2,8.13,2.86,2,LON-WEI-b8d98729-13
C=CC(=O)N(c1ccc(S(F)(F)(F)(F)F)cc1)C(C(=O)Nc1ccc(OC)cc1)c1cccnc1,15.7,0.404,2,30.6,0.258,2,LON-WEI-b8d98729-12
C=CC(=O)N(c1ccc(N(C)C)c(C)c1)C(C(=O)Nc1ccc(Cl)cc1)c1cccnc1,4.26,4.03,2,12.1,0.809,2,LON-WEI-b8d98729-11
C=CC(=O)N(c1ccc(C(C)OC)cc1)C(C(=O)NC(C)(C)C)c1cccnc1,7.07,1.98,2,15.9,0.706,2,LON-WEI-b8d98729-10
C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1ccc(OC)cc1C)c1cccnc1,3.21,1.6,2,11.3,0.114,2,LON-WEI-b8d98729-1
C=CC(=O)N(c1ccc(N(C)C)c(C)c1)C(C(=O)NC(C)(C)C)c1cccnc1,2.89,1.54,2,8.8,1.67,2,LON-WEI-8f408cad-9
