SMILES,shipment_ID,plate_ID,well,Raw signal @20 µM,Relative solubility @20 µM,Raw signal @100 µM,Relative solubility @100 µM,100 µM / 20 µM
O=C(Cc1cccnc1Cl)Nc1cccc(OCCc2ccccc2)c1,BAR-COM-4e0-15,1166137-COVID-19-02,H05,24,0.81,99,0.27,0.01
CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,RITONAVIR,1166137-COVID-19-01,C06,24,0.82,90,0.32,0.01
O=C(Cc1ccc2ccccc2c1)Nc1cc(C(F)(F)F)ccn1,LV-UNI-7ff-46,1166137-COVID-19-02,D08,13,0.9,85,0.38,0.03
O=C(NCc1cnccn1)c1sc2cccc(F)c2c1COc1ccccc1,BAR-COM-4e0-64,1166137-COVID-19-02,H07,8,0.95,77,0.44,0.06
Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O,LOPINAVIR,1166137-COVID-19-01,E06,22,0.83,63,0.53,0.02
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1ccc(OC)cc1C)c1cccnc1,Z4438424251,1166137-COVID-19-01,G02,8,0.95,51,0.62,0.08
C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,Z4438424262,1166137-COVID-19-01,H02,25,0.8,50,0.63,0.03
C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1ccc(Br)cc1)c1cccnc1,Z4439011556,1166137-COVID-19-01,G08,32,0.75,49,0.64,0.02
C=CC(=O)N(c1ccc(SC)cc1)C(C(=O)Nc1ccc(Cl)cc1)c1cccnc1,Z4438424281,1166137-COVID-19-01,D11,24,0.81,49,0.64,0.03
O=C(NCc1noc2ccccc12)c1ccccc1OCC1CC1,BAR-COM-4e0-43,1166137-COVID-19-02,A08,2,1.0,50,0.64,0.32
Cc1cc(C)c(C)c(S(=O)(=O)N2CCN(C(=O)c3cc(=O)[nH]c4ccccc34)CC2)c1C,Z29513321,1166137-COVID-19-02,D10,30,0.75,49,0.65,0.02
C=CC(=O)N(c1ccc(C(C)(C)CC)cc1)C(C(=O)Nc1ccc(Br)cc1)c1cccnc1,Z4439011564,1166137-COVID-19-01,G07,12,0.91,46,0.66,0.06
C=CC(=O)N(c1ccc(SC)cc1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,Z4439011579,1166137-COVID-19-01,E02,20,0.85,45,0.67,0.03
C=CC(=O)N(c1cc(C(C)(C)C)n[nH]1)C(C(=O)Nc1ccc(Cl)cc1)c1cccnc1,Z4439011532,1166137-COVID-19-01,A11,28,0.78,43,0.68,0.02
C=CC(=O)N(c1ccc(C(C)(C)CC)cc1)C(C(=O)Nc1ccc(Cl)cc1)c1cccnc1,Z4438424288,1166137-COVID-19-01,F02,23,0.82,43,0.68,0.03
