SMILES,IN_STOCK_or_QUICK,ON_DEMAND,URLS,CID,link
Clc1ccc(Cn2c(CN3CCCC3)nc3ccccc32)cc1,True,True,"['https://www.molport.com/shop/molecule-link/MolPort-000-411-312', 'https://www.molport.com/shop/molecule-link/MolPort-000-411-312', 'https://www.molport.com/shop/molecule-link/MolPort-003-940-752', 'https://mcule.com/MCULE-2180061700/', 'https://mcule.com/MCULE-7107653430/', 'https://mcule.com/MCULE-2180061700/', 'https://mcule.com/MCULE-7107653430/', 'http://www.sigmaaldrich.com/catalog/search?term=SML1447|SIGMA&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=SML1447&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'https://www.molport.com/shop/molecule-link/MolPort-003-940-752']",AME-NAT-624-1,https://covid.postera.ai/covid/submissions/624a42b4-a75a-46d2-85cf-83f472bde5dd
N#Cc1ccccc1NC(=O)Cc1c[nH]c2ncccc12,False,True,['https://mcule.com/MCULE-2614803204/'],ANT-DIA-3c7-1,https://covid.postera.ai/covid/submissions/3c79be55-6044-4966-b3bd-3eca32e15db9
CS(=O)(=O)NCCc1ccccc1O,False,True,['https://mcule.com/MCULE-7032860099/'],ANT-DIA-b7f-3,https://covid.postera.ai/covid/submissions/b7f58f21-5871-4330-a23f-4dac830ca6c2
CCOC(=O)C(=O)Nc1cc(OC)c(OC)c(OC)c1,True,True,"['https://mcule.com/MCULE-3741003126/', 'https://www.molport.com/shop/molecule-link/MolPort-002-303-513']",ANT-LOU-17a-3,https://covid.postera.ai/covid/submissions/17aa1493-5ffe-4f29-8de7-f481e61af5eb
CCC(=O)NC[C@@H]1C[C@H]1c1ccccc1,False,True,['https://mcule.com/MCULE-7926027808/'],ANT-OPE-6a1-1,https://covid.postera.ai/covid/submissions/6a16a9ad-2a04-4b01-887a-526f32fc5af2
C=CC(=O)N1CCN(Cc2ccc(F)cc2)CC1,True,True,['https://www.molport.com/shop/molecule-link/MolPort-046-622-971'],ANT-OPE-d97-1,https://covid.postera.ai/covid/submissions/d972fbad-2991-4d72-9283-f006692922d5
CC12CCC(CC1)C(C)(C)O2,True,True,"['https://www.molport.com/shop/molecule-link/MolPort-003-929-343', 'https://www.molport.com/shop/molecule-link/MolPort-039-339-173', 'http://www.sigmaaldrich.com/catalog/search?term=1268900|USP&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=W246506|ALDRICH&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=C80601|ALDRICH&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=00020590|SIAL&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=29210|SIAL&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=46128|SIAL&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=53801|SIAL&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=95656|SIAL&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=PHR1828|SIAL&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=Y0000176|SIAL&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=00020590&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=1268900&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=29210&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=46128&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=53801&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=95656&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=C80601&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=PHR1828&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=W246506&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=Y0000176&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product']",BET-COM-8a5-1,https://covid.postera.ai/covid/submissions/8a5969bb-0970-44a7-8bc4-bc4051aab3aa
Cc1cccc(CCc2nc3cc(Cl)ccc3[nH]2)c1,False,True,['https://www.molport.com/shop/molecule-link/MolPort-021-508-383'],CAS-DEP-167-3,https://covid.postera.ai/covid/submissions/167c18e3-3388-4802-bfa0-f8dc23d34258
O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,True,True,"['https://www.molport.com/shop/molecule-link/MolPort-006-109-233', 'https://www.molport.com/shop/molecule-link/MolPort-039-139-221', 'https://mcule.com/MCULE-9985514311/', 'https://mcule.com/MCULE-9985514311/', 'http://www.sigmaaldrich.com/catalog/search?term=N3510|SIGMA&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=N0560000|SIAL&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=N0560000&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=N3510&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'https://www.molport.com/shop/molecule-link/MolPort-000-181-408', 'https://www.molport.com/shop/molecule-link/MolPort-000-181-408', 'https://www.molport.com/shop/molecule-link/MolPort-006-109-233']",CHR-SOS-709-1,https://covid.postera.ai/covid/submissions/7098f804-b66c-4fb6-89f4-8e4e0c78a7cb
O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cccc(Cl)c1,True,True,['https://mcule.com/MCULE-7195431626/'],CHR-SOS-709-2,https://covid.postera.ai/covid/submissions/7098f804-b66c-4fb6-89f4-8e4e0c78a7cb
O=C(Nc1ccc([N+](=O)[O-])cc1)c1ccccc1O,True,True,"['https://www.molport.com/shop/molecule-link/MolPort-000-279-718', 'https://mcule.com/MCULE-2546229247/']",CHR-SOS-709-5,https://covid.postera.ai/covid/submissions/7098f804-b66c-4fb6-89f4-8e4e0c78a7cb
O=C(Nc1ccc([N+](=O)[O-])cc1)c1ccccc1,True,True,"['https://www.molport.com/shop/molecule-link/MolPort-000-157-722', 'https://mcule.com/MCULE-7650161387/', 'https://www.molport.com/shop/molecule-link/MolPort-000-157-722', 'http://www.sigmaaldrich.com/catalog/search?term=PH011404|ALDRICH&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=PH011404&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product']",CHR-SOS-709-6,https://covid.postera.ai/covid/submissions/7098f804-b66c-4fb6-89f4-8e4e0c78a7cb
CNCc1c[nH]c2ccc(Cl)cc12,False,True,['https://mcule.com/MCULE-3295657640/'],DAR-DIA-eac-37,https://covid.postera.ai/covid/submissions/eace69ff-146d-41d5-b9c3-4da3a00af79c
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O,True,True,"['https://www.molport.com/shop/molecule-link/MolPort-002-885-877', 'https://www.molport.com/shop/molecule-link/MolPort-023-335-629', 'https://mcule.com/MCULE-9377211268/', 'https://mcule.com/MCULE-1466631069/', 'https://mcule.com/MCULE-6391365404/', 'https://mcule.com/MCULE-2089808361/', 'https://mcule.com/MCULE-2836937026/', 'https://mcule.com/MCULE-2950373497/', 'https://mcule.com/MCULE-1466631069/', 'https://mcule.com/MCULE-6391365404/', 'http://www.sigmaaldrich.com/catalog/search?term=CDS020548|ALDRICH&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=CDS020548&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'https://www.molport.com/shop/molecule-link/MolPort-003-666-389', 'https://www.molport.com/shop/molecule-link/MolPort-023-335-629', 'http://www.sigmaaldrich.com/catalog/search?term=CDS020548|ALDRICH&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=CDS020548&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'https://www.molport.com/shop/molecule-link/MolPort-002-885-877', 'https://www.molport.com/shop/molecule-link/MolPort-003-666-389', 'https://www.molport.com/shop/molecule-link/MolPort-044-723-642']",DAV-UNI-bdc-1,https://covid.postera.ai/covid/submissions/bdcebb58-a1a9-4777-a1c1-1a7a108e9e8f
