SMILES,CID,creator,rationale,fragments,real_space,SCR,BB,link,covalent_frag,covalent_warhead,acrylamide,acrylamide_adduct,chloroacetamide,chloroacetamide_adduct,vinylsulfonamide,vinylsulfonamide_adduct,in_molport_or_mcule,in_emolecules
Cc1ccc(OCC(=O)N2CCN(CCCCC(=O)Nc3cnccc3C)CC2)cc1,PET-SGC-fed-1,"PETER BROWN, SGC, Univ Toronto","0107/0354 COMBO

0354 NOT LISTED IN FRAG LIST",x0107,False,False,False,https://covid.postera.ai/covid/submissions/fedd1f79-9ed6-4487-a801-e6f14abf8e11,False,False,False,False,False,False,False,False,False,False
CCNc1ncc(C#N)cc1CN1CCN(C(C)=O)CC1,JAN-GHE-fd8-1,"Jan Hullaert, Ghent University",X0692_0 and x0305 merge perfectly. Acetylpiperazine and nitrile moieties seem to be important for binding of several fragments.,"x0305,x0692,x1249",False,False,False,https://covid.postera.ai/covid/submissions/fd8d85a5-db4a-4ecf-93d1-416eee50b961,True,False,False,False,False,False,False,False,False,False
CC#Cc1cnc(Nc2ccccc2)c(CN2CCN(C(C)=O)CC2)c1,JAN-GHE-fd8-2,"Jan Hullaert, Ghent University",X0692_0 and x0305 merge perfectly. Acetylpiperazine and nitrile moieties seem to be important for binding of several fragments.,"x0305,x0692,x1249",False,False,False,https://covid.postera.ai/covid/submissions/fd8d85a5-db4a-4ecf-93d1-416eee50b961,True,False,False,False,False,False,False,False,False,False
CC(=O)N1CCN(Cc2cc(Cl)cnc2NCCO)CC1,JAN-GHE-fd8-3,"Jan Hullaert, Ghent University",X0692_0 and x0305 merge perfectly. Acetylpiperazine and nitrile moieties seem to be important for binding of several fragments.,"x0305,x0692,x1249",False,False,False,https://covid.postera.ai/covid/submissions/fd8d85a5-db4a-4ecf-93d1-416eee50b961,True,False,False,False,False,False,False,False,False,False
CCNc1ncc(C#N)cc1CN1CC2(C1)CN(C(C)=O)C2,JAN-GHE-fd8-4,"Jan Hullaert, Ghent University",X0692_0 and x0305 merge perfectly. Acetylpiperazine and nitrile moieties seem to be important for binding of several fragments.,"x0305,x0692,x1249",False,False,False,https://covid.postera.ai/covid/submissions/fd8d85a5-db4a-4ecf-93d1-416eee50b961,True,False,False,False,False,False,False,False,False,False
CCNc1ncc(C#N)cc1CN1C[C@H]2CN(C(C)=O)C[C@H]2C1,JAN-GHE-fd8-5,"Jan Hullaert, Ghent University",X0692_0 and x0305 merge perfectly. Acetylpiperazine and nitrile moieties seem to be important for binding of several fragments.,"x0305,x0692,x1249",False,False,False,https://covid.postera.ai/covid/submissions/fd8d85a5-db4a-4ecf-93d1-416eee50b961,True,False,False,False,False,False,False,False,False,False
CCNc1ncc(C#N)cc1CN1CCCN(C(C)=O)CC1,JAN-GHE-fd8-6,"Jan Hullaert, Ghent University",X0692_0 and x0305 merge perfectly. Acetylpiperazine and nitrile moieties seem to be important for binding of several fragments.,"x0305,x0692,x1249",False,False,False,https://covid.postera.ai/covid/submissions/fd8d85a5-db4a-4ecf-93d1-416eee50b961,True,False,False,False,False,False,False,False,False,False
CCNc1ccc(C#N)cc1C(=O)N1CCN(C(C)=O)CC1,JAN-GHE-fd8-7,"Jan Hullaert, Ghent University",X0692_0 and x0305 merge perfectly. Acetylpiperazine and nitrile moieties seem to be important for binding of several fragments.,"x0305,x0692,x1249",False,False,False,https://covid.postera.ai/covid/submissions/fd8d85a5-db4a-4ecf-93d1-416eee50b961,True,False,False,False,False,False,False,False,False,False
CC(=O)N1CCN(Cc2cc(C#N)ccc2NC2CC2)CC1,JAN-GHE-fd8-8,"Jan Hullaert, Ghent University",X0692_0 and x0305 merge perfectly. Acetylpiperazine and nitrile moieties seem to be important for binding of several fragments.,"x0305,x0692,x1249",False,False,False,https://covid.postera.ai/covid/submissions/fd8d85a5-db4a-4ecf-93d1-416eee50b961,True,False,False,False,False,False,False,False,False,False
CC#Cc1ccc(NCC)c(CN2CCN(C(C)=O)CC2)c1,JAN-GHE-fd8-9,"Jan Hullaert, Ghent University",X0692_0 and x0305 merge perfectly. Acetylpiperazine and nitrile moieties seem to be important for binding of several fragments.,"x0305,x0692,x1249",False,False,False,https://covid.postera.ai/covid/submissions/fd8d85a5-db4a-4ecf-93d1-416eee50b961,True,False,False,False,False,False,False,False,False,False
CCNc1ccc(F)cc1CN1CCN(C(C)=O)CC1,JAN-GHE-fd8-10,"Jan Hullaert, Ghent University",X0692_0 and x0305 merge perfectly. Acetylpiperazine and nitrile moieties seem to be important for binding of several fragments.,"x0305,x0692,x1249",False,False,False,https://covid.postera.ai/covid/submissions/fd8d85a5-db4a-4ecf-93d1-416eee50b961,True,False,False,False,False,False,False,False,False,False
