CID,SMILES,Comments
EDJ-MED-8c98ee63-1,COCCCNCC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,Parallel
EDJ-MED-8c98ee63-2,Cn1ccc(CNCC2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)n1,Parallel
EDJ-MED-ee07cf00-1,Cn1c(=O)ccn(CC(=O)NC(C(=O)Nc2cncc3ccccc23)c2cccc(Cl)c2)c1=O,Parallel library chemistry (open chain version of library 5)
EDJ-MED-ee07cf00-2,Cc1nc2cc[nH]n2c(=O)c1CC(=O)NC(C(=O)Nc1cncc2ccccc12)c1cccc(Cl)c1,Parallel library chemistry (open chain version of library 5)
EDJ-MED-ee07cf00-3,Cn1ncc2c(=O)n(CC(=O)NC(C(=O)Nc3cncc4ccccc34)c3cccc(Cl)c3)cnc21,Parallel library chemistry (open chain version of library 5)
EDJ-MED-ee07cf00-4,CC(NC(=O)C1CCC1)C(=O)NC(C(=O)Nc1cncc2ccccc12)c1cccc(Cl)c1,Parallel library chemistry (open chain version of library 5)
EDJ-MED-ee07cf00-5,N#Cc1ccc(C(=O)NCC(=O)NC(C(=O)Nc2cncc3ccccc23)c2cccc(Cl)c2)cc1,Parallel library chemistry (open chain version of library 5)
EDJ-MED-ee07cf00-6,Cn1cc(C2=NOC(C(=O)NC(C(=O)Nc3cncc4ccccc34)c3cccc(Cl)c3)C2)cn1,Parallel library chemistry (open chain version of library 5)
EDJ-MED-ee07cf00-7,Cc1c(O)c(=O)ccn1CC(=O)NC(C(=O)Nc1cncc2ccccc12)c1cccc(Cl)c1,Parallel library chemistry (open chain version of library 5)
EDJ-MED-ee07cf00-8,N#Cc1cn(CC(=O)NC(C(=O)Nc2cncc3ccccc23)c2cccc(Cl)c2)c(=O)[nH]c1=O,Parallel library chemistry (open chain version of library 5)
EDJ-MED-ee07cf00-9,O=C(Cn1nnc(-c2ccccc2)n1)NC(C(=O)Nc1cncc2ccccc12)c1cccc(Cl)c1,Parallel library chemistry (open chain version of library 5)
EDJ-MED-ee07cf00-10,O=C(Cn1cnc(C(F)(F)F)n1)NC(C(=O)Nc1cncc2ccccc12)c1cccc(Cl)c1,Parallel library chemistry (open chain version of library 5)
EDJ-MED-ee07cf00-11,O=C(NC(C(=O)Nc1cncc2ccccc12)c1cccc(Cl)c1)C1CCC(C(=O)N2CCCC2)O1,Parallel library chemistry (open chain version of library 5)
EDJ-MED-ee07cf00-12,NC(=O)c1ccc(OCC(=O)NC(C(=O)Nc2cncc3ccccc23)c2cccc(Cl)c2)cc1,Parallel library chemistry (open chain version of library 5)
EDJ-MED-ee07cf00-14,O=C(Cn1nc2n(c(=O)c1=O)CCC2)NC(C(=O)Nc1cncc2ccccc12)c1cccc(Cl)c1,Parallel library chemistry (open chain version of library 5)
EDJ-MED-ee07cf00-15,O=C(Cc1ccc(-n2cnnn2)cc1)NC(C(=O)Nc1cncc2ccccc12)c1cccc(Cl)c1,Parallel library chemistry (open chain version of library 5)
EDJ-MED-ee07cf00-16,O=C(Cn1cc(Cl)c(=O)[nH]c1=O)NC(C(=O)Nc1cncc2ccccc12)c1cccc(Cl)c1,Parallel library chemistry (open chain version of library 5)
EDJ-MED-ee07cf00-17,O=C(Cn1ncn2nccc2c1=O)NC(C(=O)Nc1cncc2ccccc12)c1cccc(Cl)c1,Parallel library chemistry (open chain version of library 5)
EDJ-MED-ee07cf00-18,O=C(CN1CCN(C2CC2)C1=O)NC(C(=O)Nc1cncc2ccccc12)c1cccc(Cl)c1,Parallel library chemistry (open chain version of library 5)
EDG-MED-ba1ac7b9-1,NC(=O)C1CCN1C(=O)CC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,Parallel
EDG-MED-ba1ac7b9-2,O=C(CC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)N1CCC1CO,Parallel
EDG-MED-ba1ac7b9-3,O=C(CC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)N(CCO)C1CC1,Parallel
EDG-MED-ba1ac7b9-4,O=C(CC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)N1CC(N2CCC(O)C2)C1,Parallel
