SMILES,CID,real_space,SCR,BB,extended_real_space
COc1cc(NC(=O)C(=O)Nc2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC,ANT-LOU-17a-2,Z62468012,FALSE,FALSE,s_2718____9145054____867058
O=S1(=O)CCC(N2CCN(c3nc(-c4cccnc4)nc4ccccc34)CC2)C1,AUS-ARG-7cf-15,Z90167687,Z90167687,FALSE,s_27____115719____61058
Cc1ccccc1C(C(=O)NCC(O)Cn1ccnn1)c1ccccc1,BAR-COM-4e0-12,Z3052559442,FALSE,FALSE,FALSE
Cc1ccc(Oc2cccc(NC(=O)NCc3cnnn3C)c2)c(C)c1,BAR-COM-4e0-48,s_2430____12549944____13759224,FALSE,FALSE,s_2430____12549944____13759224
COC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1,FAR-UNI-a04-1,FALSE,FALSE,FALSE,s_22____8270914____59815
Cc1ccc(S(=O)(=O)Nc2c(-c3cccnc3)nc3ccccn23)c(C)c1,FRA-BIO-8bf-1,Z1393190461,FALSE,FALSE,s_232682____6950814____3005078
O=S(=O)(Cc1nc(-c2ccncc2)no1)Nc1ccc(N2CCCCC2)cc1,FRA-BIO-8bf-12,Z1197799213,FALSE,FALSE,s_265764____4837050____4564564
O=C(Cn1cccn1)N1CCN(S(=O)(=O)c2cccc(F)c2)CC1,IND-SYN-6c8-7,Z169615266,FALSE,FALSE,FALSE
NS(=O)(=O)c1ccc(C(=O)N2Cc3ccccc3C(c3ccccc3)C2)cc1,JAR-IMP-ed4-13,Z1982706704,FALSE,FALSE,s_22____2019588____60740
O=C(c1cc2sccc2s1)N1CCOC(CN2CCOCC2)C1,JAR-KUA-672-1,Z2782173902,FALSE,FALSE,s_22____12386308____1180822
CN1CCN(C(=O)CNc2c(S(N)(=O)=O)ccc3ccccc23)CC1,JAR-KUA-672-3,Z3075792052,FALSE,FALSE,s_27____2196926____12621818
CCSc1cc(Cn2c(C3CCC(=O)N3)nnc2N2CCC(C(N)=O)CC2)ccn1,KUS-THE-322-12,FALSE,FALSE,FALSE,m_273170____10758752____10759928____13935884
CC(C)N1CCC(O)(Cn2c(-c3ccc[nH]3)nnc2N(C)Cc2cnn(C)c2)CC1,KUS-THE-322-13,FALSE,FALSE,FALSE,m_273170____10758748____10760352____10766698
CC(C)(Cn1c(C2CCC(=O)N2)nnc1N1CCCC(C(N)=O)C1)c1ccccc1F,KUS-THE-322-14,FALSE,FALSE,FALSE,m_273170____10757464____10760184____13935884
CC(=O)N1CCN(c2nnc(C3CCC(=O)N3)n2CC(=O)Nc2c(C)cccc2C)CC1,KUS-THE-322-15,FALSE,FALSE,FALSE,m_273170____10756708____10759894____13935884
NC(=O)C1CCN(c2nnc(C3CCC(=O)N3)n2CCc2cc(F)cc(F)c2)CC1,KUS-THE-322-16,FALSE,FALSE,FALSE,m_273170____10757354____10759928____13935884
O=S(=O)(NC1CCCCCC1)c1ccsc1-c1nc(C2CCCN2)no1,KUS-THE-322-20,Z2442610555,FALSE,FALSE,FALSE
