#,Name,SMILES
12,s232682__6950814__3005078_4,S(=O)(=O)(NC=1N2C(=NC1c3cnccc3)C=CC=C2)c4c(cc(cc4)C)C
194,s276492__14269936__14695664_2,[NH+]1=C(N[C@H](C2CCCC2)C1)NCc3c(cccc3)C[NH+]4CC[NH+](CC4)CC
224,s22__677414__15065722_2,O=C(OC(C)(C)C)N1[C@@](C(=O)NCc2c(cccc2)C[NH+]3CC[NH+](CC3)CC)(CC1)C
259,s22__625048__12423058_3,O=C(OCC)[C@H]([NH2+][C@@H](C(=O)Nc1cc(ccc1)C[NH+]2CCCC2)C)CCc3ccccc3
268,s271304__15071844__9305138_1,ClC=1SC(=CC1)C[NH2+][C@@H](C([O-])=O)CC2=NC(=O)C=CN2
309,s270004__8298878__14783060_4,Brc1c(cc(NC(=O)OC(C)(C)C)cc1)CNc2cnc(cc2)C
319,s63__6670848__64507_5,O=C1N(C=NC=C1)C[C@@H](O)COc2c(cc(cc2)C(C)(C)C)C
324,s271948__9939400__9926964_3,O=C(N[C@@H]1[C@H](C[N@H+](Cc2ccccc2)CC1)C)C(=O)NCc3c(cccc3)C[N@@H+]4[C@H](CCCC4)C
487,s271304__15071844__9304654_5,[O-]C(=O)[C@H]([NH2+]C[C@H]1[C@H]2C=C[C@@H](C1)C2)CC3=NC(=O)C=CN3
640,s271948__12640900__15268182_2,O=C(N[C@@H]1[C@H](C2CCOCC2)C1)C(=O)NCc3c(OCCO)cccc3
1985,s276492__14269838__14695664_2,[NH+]1=C(N[C@@H](C1)CC)NCc2c(cccc2)C[NH+]3CC[NH+](CC3)CC
1967,s265764__4837050__4564564_1,S(=O)(=O)(Nc1ccc(N2CCCCC2)cc1)CC=3ON=C(N3)c4ccncc4
1436,s207__7974616__11756618_4,O=C(N1[C@@H]2C[N@H+]([C@H](C[NH2+]CC=3N=CNC3)C1)CC2)c4ccccc4
