SMILES,CID
CC1=CC(C2=NC3=C(N2)C=CC=C3)=CC=C1O,CAS-DEP-751a2458-2
O=C(NC1=CC=CN=C1)CC2(C#C[C@H]3CCCN3)CCCCC2,CHR-SOS-54d5cf3e-2
FC1=CC2=C(C(NCC3=CC4=C(N=CN4)C=C3)=C1)NC=C2CCNC(C)=O,GAB-REV-4a4e2ff3-20
CC(C(O)=O)C1=C(C)C(NC2=CC=C(Cl)C=C23)=C3C=C1,MAK-UNK-0d6072ac-20
CC1=CC(C(C(O)=O)C)=CC2=C1C3=CC(Cl)=CC=C3N2,MAK-UNK-0d6072ac-21
CN1CCN(CC1C(NCCC2=CNC3=C2C=C(F)C=C3)=O)C(CC4=CNC5=C4C=CC=N5)=O,MAK-UNK-10572812-7
CN1CCN(CC1)C(CC2=CNC3=C2C=C(C(NCCC4=CNC5=C4C=C(F)C=C5)=O)C=N3)=O,MAK-UNK-10572812-16
CC1=C(C=NC=C1)NC(C[C@H](C2=CSC=C2)N3CCC(O)CC3)=O,PET-SGC-a8a902d9-1
O[C@H]1CC[C@@H](N(C2(C#CC3CCCCC3)CCCCC2)C(Cc4cnccc4)=O)CC1,WAR-XCH-b0339bbe-6
Cc1ccncc1NC(=O)C[C@H](c1ccccc1)N1CCC(O)CC1 ,ALP-POS-90c18d1d-1
CN1CCN(C([C@H](C2=CNC3=C2C=CC=N3)C(NCCC4=CNC5=C4C=C(F)C=C5)=O)=O)CC1,MAK-UNK-10572812-3
