SMILES,CID
COc1ccc2nnn(CC(=O)N(Cc3ccccn3)c3ccc(C4CCNCC4)cc3)c2c1,ALP-POS-c0c213c9-1
COc1ccc2nnc(CC(=O)N(CC(=O)N3CCNCC3)c3ccc(-c4ccncc4)cc3)n2c1,ALP-POS-c0c213c9-2
O=C(CN(C(=O)Cn1nnc2ccccc21)c1ccc(-c2ccccc2)cc1)N1CCNCC1,ALP-POS-c0c213c9-3
NCc1cn(CC(=O)N(Cc2cscn2)c2ccc(-c3ccccc3)nc2)nn1,ALP-POS-c0c213c9-4
NCc1cn(CC(=O)N(Cc2ccsc2)c2ccc(-c3ccccc3)cc2)nn1,ALP-POS-c0c213c9-5
CC(C)(C(N)=O)c1ccc(N(Cc2ccsc2)C(=O)Cn2nnc3ccccc32)cc1,ALP-POS-c0c213c9-6
NCc1cn(CC(=O)N(CC(=O)N2CCNCC2)c2ccc(-c3ccccc3)cc2)nn1,ALP-POS-c0c213c9-7
O=C(Cn1nnc2c1CCNC2)N(CC1CCOC1)c1ccc(-c2ccccc2)cc1,ALP-POS-c0c213c9-8
Cn1cnc(CN(C(=O)c2cnnn2-c2ccccc2)c2ccc(OCc3ccccc3)cc2)c1,ALP-POS-c0c213c9-9
O=C(CN(C(=O)Cc1cccnc1)c1ccc(-c2ncccn2)cc1)N1CCNCC1,ALP-POS-c0c213c9-10
NCc1cn(CC(=O)N(Cc2ccsc2)c2ccc(-n3cnnc3)cc2)nn1,ALP-POS-c0c213c9-11
NCc1cn(CC(=O)N(Cc2ccsc2)c2ccc(N3CCOCC3)cc2)nn1,ALP-POS-c0c213c9-12
O=C(Cn1nnc2ccccc21)N(CC1CCOC1)c1ccc(C2CCNCC2)cc1,ALP-POS-c0c213c9-13
Cn1ccc(CN(C(=O)Cc2cccnc2)c2ccc(-c3ccccn3)cc2)n1,ALP-POS-c0c213c9-14
O=C(Cn1nnc2ccccc21)N(Cc1ccccn1)c1cnc(-c2ccccc2)nc1,ALP-POS-c0c213c9-15
O=C(CN(C(=O)Cn1ccnn1)c1ccc(N2CCOCC2)cc1)N1CCNCC1,ALP-POS-c0c213c9-16
O=C(CN(C(=O)Cn1nnc2ccc(O)cc21)c1cnc(-c2ccccc2)nc1)N1CCNCC1,ALP-POS-c0c213c9-17
O=C(Cn1nnc2ccccc21)N(Cc1ccccn1)c1ccc(-n2cnnc2)cc1,ALP-POS-c0c213c9-18
O=C(CN(C(=O)Cc1cccnc1)c1ccc(-n2cnnc2)cc1)N1CCNCC1,ALP-POS-c0c213c9-19
O=C(CN(C(=O)Cn1ccnn1)c1ccc(-c2ccccn2)cc1)N1CCNCC1,ALP-POS-c0c213c9-20
