SMILES,CID,,Enamine_ID,other_notes
O=C(Cc1ccc(O)cc1)Nc1cccc2cc[nH]c12,NAU-LAT-64f4b287-6,REAL/SCR,Z1729997189,
O=C(Cc1ccc(F)cc1)Nc1cccc2cc[nH]c12,NAU-LAT-64f4b287-7,REAL/SCR,Z1725502768,
O=C(Cn1c(=O)[nH]c2ccccc21)Nc1cccc(Cl)c1,BEN-DND-61647d40-14,REAL/SCR,Z454221144,
O=C(CCNC(=O)c1c[nH]c2ccccc12)Nc1ccc(-n2cnc3ccccc32)cc1,IAN-BAS-5394d4c4-1,REAL/SCR,Z466807550,
O=C(Cc1c[nH]c2ncccc12)N(Cc1c(F)cccc1Cl)c1ccc2[nH]c(=O)[nH]c2c1,BEN-BAS-bb561ced-1,REAL/SCR,Z1401016802,
Cn1cc(S(N)(=O)=O)cc1CC(=O)Nc1cccc(C(=O)NCc2ccccn2)c1,IAN-BAS-36ca50f1-1,REAL/SCR,Z2194996992,
Cc1ccncc1NC(=O)Cc1cccc(C(N)=O)c1,ANN-UNI-98d2bf15-2,REAL/SCR,s_22____3391102____13600942,
Cc1ccncc1NC(=O)Cc1cccc(OC(F)(F)F)c1,ANN-UNI-98d2bf15-5,REAL/SCR,Z1486631744,
O=C(O)C12CC(CNCc3ccc4c(c3)OCC4)(C1)OC2c1ccccc1,BEN-BAS-f6e16b09-1,REAL/SCR,Z3347909109,
CC(NC(=O)c1ccc2cn[nH]c2c1)C(=O)Nc1ccc(-n2cnc3ccccc32)cc1,BEN-BAS-0534ec5c-1,REAL/SCR,Z954418982,
O=C(Cc1ccc2[nH]c(=O)[nH]c2c1)NC1(CNC(=O)c2cnc[nH]2)CC1,BEN-BAS-baaab58b-1,REAL/SCR,m_275592____14114908____15839986____15857866,
Cn1ccc(CNC(=O)Cc2nnc3ccc(O)cn23)c1,ALP-POS-c0ee8219-1,Custom,,"4 carboxylic acids BBV-95113829, EN300-701317, BBV-93154196, FCH6353291 crossed with 4 amines EN-30095909, FCH6340389, EN300-1287915, BBV-108446890 to give 16 products (will likely need some protection steps)"
O=C(Cc1nnc2ccc(O)cn12)NC(C(=O)N1CCCC1)c1ccccn1,ALP-POS-c0ee8219-2,Custom,,"4 carboxylic acids BBV-95113829, EN300-701317, BBV-93154196, FCH6353291 crossed with 4 amines EN-30095909, FCH6340389, EN300-1287915, BBV-108446890 to give 16 products (will likely need some protection steps)"
Cn1cccc1C(CC(N)=O)NC(=O)Cc1nnc2ccc(O)cn12,ALP-POS-c0ee8219-3,Custom,,"4 carboxylic acids BBV-95113829, EN300-701317, BBV-93154196, FCH6353291 crossed with 4 amines EN-30095909, FCH6340389, EN300-1287915, BBV-108446890 to give 16 products (will likely need some protection steps)"
NC(=O)CC1(NC(=O)Cc2nnc3ccc(O)cn23)CCc2cccnc21,ALP-POS-c0ee8219-4,Custom,,"4 carboxylic acids BBV-95113829, EN300-701317, BBV-93154196, FCH6353291 crossed with 4 amines EN-30095909, FCH6340389, EN300-1287915, BBV-108446890 to give 16 products (will likely need some protection steps)"
