SMILES,CID,vendor_ID,comments
C=CC(=O)NCc1cnccc1CCNC(=O)NC1CCCCC1,LON-WEI-af038623-1,,acrylamides_fragments
C=CC(=O)NCc1cc2ccccc2cn1,LON-WEI-af038623-2,,acrylamides_fragments
C=CC(=O)Nc1cncc2ccccc12,LON-WEI-af038623-3,BBV-78725612,acrylamides_fragments
C=CC(=O)NC1CC[C@H](C(N)=O)[C@@H]1c1ccsc1,LON-WEI-af038623-4,,acrylamides_fragments
C=CC(=O)NC1CC[C@@H](c2ccsc2)[C@H]1C(N)=O,LON-WEI-af038623-5,,acrylamides_fragments
C=CC(=O)NCCNc1cc(F)cc2c(CCNC(C)=O)c[nH]c12,LON-WEI-af038623-6,,acrylamides_fragments
C=CC(=O)Nc1ccccc1Nc1cnccc1C,LON-WEI-af038623-7,,acrylamides_fragments
C=CC(=O)Nc1ccnc(NC(=O)Cc2ccc3ccccc3c2)c1,LON-WEI-af038623-8,,acrylamides_fragments
C=CC(=O)NCCCNc1cccc2cnccc12,LON-WEI-af038623-9,,acrylamides_fragments
O=C1/C(=C/c2ccc(O)cc2)c2ccccc2C(=O)N1Cc1ccc2c(c1)OCO2,LON-WEI-ff7b210a-1,MCULE-3495129544,screening_hits
CS(=O)(=O)c1oc(-c2ccc(F)cc2)nc1S(=O)(=O)c1ccc(Cl)cc1,LON-WEI-ff7b210a-2,Z445226022,screening_hits
CCOc1ccccc1/C=C1/C(=O)NC(=O)c2ccccc21,LON-WEI-ff7b210a-3,MCULE-7407635222,screening_hits
CS(=O)(=O)c1ncc(Cl)c(C(=O)Nc2ccccc2Cc2ccccc2)n1,LON-WEI-ff7b210a-4,Z237618542,screening_hits
CCOC(=O)c1nc(S(C)(=O)=O)ncc1Cl,LON-WEI-ff7b210a-5,Z56771528,screening_hits
COc1ccc(C(=O)Nc2cccc(/C=C3/C(=O)NC(=O)c4ccccc43)c2)cc1,LON-WEI-ff7b210a-6,MCULE-5229709168,screening_hits
Sc1nc2ccccc2c2nc(CCc3ccccc3)nn12,LON-WEI-ff7b210a-7,Z235352463,screening_hits
NC1=Nc2nc3ccccc3n2C(c2ccc(-c3nc4ccccc4s3)o2)N1,LON-WEI-ff7b210a-8,Z94793967,screening_hits
O=C(c1ccccc1)N1CCN(C(=O)c2nn(-c3ccccc3C(F)(F)F)cc2O)CC1,LON-WEI-ff7b210a-9,Z68946724,screening_hits
CCn1c(CSc2nc(C)c(C)n2CC2CCCO2)nc2cc(S(=O)(=O)N(C)C)ccc21,LON-WEI-ff7b210a-10,Z66750572,screening_hits
O=C(CSC1=NCCS1)c1cc(Cl)ccc1Cl,LON-WEI-ff7b210a-11,Z56850059,screening_hits
C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NCCc1cccc(F)c1)c1cncc(Cl)c1,LON-WEI-babf2c61-1,,Ugi_3rd_gen
C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NCCc1cccc(F)c1)c1cncc(C)c1,LON-WEI-babf2c61-2,,Ugi_3rd_gen
C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NCCc1cccc(F)c1)c1cncc(C#N)c1,LON-WEI-babf2c61-3,,Ugi_3rd_gen
C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NCCc1cccc(F)c1)c1cncc(O)c1,LON-WEI-babf2c61-4,,Ugi_3rd_gen
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)NCCc1cccc(F)c1)c1cncc(Cl)c1,LON-WEI-babf2c61-5,,Ugi_3rd_gen
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)NCCc1cccc(F)c1)c1cncc(C)c1,LON-WEI-babf2c61-6,,Ugi_3rd_gen
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)NCCc1cccc(F)c1)c1cncc(C#N)c1,LON-WEI-babf2c61-7,,Ugi_3rd_gen
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)NCCc1cccc(F)c1)c1cncc(O)c1,LON-WEI-babf2c61-8,,Ugi_3rd_gen
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1,LON-WEI-babf2c61-9,,Ugi_3rd_gen
C=CC(=O)N(c1cc(C(C)(C)C)on1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1,LON-WEI-babf2c61-10,,Ugi_3rd_gen
C=CC(=O)N(c1cc(C(C)(C)C)on1)C(C(=O)NCCc1cccc(F)c1)c1cncc(Cl)c1,LON-WEI-babf2c61-11,,Ugi_3rd_gen
C=CC(=O)N(c1cc(C(C)(C)C)on1)C(C(=O)NCCc1cccc(F)c1)c1cncc(O)c1,LON-WEI-babf2c61-12,,Ugi_3rd_gen
C=CC(=O)N(c1cc(C(C)(C)C)on1)C(C(=O)NCCc1cccc(F)c1)c1cncc(C)c1,LON-WEI-babf2c61-13,,Ugi_3rd_gen
C=CC(=O)N(c1cc(C(C)(C)C)on1)C(C(=O)NCCc1cccc(F)c1)c1cncc(C#N)c1,LON-WEI-babf2c61-14,,Ugi_3rd_gen
