SMILES,CID,Comments,Priority,,,
CC(C)n1c(NC(=O)C2CCOc3ccccc32)nc2ccccc21,NAU-LAT-8502cac5-1,Z2646024721,,,,
O=C(Nc1nncn1C1CC1)C1COc2ccc(Cl)cc21,NAU-LAT-8502cac5-2,Z2077755635,,,,
CC1(C)CC(C(=O)Nc2nncn2C2CC2)c2ccccc2O1,NAU-LAT-8502cac5-5,Z2332231803,,,,
Cc1ccn2cnnc2c1NC(=O)C1CCOc2ccccc21,NAU-LAT-8502cac5-7,Z2235072241,,,,
O=C(Nc1nncn1C1CC1)C1CCS(=O)(=O)c2ccccc21,NAU-LAT-8502cac5-8,Z2077762969,,,,
CC(C)n1cnnc1CNC(=O)C1CCOc2ccccc21,NAU-LAT-8502cac5-9,Z1185510380,,,,
O=C(Nc1n[nH]c(C2CC2)n1)C1CCOc2ccc(Cl)cc21,NAU-LAT-8502cac5-12,Z3588656579,,,,
COCc1n[nH]c(NC(=O)C2CCOc3ccc(Cl)cc32)n1,NAU-LAT-8502cac5-13,Z3609149643,,,,
O=C(Nc1cnc2n1CCOC2)C1CCOc2ccc(Cl)cc21,NAU-LAT-8502cac5-14,Z3714899377,,,,
O=C(Nc1ncn(C2CC2)n1)C1CCOc2ccc(Cl)cc21,NAU-LAT-8502cac5-15,Z3711180817,,,,
CC(C)n1ncnc1NC(=O)C1CCOc2ccc(Cl)cc21,NAU-LAT-8502cac5-16,Z2335528438,,,,
Cn1cnnc1NC(=O)C1CCOc2ccc(Cl)cc21,RAL-THA-b74298ba-1,Z1750883063,,,,
CCn1cnnc1NC(=O)C1CCOc2ccc(Cl)cc21,RAL-THA-b74298ba-2,Z2077773173,,,,
O=C(Nc1nncn1C1CC1)[C@@H]1COc2ccc(Cl)cc21,JAG-UCB-c61058a9-18,s_22____9965356____9291990,High,,,
O=C(Nc1cnnn1C1CC1)[C@@H]1CCOc2ccc(Cl)cc21,JAG-UCB-c61058a9-22,Z3627299955,,,,
Cc1nnc(NC(=O)[C@@H]2CCOc3ccc(Cl)cc32)n1C1CC1,JAG-UCB-c61058a9-44,Z2061187599,,,,
CC1(C(=O)Nc2nncn2C2CC2)CCOc2ccccc21,BRU-THA-a358fbdd-2,Z2959502145,,,,
O=C(Nc1nncn1C1CC1)C1CCOc2c(F)cccc21,BRU-THA-a358fbdd-7,Z2841210530,,,,
Cc1ccncc1NC(=O)C1CCOc2ccc(Cl)cc21,BRU-CON-c4e3408a-1,Z1675660888,,,,
CC(C(=O)Nc1nncn1C1CC1)c1cccc(Cl)c1,BRU-CON-67e07230-1,Z2077741386,,,,
CN(C(=O)[C@@H]1CCOc2ccc(Cl)cc21)c1nncn1C1CC1,ERI-UCB-9c7ec71b-3,"Potentially rom EN300-1266350, methylamine",High,,,
C[C@]1(C(=O)Nc2nncn2C2CC2)CCOc2ccc(Cl)cc21,EDG-MED-fe7487f8-6,Potentially from FCH6938661,High,,,
N#Cc1ccc2c(c1)[C@@H](C(=O)Nc1nncn1C1CC1)CCO2,EDG-MED-fe7487f8-1,Potentially from Br version of benzopyran building block,High,,,
O=C(Nc1nncn1C1CC1)[C@H]1CCOc2ccccc21,EDJ-MED-2c295496-1,Z2077729193,High,,,
O=C(Nc1nncn1C1CCNCC1)[C@@H]1CCOc2ccc(Cl)cc21,ROB-UNI-569bc02e-1,Potentially from BBV-563701,High,,,
O=C(Nc1cn[nH]c1C1CC1)[C@@H]1CCOc2ccc(Cl)cc21,VLA-UCB-53bdeed6-3,Z2882517465,High,,,
