SMILES,CID
CC1=C(NC(C(C2=CC=CC(Cl)=C2)C(C3=CC(NC4=CC=CC=C34)=O)=O)=O)C=NC=C1,ALP-POS-ddb41b15-1
CC1=C(NC(N(C2=CC=CC(Cl)=C2)C(C3=CC(NC4=CC=CC=C34)=O)=O)=O)C=NC=C1,ALP-POS-ddb41b15-2
ClC1=CC(N(CC2=CN=CC(N(C)C)=C2)C(C3=CC(NC4=C3C=CC=C4)=O)=O)=CC=C1,ALP-POS-ddb41b15-3
O=C1C=C(C(N(C2=CC(Cl)=CC=C2)CCC3=CC=CC(OC)=C3)=O)C4=CC=CC=C4N1,ALP-POS-ddb41b15-4
O=C(C(C1=CC(Cl)=CC(C2=CC=CC=C2)=C1)C(C3=CC(NC4=C3C=CC=C4)=O)=O)NC5=CC=CN=C5,ALP-POS-ddb41b15-5
O=C(OC1=CC(Cl)=CC=C1)NC2=CN=CC3=CC=CC=C32,ALP-POS-ddb41b15-6
O=C(OC1=CC(Cl)=CC=C1)NC2=CN=CC=C2C3=CC=CC=C3,ALP-POS-ddb41b15-7
O=C(NC(C1=CC=CC(Cl)=C1)C2=NC(C=CC=C3)=C3N2C)CC4=CC5=CC=CC=C5N4,ALP-POS-ddb41b15-8
O=C(NC(C1=CC=CC(OC)=C1)C2=NC(C=CC=C3)=C3N2)CC4=CC=CC(Cl)=C4,ALP-POS-ddb41b15-9
CC1=C(NC(N(C2=CC(N(C)C)=CC(Cl)=C2)C(C3=CC(NC4=CC=CC=C34)=O)=O)=O)C=NC=C1,ALP-POS-ddb41b15-10
CC1=C(OCCNC(C(C)(C)C2=CC=CC(Cl)=C2)=O)C=NC=C1,WIL-UNI-2e73223c-4
