CID,SMILES,Building blocks,Notes,,,
ALP-POS-a3de0cb1-1,CCC(=O)Nc1ccc(N(Cc2ccccc2)C(=O)Nn2nnc3ccccc32)cc1,"BBV-38371038, EN300-58133",BBV-38371038 avaliable from UORSY,,,
ALP-POS-a3de0cb1-2,CCC(=O)Nc1ccc(N(Cc2cccc(Cl)c2)C(=O)Nc2nnn3ccccc23)cc1,"EN300-325737, EN300-58133, EN300-20032",Curtius rearragement can directly afford the isocyanate ,,,
ALP-POS-a3de0cb1-3,COc1ccc(C(Cc2ccsc2)C(=O)Nc2n[nH]c3ccccc23)cc1,"EN300-19915, EN300-85776, EN300-02352",,,,
ALP-POS-a3de0cb1-4,Cn1cc(CN(C(=O)Nc2nnc3ccccn23)c2ccc(N3CCCCC3)cc2)cn1,"EN300-33951, EN300-14236, EN300-35848",,,,
ALP-POS-a3de0cb1-5,Cc1ccc(C(Cc2cnn(C)c2)C(=O)Nc2n[nH]c3ccccc23)cc1,"EN300-02352, EN300-99071, EN300-53594",,,,
ALP-POS-a3de0cb1-6,Cc1ccc(C(Cc2ccccc2)C(=O)Nc2nnn3ccccc23)cc1,"EN300-325737, EN300-21656",,,,
ALP-POS-a3de0cb1-7,CN(C)c1ccc(C(Cc2ccsc2)C(=O)Nn2cnc3ccccc32)cc1,"EN300-41190, EN300-14212, EN300-85776","if EN300-41190 is out of stock, alternative route from EN300-20755",,,
ALP-POS-a3de0cb1-8,O=C(Nc1nnn2ccccc12)C(Cc1ccsc1)c1ccc(N2CCCCC2=O)cc1,"EN300-98589, EN300-24025, EN300-85776, EN300-325737",,,,
ALP-POS-a3de0cb1-9,O=C(Cc1nnn2ccccc12)N(Cc1ccccc1)c1ccc(N2CCCCC2)cc1,"EN300-325737, EN300-33951",,,,
ALP-POS-a3de0cb1-10,CN(C)c1ccc(C(Cc2ccsc2)C(=O)Nc2nnc3ccccn23)cc1,"EN300-41190, EN300-35848, EN300-85776",,,,
ALP-POS-a3de0cb1-11,Cn1cc(CN(C(=O)Nc2n[nH]c3ccccc23)c2ccc(N3CCOCC3)cc2)cn1,"EN300-30034, EN300-14236, EN300-02352",,,,
