SMILES,CID,Comments,,,,
CN(C)CC(=O)NC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,EDJ-MED-4c7486ba-1,test_couplings to intermediate,,,,
O=C(Cn1ccnc1)NC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,EDJ-MED-4c7486ba-2,test_couplings to intermediate,,,,
O=C(Cc1cnc[nH]1)NC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,EDJ-MED-4c7486ba-3,test_couplings to intermediate,,,,
O=C(NC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)[C@H]1COCCN1CC(F)(F)F,EDJ-MED-4c7486ba-7,test_couplings to intermediate,,,,
NS(=O)(=O)c1[nH]ncc1C(=O)NC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,EDJ-MED-4c7486ba-8,test_couplings to intermediate,,,,
O=C(NC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)[C@]1(O)CCSC1,EDJ-MED-4c7486ba-9,test_couplings to intermediate,,,,
CC(=O)N1CCN(CC(=O)Nc2cnccc2C)CC1,BEN-DND-93268d01-8,1 step ,,,,
CC(=O)N1CCN(CC(=O)Nc2cnccc2C2CC2)CC1,EDJ-MED-3c65e9ce-2,1 step ,,,,
CC(=O)N1CCN(CC(=O)Nc2cnccc2-c2ccccc2)CC1,EDJ-MED-3c65e9ce-3,1 step ,,,,
Cc1ccncc1NC(=O)CN1CCC(C)CC1,EDJ-MED-3c65e9ce-4,1 step ,,,,
O=C(Nc1cncc2ccccc12)[C@@H]1COc2ccc(Cl)cc21,EDJ-MED-12c115cc-1,Enantiopure separation,,,,
O=C(Nc1cncc2ccccc12)[C@H]1COc2ccc(Cl)cc21,EDJ-MED-12c115cc-2,Enantiopure separation,,,,
O=C(Nc1cncc2ccccc12)[C@@H]1CCNc2ccc(Cl)cc21,EDJ-MED-92e193ae-1,Enantiopure separation,,,,
O=C1C[C@@H](C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2N1,EDJ-MED-a6bd50ad-1,Enantiopure separation,,,,
O=C(Nc1cncc2ccccc12)C1CCN(Cc2ccccc2)c2ccc(Cl)cc21,RAL-THA-8416115c-1 ,Test if reductive amination works,,,,
CN(C)c1ccc(N(Cc2cccc(Cl)c2)C(=O)Cc2cncc3ccccc23)nc1,MAT-POS-6c284e65-1,Hoping easier to make than ALP-POS-c3a96089-3,,,,
CC(=O)Nc1ccc(N(Cc2cccc(Cl)c2)C(=O)Cc2cncc3ccccc23)cn1,ALP-POS-c3a96089-4,Hoping easier to make than ALP-POS-c3a96089-3,,,,
