SMILES,CID,comments,,,,
O=C(Nc1cncc2ccccc12)[C@]1(OCCn2ccnn2)CCOc2ccc(Cl)cc21,PET-UNK-83d689b6-1,,,,,
COC1(c2cccc(Cl)c2)CCN(c2cncc3ccccc23)C1=O,ALP-UNI-dbb9503d-1,,,,,
COC1(c2cccc(Cl)c2)CCCN(c2cncc3ccccc23)C1=O,ALP-UNI-dbb9503d-2,,,,,
CN1C(=O)N(c2cncc3ccccc23)C(=O)C12CN(S(C)(=O)=O)Cc1ccc(Cl)cc12,EDJ-MED-7587a9ee-1,A lot of routes to methylated spirocyclic hydantoins in literature. See for example BMS compounds in https://pubs.acs.org/doi/abs/10.1021/acs.chemrev.7b00067 and https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/ejoc.200400600,,,,
CS(=O)(=O)N1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1,EDJ-MED-7587a9ee-3,,,,,
O=C(Nc1cncc2ccccc12)C12CCC(O1)c1ccc(Cl)cc12,RAL-THA-eb6cb89c-2,Look at route to EN300-25406228 ?,,,,
CS(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3cccc(F)c23)C1,EDJ-MED-d1555997-1,Fc1cccc2cncc(Br)c12 is commercially available,,,,
CN1CCN(c2cncc3ccccc23)C(=O)[C@H]1c1cccc(Cl)c1,BEN-DND-d1eb1f41-7,,,,,
CS(=O)(=O)N1Cc2cc(F)c(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,MAT-POS-64942dd0-3,,,,,
CC1(C(=O)Nc2cncc3ccccc23)CN(S(C)(=O)=O)Cc2cc(F)c(Cl)cc21,MAT-POS-64942dd0-4,,,,,
Cc1cccc2cncc(NC(=O)C3CN(S(C)(=O)=O)Cc4ccc(Cl)cc43)c12,EDJ-MED-d1555997-2,"EN300-1614044 is out of stock, but you should have route",,,,
