SMILES,CID,Comments,Catalog ID,"Purity, %",,
CC1=NC(=NN1)C2CCN(CC2)C(=O)C=3C=CC(Br)=CC3,RED-RED-10c9212c-1,,Z1082513366,90,,
NC(=O)CN1CCCN(CC1)C(=O)CCSC=2C=CC(F)=CC2,RED-RED-10c9212c-2,,Z1119315104,90,,
CC=1SC=2N=CN=C(N3CCC4=C(C3)N=CN4C5CC5)C2C1C,RED-RED-10c9212c-3,,Z1139219750,90,,
FC=1C=CC=C(C(=O)NC=2C=CC(=CC2)C3=NN=CN3)C1F,RED-RED-10c9212c-4,,Z1175789850,90,,
O=C(NC=1C=CC=NC1)N2CCC(CN3CCC=4C=CC=CC34)CC2,RED-RED-10c9212c-5,,Z1177081377,90,,
FC=1C=CC(CNC2=NC(=CS2)C=3C=CC=4NC(=O)OC4C3)=CC1,RED-RED-10c9212c-6,,Z118600192,90,,
CC=1C(Cl)=CC=CC1S(=O)(=O)N(CC=2C=CC(F)=CC2)C=3C=CC=4NC(=O)NC4C3,RED-RED-10c9212c-7,,Z1233139884,90,,
OC=1C=CC=CC1N2CCN(CC2)C(=O)CN3C=CC(=O)NC3=O,RED-RED-10c9212c-8,,Z135533760,90,,
O=C(COC(=O)C1(CCC1)C=2C=CC=CC2)C3=CNC=4C=CC=CC34,RED-RED-10c9212c-9,,Z151962422,90,,
CCC1=NNC(=O)C(C2=NC(=CS2)C3=CNC=4N=CC=CC34)=C1CC,RED-RED-10c9212c-10,,Z1591979664,90,,
FC=1C=CC(=C(F)C1)C2(CCC2)C(=O)NCCCC3=NC(=O)NN3,RED-RED-10c9212c-11,,Z1611422070,90,,
OC(=O)C=1C=CC(CNCC2=CNN=C2C3=CC=CS3)=CC1,RED-RED-10c9212c-12,,Z1625195423,90,,
ClC=1C=CC(=CC1)C2=NNC=C2C(=O)OC3CCN(CC3)C=O,RED-RED-10c9212c-13,,Z1698181404,90,,
CC=1NC=2C=CC=CC2C1C(=O)CSC3=NC=4C=C(Cl)C=NC4N3,RED-RED-10c9212c-14,,Z17100503,90,,
FC=1C=CC(NC(=O)NCC=2C=CC=3NC(=O)NC3C2)=CC1F,RED-RED-10c9212c-15,,Z1833729750,90,,
ClC=1SC=C(CN2CCC(CC2)C3=CC=NN3)C1Cl,RED-RED-10c9212c-16,,Z1872102436,90,,
O=C(CN1C=CC(=O)NC1=O)OCC=2C=CC(=CC2)C=3C=CC=CC3,RED-RED-10c9212c-17,,Z209174772,90,,
OC=1C=CC=2CN(CCOC2C1)C(=O)C=3C=C(F)C=C(F)C3,RED-RED-10c9212c-18,,Z2091974156,90,,
O=C(CCC1=NC=2C=CC=CC2N1)N3CCC(CCC=4C=CC=CC4)CC3,RED-RED-10c9212c-19,,Z217581612,90,,
CC=1C=CC(=CC1)C=2C=CC(C(=O)N3CC[C@H](N)C3)=C(F)C2,RED-RED-10c9212c-20,,Z2242924365,90,,
CC=1C(Cl)=CC(=CC1[N+](=O)[O-])S(=O)(=O)N2CCC(=CC2)C3=CNC=4N=CC=CC34,RED-RED-10c9212c-21,,Z240284372,90,,
CC1=C(C)N2C(=NC=3N(C)C(=O)N(CCCO)C(=O)C32)N1C=4C=CC(C)=C(Cl)C4,RED-RED-10c9212c-22,,Z247606918,90,,
C(N1CCC(=CC1)C2=CNC=3C=CC=CC23)C4=CC=NO4,RED-RED-10c9212c-23,,Z319033286,90,,
CC=1C=CC=C(CN2CCN(CC2)C=3N=C4C=CC=CC4=NC3C)C1,RED-RED-10c9212c-24,,Z319862030,90,,
ClC=1C=CC=CC1NC(=S)NC=2C=CC=3NC(=O)NC3C2,RED-RED-10c9212c-25,,Z45764695,90,,
O=C(COC(=O)C1=CC(=O)NC(=O)N1)N2CCC(CC=3C=CC=CC3)CC2,RED-RED-10c9212c-26,,Z56838049,90,,
OC=1C=C(C(=O)NCCC2=NN=C3CCCN23)C=4C=CC=CC4N1,RED-RED-10c9212c-27,,Z595032170,90,,
CC1=NC(=NN1)C=2C=CC=C(NCC=3C=CC=CC3C)C2,RED-RED-10c9212c-28,,Z608545434,90,,
ClC=1C=CC=CC1C2=CC=3N=C(NC(=O)C3S2)C4=NN=CN4,RED-RED-10c9212c-29,,Z666718422,90,,
COC=1C=CC(=CC1COC(=O)C=2C=NC=3C=CC=CC3N2)[N+](=O)[O-],RED-RED-10c9212c-30,,Z74522509,90,,
CC=CC=CC(=O)N1CCC(=CC1)C2=CNC=3N=CC=CC23,RED-RED-10c9212c-31,,Z298640068,90,,
CCC(C)C=1C=CC(=CC1)C(NCC(=O)NC=2C=CC=3NC(=O)NC3C2)C4=CC=CS4,RED-RED-10c9212c-32,,Z106772880,90,,
CCN1CCCC1C2CCCN2C(=O)CCC3=CNC=4C=CC=CC34,RED-RED-10c9212c-33,,Z1139332298,90,,
CC(NC(C)C=1C=CC=CC1C)C(=O)NC=2C=CC=3NC(=O)NC3C2,RED-RED-10c9212c-34,,Z124906960,90,,
COC1CCC2OCCN(C2C1)C(=O)C=3C=CC=4NC=NC4C3,RED-RED-10c9212c-35,,Z1516577099,90,,
CCC(N1CCCC(C1)NC(=O)C=2C=CC=3C=CC=CC3C2)C(=O)O,RED-RED-10c9212c-36,,Z1838186394,90,,
CC(C(=O)N1CCCCC1C=2C=CC=C(C)C2C)C=3C=NC=NC3,RED-RED-10c9212c-37,,Z1873552876,90,,
COC(=O)C1CC1C(=O)N2CCC(CC2)C3=CNC=4N=CC=CC34,RED-RED-10c9212c-38,,Z1068480782,90,,
FC(F)(F)C=1C=CC=CC1C2CCCCCC2NC(=O)CN3C=NNC3=O,RED-RED-10c9212c-39,,Z1766618375,90,,
O=C(N1CCCC(C1)C2=CC=NN2)C=3C=CC(=NC3)N4CCCC4,RED-RED-10c9212c-40,,Z1049616068,90,,
NC(=O)C1CC=2C=CC=CC2CN1CC(=O)N3CCN(CC3)C=4N=CC=CN4,RED-RED-10c9212c-41,,Z106535516,90,,
CC1N(CCNC1=O)C(=O)CCCC2=CNC=3C=CC=CC23,RED-RED-10c9212c-42,,Z1082511056,90,,
CC=1C=C(C)N(N1)C2CCCN(C2)C(=O)C3=CNC=4N=CC=CC34,RED-RED-10c9212c-43,,Z1139345881,90,,
CCCCN1N=NN=C1CNC2CCC3=NC(=NN3C2)C(C)C,RED-RED-10c9212c-44,,Z1139411647,90,,
CC(C)(CNC(=O)C1CNC(=O)N1)N2CCC=3C=CC=CC3C2,RED-RED-10c9212c-45,,Z1162487743,90,,
