SMILES,CID,Comments,Amount,,,
N#CC1CN(S(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)C1,EDJ-MED-1981ceba-4,Remake,>= 35 mg,,,
COC1CN(S(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)C1,EDJ-MED-1981ceba-3,Remake,>= 35 mg,,,
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CCC1,MAT-POS-4223bc15-12,Remake,>= 35 mg,,,
CNC(=O)CN1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,MAT-POS-4223bc15-23,Remake,>= 35 mg,,,
O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)N2CCC2)Cc2ccc(Cl)cc21,EDJ-MED-1981ceba-2,Remake,>= 35 mg,,,
CC1(C(=O)Nc2cncc3ccccc23)CNS(=O)(=O)c2ccc(Cl)cc21,ALP-POS-1cbc2fae-1,"Perhaps from https://www.enaminestore.com/catalog/EN300-199542, see attached route",>= 35 mg,,,
CCC1(C(=O)Nc2cncc3ccccc23)CNS(=O)(=O)c2ccc(Cl)cc21,ALP-POS-1cbc2fae-2,"Perhaps from https://www.enaminestore.com/catalog/EN300-199542, see attached route",>= 35 mg,,,
CS(=O)(=O)Nc1ccc2cncc(NC(=O)C3CNC(=O)c4ccc(Cl)cc43)c2c1,EDJ-MED-d9f3798e-1,Coupling of already made BB,>= 35 mg,,,
CS(=O)(=O)Nc1ccc2cncc(NC(=O)C3CCS(=O)(=O)c4ccc(Cl)cc43)c2c1,EDJ-MED-d9f3798e-3,Coupling of already made BB,>= 35 mg,,,
CC1(C(=O)Nc2cncc3ccccc23)CNC(=O)c2ccc(Cl)cc21,RAL-THA-176e263b-4,Coupling of already made BB,>= 35 mg,,,
CCC1(C(=O)Nc2cncc3ccccc23)CNC(=O)c2ccc(Cl)cc21,RAL-THA-176e263b-1,Coupling of already made BB,>= 35 mg,,,
CC1NC(=O)c2ccc(Cl)cc2C1C(=O)Nc1cncc2ccccc12,MAT-POS-22e8b45a-4,Coupling of already made BB,>= 35 mg,,,
O=C(Cc1cccc(Cl)c1)Nc1cnc2n1CCCC2,EDJ-MED-6e43a462-11,s_527____10643718____3020520,>= 15 mg,,,
COc1ccn2c(NC(=O)Cc3cccc(Cl)c3)cnc2c1,EDJ-MED-6e43a462-1,One step from https://www.enaminestore.com/catalog/EN300-5228073,>= 15 mg,,,
