SMILES,CID,Comments,Amount,,,
CS(=O)(=O)Nc1ccc2c(N3CCC4(CCS(=O)(=O)c5ccc(Cl)cc54)C3=O)cncc2c1,EDJ-MED-94fddcec-7,,35 mg,,,
O=C1N(c2cncc3cc(NS(=O)(=O)C4CC4)ccc23)CCC12CCS(=O)(=O)c1ccc(Cl)cc12,EDJ-MED-ede5c6cb-2,,35 mg,,,
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccc(OCCN6CCCC6)cc45)C3=O)C2)CC1,EDJ-MED-468565e0-1,,35 mg,,,
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccc(OCCN6CCOCC6)cc45)C3=O)C2)CC1,EDJ-MED-468565e0-2,,35 mg,,,
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccc(OCCN6CCS(=O)(=O)CC6)cc45)C3=O)C2)CC1,EDJ-MED-468565e0-3,,35 mg,,,
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccc(OCCN6CCC(F)(F)CC6)cc45)C3=O)C2)CC1,EDJ-MED-468565e0-4,,35 mg,,,
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccc(OCCN6CC(F)(F)C6)cc45)C3=O)C2)CC1,EDJ-MED-468565e0-5,,35 mg,,,
CNC(=O)CN1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccc(OCCN(C)C)cc34)C2=O)C1,MAT-POS-38eb6498-3,High Priority,> 35 mg,,,
CNC(=O)CN1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccc(OC)cc34)C2=O)C1,EDJ-MED-b6c6ee2b-2,High Priority,> 35 mg,,,
COc1ccc2cncc(N3CCC4(CN(S(=O)(=O)CC5(C#N)CC5)Cc5ccc(Cl)cc54)C3=O)c2c1,EDJ-MED-b6c6ee2b-3,High Priority,> 35 mg,,,
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccc(Cl)cc45)C3=O)C2)CC1,EDJ-MED-b6c6ee2b-4,High Priority,> 35 mg,,,
CNC(=O)CN1CC2(CCN(c3cncc4ccc(OCCN(C)C)cc34)C2=O)c2cc(Cl)ccc2C1=O,MAT-POS-38eb6498-4,High Priority,> 35 mg,,,
CNC(=O)CN1CC2(CCN(c3cncc4ccc(F)cc34)C2=O)c2cc(Cl)ccc2C1=O,EDG-MED-b1ef7fe3-2,High Priority,> 35 mg,,,
CNC(=O)C1(N2CC3(CCN(c4cncc5ccc(F)cc45)C3=O)c3cc(Cl)ccc3C2=O)CC1,EDJ-MED-b6c6ee2b-7,High Priority,> 35 mg,,,
CN1CCCC1COc1ccc2cncc(N3CCC4(CN(S(=O)(=O)CC5(C#N)CC5)Cc5ccc(Cl)cc54)C3=O)c2c1,MAT-POS-40ad851a-1,,35 mg,,,
CCN(C)CCOc1ccc2cncc(N3CCC4(CN(S(=O)(=O)CC5(C#N)CC5)Cc5ccc(Cl)cc54)C3=O)c2c1,MAT-POS-40ad851a-2,,35 mg,,,
CCN(CC)CCOc1ccc2cncc(N3CCC4(CN(S(=O)(=O)CC5(C#N)CC5)Cc5ccc(Cl)cc54)C3=O)c2c1,MAT-POS-40ad851a-3,,35 mg,,,
CN(C)CCCOc1ccc2cncc(N3CCC4(CN(S(=O)(=O)CC5(C#N)CC5)Cc5ccc(Cl)cc54)C3=O)c2c1,MAT-POS-40ad851a-4,,35 mg,,,
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccc(OCCCN6CCCC6)cc45)C3=O)C2)CC1,MAT-POS-40ad851a-5,,35 mg,,,
CNC(=O)C1(N2CC3(CCN(c4cncc5ccc(OCCN6CCCC6)cc45)C3=O)c3cc(Cl)ccc3C2=O)CC1,EDJ-MED-dfa1d800-1,,35 mg,,,
CNC(=O)C1(N2CC3(CCN(c4cncc5ccc(OCCN6CCOCC6)cc45)C3=O)c3cc(Cl)ccc3C2=O)CC1,EDJ-MED-dfa1d800-2,,35 mg,,,
CNC(=O)C1(N2CC3(CCN(c4cncc5ccc(OCCN6CCS(=O)(=O)CC6)cc45)C3=O)c3cc(Cl)ccc3C2=O)CC1,EDJ-MED-dfa1d800-3,,35 mg,,,
CNC(=O)C1(N2CC3(CCN(c4cncc5ccc(OCCN6CCC(F)(F)CC6)cc45)C3=O)c3cc(Cl)ccc3C2=O)CC1,EDJ-MED-dfa1d800-4,,35 mg,,,
CNC(=O)C1(N2CC3(CCN(c4cncc5ccc(OCCN6CC(F)(F)C6)cc45)C3=O)c3cc(Cl)ccc3C2=O)CC1,EDJ-MED-dfa1d800-5,,35 mg,,,
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccc(OC(F)F)cc45)C3=O)C2)CC1,EDJ-MED-5cd3920d-1,,35 mg,,,
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccc(C(F)F)cc45)C3=O)C2)CC1,EDJ-MED-5cd3920d-2,,35 mg,,,
CNC(=O)C1(N2CC3(CCN(c4cncc5ccc(OC(F)F)cc45)C3=O)c3cc(Cl)ccc3C2=O)CC1,EDJ-MED-5cd3920d-3,,35 mg,,,
CNC(=O)C1(N2CC3(CCN(c4cncc5ccc(C(F)F)cc45)C3=O)c3cc(Cl)ccc3C2=O)CC1,EDJ-MED-5cd3920d-4,,35 mg,,,
O=C1N(c2cncc3ccccc23)CCC12CN(S(=O)(=O)CC1(C(F)F)CC1)Cc1ccc(Cl)cc12,EDJ-MED-5cd3920d-5,,35 mg,,,
O=C1N(c2cncc3ccccc23)CCC12CN(S(=O)(=O)CC1(C(F)(F)F)CC1)Cc1ccc(Cl)cc12,EDJ-MED-5cd3920d-6,,35 mg,,,
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccc(OC6CNC6)cc45)C3=O)C2)CC1,EDJ-MED-ee81482e-1,,35 mg,,,
CN1CC(Oc2ccc3cncc(N4CCC5(CN(S(=O)(=O)CC6(C#N)CC6)Cc6ccc(Cl)cc65)C4=O)c3c2)C1,EDJ-MED-ee81482e-2,,35 mg,,,
CN(C)CC(O)COc1ccc2cncc(N3CCC4(CN(S(=O)(=O)CC5(C#N)CC5)Cc5ccc(Cl)cc54)C3=O)c2c1,EDJ-MED-ee81482e-3,,35 mg,,,
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccc(OC6CCNCC6)cc45)C3=O)C2)CC1,EDJ-MED-ee81482e-4,,35 mg,,,
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccc(CN6CC7(COC7)C6)cc45)C3=O)C2)CC1,EDJ-MED-ee81482e-5,,35 mg,,,
