CID,SMILES,Comments,Amount,,,
LUO-POS-e1dab717-3,CNC(=O)C1(N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccc(Cl)cc45)C3=O)C2)CC1,,35 mg,,,
LUO-POS-e1dab717-4,CNC(=O)C1(N2CC3(CCN(c4cncc5ccc(Cl)cc45)C3=O)c3cc(Cl)ccc3C2=O)CC1,,35 mg,,,
LUO-POS-e1dab717-5,CNC(=O)C1(N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccc(OC)cc45)C3=O)C2)CC1,,35 mg,,,
LUO-POS-e1dab717-6,CNC(=O)C1(N2CC3(CCN(c4cncc5ccc(OC)cc45)C3=O)c3cc(Cl)ccc3C2=O)CC1,,35 mg,,,
LUO-POS-e1dab717-7,CNC(=O)C1(N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccc(OCCN(C)C)cc45)C3=O)C2)CC1,,35 mg,,,
LUO-POS-e1dab717-8,CNC(=O)C1(N2CC3(CCN(c4cncc5ccc(OCCN(C)C)cc45)C3=O)c3cc(Cl)ccc3C2=O)CC1,,35 mg,,,
LUO-POS-e1dab717-9,CNC(=O)C1(N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5cc(S(C)(=O)=O)ccc45)C3=O)C2)CC1,,35 mg,,,
LUO-POS-e1dab717-11,CCNC(=O)CN1CC2(CCN(c3cncc4ccccc34)C2=O)c2cc(Cl)ccc2S1(=O)=O,,35 mg,,,
LUO-POS-e1dab717-12,O=C(CN1CC2(CCN(c3cncc4ccccc34)C2=O)c2cc(Cl)ccc2S1(=O)=O)NCC1CC1,,35 mg,,,
LUO-POS-e1dab717-13,CNC(=O)C1(N2Cc3ccc(Cl)cc3C3(CCCN(c4cncc5ccccc45)C3=O)C2)CC1,,35 mg,,,
PET-UNK-14142a25-12,CNC(=O)C1(N2CC3(CCCN(c4cncc5ccccc45)C3=O)c3cc(Cl)ccc3C2=O)CC1,,35 mg,,,
LUO-POS-f7b1afe6-1,N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(C2)C(=O)N(c2cncc4ccccc24)CC32CC2)CC1,Br-nitrile BB is available,35 mg,,,
MAT-POS-50a80394-8,CC1(C)CN(c2cncc3ccccc23)C(=O)C12CN(S(=O)(=O)CC1(C#N)CC1)Cc1ccc(Cl)cc12,Br-nitrile BB is available,35 mg,,,
LUO-POS-f7b1afe6-3,CNC(=O)CN1Cc2ccc(Cl)cc2C2(C1)C(=O)N(c1cncc3ccccc13)CC21CC1,Br-nitrile BB is available,35 mg,,,
MAT-POS-50a80394-7,CNC(=O)CN1Cc2ccc(Cl)cc2C2(C1)C(=O)N(c1cncc3ccccc13)CC2(C)C,Br-nitrile BB is available,35 mg,,,
LUO-POS-e1dab717-19,O=C(O)CN1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1,Key intermediate for parallel chemistry,2 g,,,
LUO-POS-5857a86a-1,CN1C2(CN(S(=O)(=O)CC3(C#N)CC3)Cc3ccc(Cl)cc32)C(=O)N(c2cncc3ccccc23)S1(=O)=O,"See attached route, hopefully simple",35 mg,,,
LUO-POS-5857a86a-2,N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(C2)NS(=O)(=O)N(c2cncc4ccccc24)C3=O)CC1,"See attached route, hopefully simple",35 mg,,,
LUO-POS-5857a86a-3,CNC(=O)C1(N2Cc3ccc(Cl)cc3C3(C2)C(=O)N(c2cncc4ccccc24)S(=O)(=O)N3C)CC1,"See attached route, hopefully simple",35 mg,,,
LUO-POS-5857a86a-4,CNC(=O)C1(N2Cc3ccc(Cl)cc3C3(C2)NS(=O)(=O)N(c2cncc4ccccc24)C3=O)CC1,"See attached route, hopefully simple",35 mg,,,
