SMILES,CID,REAL,inchikey
O=C(Cc1cncnc1)Nc1cccc(CC2CCC(=O)N2)c1,RAL-MED-2de63afb-8,,XXPHBNUPANTIOE-UHFFFAOYSA-N
O=C(Cc1cncnc1)Nc1cccc(CC2CC(=O)N2)c1,RAL-MED-2de63afb-7,,MHEUUDWODHAAEW-UHFFFAOYSA-N
O=C(Cc1ccccc1)Nc1cccc(OC2CC(=O)N2)c1,RAL-MED-2de63afb-6,,SFKWENCSAZNUCG-UHFFFAOYSA-N
O=C(NCc1cncnc1)c1cccc(OC2CC(=O)N2)c1,RAL-MED-2de63afb-5,,LDEDLTCCGPECNH-UHFFFAOYSA-N
O=C(Nc1cccc(OC2CC(=O)N2)c1)C(=O)c1cncnc1,RAL-MED-2de63afb-4,,ZAGJWBWIHACYEU-UHFFFAOYSA-N
Cc1cc(NC(=O)Cc2cncnc2)cc(OC2CC(=O)N2)c1,RAL-MED-2de63afb-2,,BBXRTGNKDKIMPV-UHFFFAOYSA-N
C[C@H](C(=O)Nc1cccc(OC2CC(=O)N2)c1)c1cncnc1,RAL-MED-2de63afb-16,,NCVRQIGWXLCJBJ-MYHCZTBNSA-N
C[C@@H](C(=O)Nc1cccc(OC2CC(=O)N2)c1)c1cncnc1,RAL-MED-2de63afb-15,,NCVRQIGWXLCJBJ-INHVJJQHSA-N
Fc1cc(NC(=O)Cc2cncnc2)cc(OC2CC(=O)N2)c1,RAL-MED-2de63afb-14,,SFHHIQYDZORTHQ-UHFFFAOYSA-N
O=C(Cc1cncnc1)Nc1cccc(CC2CNC(=O)N2)c1,RAL-MED-2de63afb-13,,OYWHWHGVZGCFCQ-UHFFFAOYSA-N
C\C=C\C(=O)Nc1cccc(OC2CC(=O)N2)c1,RAL-MED-2de63afb-10,,SKAZTFBEPKUREY-DUXPYHPUSA-N
Cc1ccncc1N1CCN(C1=O)c1cccc(Cl)c1,JAG-UCB-cedd89ab-1,,ZTWAZISELGQBHC-UHFFFAOYSA-N
Cc1ccncc1C1CCN(C1=O)c1cccc(Cl)c1,EDJ-MED-e66f2cc5-2,,HVGLWSBDSIPWQO-UHFFFAOYSA-N
Cc1ccncc1N1CCC(C1=O)c1cccc(Cl)c1,EDJ-MED-e66f2cc5-1,,JNMYIISRJKNRPB-UHFFFAOYSA-N
Cc1ccncc1NC(=O)Cc1cccc(c1)-c1cn[nH]c1,EDJ-MED-e58735b6-4,,BRBVXYZNRUYZKX-UHFFFAOYSA-N
Cc1ccncc1NC(=O)Cc1cccc(c1)S(N)(=O)=O,EDJ-MED-e58735b6-3,,SSBFJFNXPHFSDR-UHFFFAOYSA-N
Cc1ccncc1NC(=O)Cc1cccc(CO)c1,EDJ-MED-e58735b6-2,,BTQSJDQNHQXQTK-UHFFFAOYSA-N
Cc1ccncc1C1CCN(c2cccc(Cl)c2)S1(=O)=O,EDJ-MED-49816e9b-6,,YVFJWIQVXNQVGM-UHFFFAOYSA-N
Cc1nnn(C)c1NC(=O)Cc1cccc(Cl)c1,EDJ-MED-49816e9b-5,,MINGYQILGFDVQH-UHFFFAOYSA-N
Cc1ccncc1N1CCC(c2cccc(Cl)c2)S1(=O)=O,EDJ-MED-49816e9b-4,,ADQNLTUVCLDBKV-UHFFFAOYSA-N
CCCCOc1ccc(Cl)cc1CC(=O)Nc1cnccc1C,EDG-MED-0da5ad92-7,,BNLQGZVZNCOJKF-UHFFFAOYSA-N
Cc1ccncc1NC(=N)Cc1cccc(Cl)c1,EDG-MED-0da5ad92-6,,IGFGXGNAKOKFCT-UHFFFAOYSA-N
Cc1ccncc1NC(=O)C(CO)c1cccc(Cl)c1,EDG-MED-0da5ad92-5,,YUJIYWCEKJSKBQ-UHFFFAOYSA-N
CN(C(=O)Nc1cnccc1C)c1cccc(Cl)c1,EDG-MED-0da5ad92-3,,PXCFXKRZYHKUTH-UHFFFAOYSA-N
Cc1[nH]ncc1NC(=O)Cc1cccc(Cl)c1,EDG-MED-0da5ad92-21,,YSMRCXUJRFLNNU-UHFFFAOYSA-N
Cc1ccncc1NC(=O)N(Cc1ccccc1)c1cccc(Cl)c1,EDG-MED-0da5ad92-20,,YMFZNLWSSHHIRN-UHFFFAOYSA-N
Cc1ccncc1NC(=O)N(c1cccc(Cl)c1)c1cccc(Cl)c1,EDG-MED-0da5ad92-19,,HMSJLHSVPCHVSS-UHFFFAOYSA-N
Cc1ccnc(N)c1NC(=O)Cc1cccc(Cl)c1,EDG-MED-0da5ad92-18,,HMBNRINOSXPSCN-UHFFFAOYSA-N
Cc1cc(N)ncc1NC(=O)Cc1cccc(Cl)c1,EDG-MED-0da5ad92-17,,WIFKVMYETJFXHA-UHFFFAOYSA-N
Cc1cnncc1NC(=O)Cc1cccc(Cl)c1,EDG-MED-0da5ad92-16,,VUGOQWLHGHMVIW-UHFFFAOYSA-N
Cc1ccnnc1NC(=O)Cc1cccc(Cl)c1,EDG-MED-0da5ad92-15,,ZNGNXXLXHHJCCJ-UHFFFAOYSA-N
CC(C(=O)Nc1cnccc1C)c1cc(Cl)cc(OC2CC(=O)N2)c1,TRY-UNI-2eddb1ff-8,,NGODSAZXSLLARZ-UHFFFAOYSA-N
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OC2CC(=O)N2)c1,TRY-UNI-2eddb1ff-7,,JCZDGTYSQGAPDN-UHFFFAOYSA-N
Cc1ccncc1NC(=O)Cc1cc(OC2CC(=O)N2)cc(c1)C#N,TRY-UNI-2eddb1ff-6,,FOACOGDXINRMHQ-UHFFFAOYSA-N
CC(C(=O)Nc1cnccc1C)c1cncc(Cl)c1,TRY-UNI-2eddb1ff-3,,SEFKQYGCOOMXHK-UHFFFAOYSA-N
Cc1ccncc1NC(=O)Cc1cncc(Cl)c1,TRY-UNI-2eddb1ff-2,,OCRRKPZGCOGESB-UHFFFAOYSA-N
Cc1ccncc1NC(=O)Cc1cncc(c1)C#N,TRY-UNI-2eddb1ff-1,,MAYMKKDCBJTHBQ-UHFFFAOYSA-N
CC(C)c1ncncc1NC(=O)C(C)c1cccc(Cl)c1,JAN-GHE-83b26c96-6,,IIAXXCLFCNEBRQ-UHFFFAOYSA-N
C[C@H](C(=O)Nc1cnccc1C)c1cccc(Cl)c1,TRY-UNI-2eddb1ff-4,,WNGGAWMEODUSED-NSHDSACASA-N
C[C@@H](C(=O)Nc1cnccc1C)c1cccc(Cl)c1,JAN-GHE-83b26c96-4,,WNGGAWMEODUSED-LLVKDONJSA-N
Cc1ccncc1-c1nnc(o1)-c1cccc(Cl)c1,JAN-GHE-83b26c96-24,,KCRYDDZEZBCVTG-UHFFFAOYSA-N
Cc1ccncc1NC(=O)C(F)(F)c1cccc(Cl)c1,JAN-GHE-83b26c96-23,,IIKFZOGWCHXLNB-UHFFFAOYSA-N
CCC(C(=O)Nc1cnncc1C)c1cccc(Cl)c1,JAN-GHE-83b26c96-1,,AATSBPIJUYIMKX-UHFFFAOYSA-N
Cc1c(N)cncc1NC(=O)Nc1cccc(c1)C#N,TRY-UNI-714a760b-23,,RNZZINLBQSAYBI-UHFFFAOYSA-N
CC(C(=O)Nc1cnccc1C)c1ccccc1,TRY-UNI-714a760b-17,,KVKDYQWYDVBSMV-UHFFFAOYSA-N
CC(C1CCCCC1)C(=O)Nc1cncc(N)c1C,TRY-UNI-714a760b-13,,IZYUKUVTVCHNQU-UHFFFAOYSA-N
