SMILES,CID,order
COc1ccc(-c2cccc(S(=O)(=O)N3CCN(C(C)=O)CC3)c2)cc1,ANT-OPE-782-1,20200429_moonshot_to_mcule.csv
O=C(Nc1nnc(-c2ccccn2)o1)C1CCN(S(=O)(=O)c2ccc(F)cc2)CC1,DR.-CSI-7ec-18,20200429_moonshot_to_mcule.csv
O=C(Nc1ccccc1OC1CCN(Cc2ccccc2)CC1)C1CCN(C(=O)CCl)CC1,MED-COV-428-17,20200417_moonshot_to_enamine.csv
CC(=O)NCCc1c[nH]c2c(C(c3ccccc3)N3CCN(C(=O)CCl)CC3)cccc12,MED-COV-428-21,20200417_moonshot_to_enamine.csv
O=C(Nc1cccc(CN2CCN(C(=O)CCl)CC2)c1)c1cnc(Cc2ccccc2)s1,MED-COV-428-1,20200417_moonshot_to_enamine.csv
NC(=O)C1CCC(CC(NC(=O)CCl)c2cccc3ccccc23)C1c1ccccc1,MED-COV-428-9,20200417_moonshot_to_enamine.csv
O=C(CCl)N1CCN(S(=O)(=O)c2ccc(Cc3cccc4ccccc34)cc2)CC1,MED-COV-428-5,20200417_moonshot_to_enamine.csv
CCNc1ncc(C#N)cc1C(c1cccc(Cl)c1)N1CCN(C(=O)CCl)CC1,MED-COV-428-34,20200417_moonshot_to_enamine.csv
CNC(=O)C(CCN1CCN(C(=O)CCl)CC1)Nc1ccccc1,MED-COV-dea-1,20200417_moonshot_to_enamine.csv
NC(=O)C1CC(c2ccnc(Cl)c2NC(=O)CCl)CC1c1ccccc1,MED-COV-428-20,20200417_moonshot_to_enamine.csv
O=C(CCl)N1CCN(Cc2cccc(Cl)c2)C[C@@H]1Cc1ccc(O)cc1,MED-COV-428-2,20200417_moonshot_to_enamine.csv
O=C(CCl)Nc1nc(=O)n(Cc2cccc(Cl)c2)cc1-c1cccnc1,MED-COV-428-3,20200417_moonshot_to_enamine.csv
Cc1cccc(N(c2cccc(N)c2)C2CCN(C(=O)CCl)CC2)c1,MED-COV-428-4,20200417_moonshot_to_enamine.csv
Nc1nc(CN2CCN(C(=O)CCl)CC2)ncc1Cc1ccccc1,MED-COV-428-19,20200417_moonshot_to_enamine.csv
COc1ccc(C2CC(c3ccccc3)=NN2C(=O)CCl)cc1OC,MED-COV-428-30,20200417_moonshot_to_enamine.csv
O=C(CCl)N1CCN(C(c2cccc(Cl)c2)c2cccc(Cl)c2)CC1,MED-COV-428-6,20200417_moonshot_to_enamine.csv
O=C(CCl)N1CCN([C@H](c2ccc(Cl)cc2)c2cccc(Cl)c2)CC1,MED-COV-428-18,20200417_moonshot_to_enamine.csv
Cc1ccc(C(c2cccc(C)c2)N2CCN(C(=O)CCl)CC2)cc1,MED-COV-428-23,20200417_moonshot_to_enamine.csv
Cc1cccc([C@H](c2cccc(Cl)c2)N2CCN(C(=O)CCl)CC2)c1,MED-COV-428-7,20200417_moonshot_to_enamine.csv
O=C(CCl)Nc1nc(=O)n(Cc2ccccc2)cc1-c1cccnc1,MED-COV-428-28,20200417_moonshot_to_enamine.csv
C=CC(=O)NCC(=O)N(CCN1CCOCC1)Cc1ccccc1Cl,MED-COV-428-22,20200417_moonshot_to_enamine.csv
C=CC(=O)NCC(=O)N(Cc1ccccc1)C[C@H](O)c1ccccc1,MED-COV-428-26,20200417_moonshot_to_enamine.csv
O=C(CCl)N1CCN(Cc2cnc(Cc3ccccc3)s2)CC1,MED-COV-428-25,20200417_moonshot_to_enamine.csv
O=C(CCl)N1CCN(Cc2ncc(Cc3ccccc3)s2)CC1,MED-COV-428-8,20200417_moonshot_to_enamine.csv
NC(=O)C1CC2(CCCN(C(=O)CCl)C2)CC1c1ccccc1,MED-COV-428-27,20200417_moonshot_to_enamine.csv
COCCc1ccc(Cl)cc1CN1CCN(C(=O)CCl)CC1,MED-COV-428-37,20200417_moonshot_to_enamine.csv
CCNc1cccc(C#N)c1CN1CCN(C(=O)CCl)CC1,MED-COV-428-24,20200417_moonshot_to_enamine.csv
N#Cc1cnc(CCO)cc1CN1CCN(C(=O)CCl)CC1,MED-COV-428-35,20200417_moonshot_to_enamine.csv
O=C(CCl)Nc1cccc(-c2ccc3c(c2)CCCC3)c1,MED-COV-428-10,20200417_moonshot_to_enamine.csv
O=C(CCl)N1CCN(Cc2cccc3ccccc23)CC1,MED-COV-428-31,20200417_moonshot_to_enamine.csv
C=CC(=O)N1CCN(C2(c3cccc(Cl)c3)CCO2)CC1,MED-COV-428-32,20200417_moonshot_to_enamine.csv
O=C(CCl)N1CCN(C2(c3cccc(Cl)c3)CCO2)CC1,MED-COV-428-11,20200417_moonshot_to_enamine.csv
CC1CN(C(=O)CCl)CCN1C(F)(F)c1cccc(Cl)c1,MED-COV-428-38,20200417_moonshot_to_enamine.csv
COCc1cc(Cl)cc(CN2CCN(C(=O)CCl)CC2)c1,MED-COV-428-33,20200417_moonshot_to_enamine.csv
N#C/C=C/C[C@H](c1cccc(Cl)c1)c1cccc(C#N)c1,MED-COV-428-36,20200417_moonshot_to_enamine.csv
O=C(CCl)N1CCN(C(F)(F)c2cccc(Cl)c2)CC1,MED-COV-428-29,20200417_moonshot_to_enamine.csv
O=C(CCl)N1CCN(C2(c3cccc(Cl)c3)CC2)CC1,MED-COV-428-12,20200417_moonshot_to_enamine.csv
CC1CN(Cc2cccc(Cl)c2)CCN1C(=O)CCl,MED-COV-428-13,20200417_moonshot_to_enamine.csv
C=CC(=O)N1CCN(C(=O)c2cccc(Cl)c2)CC1,MED-COV-428-14,20200417_moonshot_to_enamine.csv
O=C(CCl)N1CCN(Cc2cccc(Cl)c2)CC1,MED-COV-428-15,20200417_moonshot_to_enamine.csv
Cc1ncc(C2(N3CCN(C(=O)CCl)CC3)CCCCC2)s1,WAR-XCH-79d-9,20200417_moonshot_to_enamine.csv
O=C(CCl)N1CC[C@H](C(=O)N2CCCCC2)[C@@H](CCc2ccccc2)C1,PAU-WEI-c6d-1,20200417_moonshot_to_enamine.csv
O=C(CCl)NCC(=O)C1CCCN1C(=O)c1ccccc1,GIA-UNK-d2d-7,20200417_moonshot_to_enamine.csv
CN(CC(=O)C1CCCN1C(=O)c1ccccc1)C(=O)CCl,GIA-UNK-d2d-9,20200417_moonshot_to_enamine.csv
N#Cc1cc(CN2CCN(C(=O)CCl)CC2)c2ccccc2c1,DAR-DIA-fb2-6,20200417_moonshot_to_enamine.csv
NS(=O)(=O)c1ccc2cccc(CN3CCN(C(=O)CCl)CC3)c2c1,MIH-UNI-e57-4,20200417_moonshot_to_enamine.csv
O=C(CCl)N1CCN(Cc2cc(Cl)cc3cnccc23)CC1,JOO-PER-58e-1,20200417_moonshot_to_enamine.csv
O=C(CCl)N1CCN(Cc2cc(Cl)cc(Cl)c2)CC1,PAU-UNI-8cd-1,20200417_moonshot_to_enamine.csv
COc1cc(CN2CCN(C(=O)CCl)CC2)c2ccccc2c1,DAR-DIA-fb2-7,20200417_moonshot_to_enamine.csv
O=C(CCl)N1CCN(Cc2cnc(-c3ccccc3)nc2)CC1,MAK-UNK-af8-1,20200417_moonshot_to_enamine.csv
CNS(=O)(=O)c1ccc2ccc(CN3CCN(C(=O)CCl)CC3)cc2c1,TAM-UNI-d1c-6,20200417_moonshot_to_enamine.csv
CCNc1ccc(Nc2cc(C)cc(CN3CCN(C(=O)CCl)CC3)c2)c(C#N)c1,MAK-UNK-af8-22,20200417_moonshot_to_enamine.csv
CS(=O)(=O)N1CCN(C(=O)CCl)CC1c1ccccc1,DUN-NEW-f8c-22,20200417_moonshot_to_enamine.csv
C=CC(=O)N1CCN(S(C)(=O)=O)CC1c1ccccc1,NAU-LAT-f72-4,20200417_moonshot_to_enamine.csv
CC(NC(=O)CCl)c1cc(Cl)cc(-c2ccc(S(N)(=O)=O)cc2)c1,DAV-CRI-14a-1,20200417_moonshot_to_enamine.csv
Cc1ccc(C)c(S(=O)(=O)N2CCN(C(=O)CCl)CC2)c1,WAR-XCH-79d-6,20200417_moonshot_to_enamine.csv
CCNc1ccc(C#N)cc1CN1CCN(C(=O)CCl)CC1,DAR-DIA-fb2-3,20200417_moonshot_to_enamine.csv
CC(=O)Nc1ccc(C#N)cc1CN1CCN(C(=O)CCl)CC1,TAM-UNI-d1c-18,20200417_moonshot_to_enamine.csv
CCNc1ncc(C#N)cc1CN1CCN(C(=O)CCl)CC1,BRU-LEF-ae0-1,20200417_moonshot_to_enamine.csv
CCNc1ncc(OC)cc1CN1CCN(C(=O)CCl)CC1,DAR-DIA-fb2-5,20200417_moonshot_to_enamine.csv
