SMILES,CID,creator,rationale,fragments,real_space,SCR,BB,link,covalent_frag,covalent_warhead,acrylamide,acrylamide_adduct,chloroacetamide,chloroacetamide_adduct,vinylsulfonamide,vinylsulfonamide_adduct,in_molport_or_mcule,in_emolecules,in_pistachio
CN(C)CCc1c[nH]c2ccc(CS(N)(=O)=O)cc12,ANT-OPE-47f-2,"Anthony Sama, OpenSourceMycetoma",Sumatriptan is already approved in UK and US - has some similarity to fragment #104,x0104,False,False,False,https://covid.postera.ai/covid/submissions/47f3bb65-7976-4284-a05e-4e92d776c672,False,False,False,False,False,False,False,False,False,False,EP0145459A2
CN(C)Cc1cc(-c2ccccc2)n(S(=O)(=O)c2cccnc2)c1,ANT-OPE-a51-1,"Anthony Sama, OpenSourceMycetoma",Derivative of John Chodera's lead noncovalent compound,x0072,False,False,False,https://covid.postera.ai/covid/submissions/a517596a-11c0-42ac-8d56-ec6fa888479f,False,False,False,False,False,False,False,False,False,False,"EP1803709A1,EP1803709B1,EP2336107A2,EP2336107B1,US08048909B2,US10308605B2,US20080139639A1,US20110028476A1,US20140343070A1"
C=C(C)C(CC=C(C)C)COC(C)=O,BET-COM-8a5-2,"Bethany Lachele Foley, Complex Carbohydrate Research Center","I'm looking for common, inexpensive, widely available compounds, preferably volatile, that humans already safely inhale, and, if possible, enjoy inhaling, that might also be harmful to the virus.  I have quite a list of possibilities.

These two are components of lavender and eucalyptus.  They definitely fit into the binding site.  I haven't had time yet to do simulations to see if they stay in the binding site.  I'll work on that next.

Complete details of my work are here:  https://github.com/Lachele/SARS-CoV-2

I also plan to check all the other possible binding sites on the virion's surface.",x0072,False,False,False,https://covid.postera.ai/covid/submissions/8a5969bb-0970-44a7-8bc4-bc4051aab3aa,False,False,False,False,False,False,False,False,False,False,"EP3111930A2,EP3111930B1,EP3063281B1,US03997577A,US10023891B2,US20160281122A1"
COc1cncc2[nH]cc(C(=O)C(=O)N3CCN(C(=O)c4ccccc4)CC3)c12,CAR-INS-33b-4,"Carlo Matera, Institute for Bioengineering of Catalonia (IBEC), The Barcelona Institute of Science and Technology",Inspired by your fragments and the structure of the anti-HIV1 drug Temsavir which bears very similar structural motifs.,"x0691,x0770,x1093",False,False,False,https://covid.postera.ai/covid/submissions/33b3c115-86ae-4c87-bd70-fb8603a4f1b2,True,False,False,False,False,False,False,False,False,False,"US06900323,US20040023982A1,US06632819,US06900323,US20030181463A1,US20040023982A1"
CNC(=O)OC1CCN(Cc2ccccc2)CC1,GIA-UNK-595-5,Gianfranco Lopopolo,"By eye.
Replacement of the inspired fragment, bearing primary chloride, with other possibility of a semi/covalent inhibition of the enzyme. Substitution with a carbamate (like e.g. physostigmine and Acetylcholinesterase inhibitors).","x1380,x1386",False,False,False,https://covid.postera.ai/covid/submissions/595fac82-7ea5-49a4-8881-97f95024c4fb,True,False,False,False,False,False,False,False,False,False,"US07060836B2,US20040132710A1"
COc1ccc2c(c1)C(CCNC(C)=O)C(=O)N2,JOH-MEM-5e3-1,"John Chodera, Memorial Sloan Kettering Cancer Center","Metabolites of melatonin, which has a striking similarity to Diamond hit x0104",x0104,False,False,False,https://covid.postera.ai/covid/submissions/5e386bbd-fbf6-43ab-bc71-df1ae98eb776,False,False,False,False,False,False,False,False,False,False,"US06004991A,US06140372A"
COc1cc2c([C@@H](C)CNC(C)=O)c[nH]c2cc1Cl,JOH-MSK-ec6-1,"John Chodera, MSKCC",Clinical-phase melatonin receptor agonist similar to Diamond hit x0104,x0104,False,False,False,https://covid.postera.ai/covid/submissions/ec639444-3928-40c6-9082-9a0493e2f96a,False,False,False,False,False,False,False,False,False,False,"EP0281242A1,EP0281242B1,US04997845A"
CC(=O)OC1CC(C)CCC1C(C)C,MAK-UNK-0cb-6,Maksym Voznyy,soap ingredients,x0749,False,False,False,https://covid.postera.ai/covid/submissions/0cb6a3ad-ebb3-43bd-ba5b-a791cf93f41a,True,False,False,False,False,False,False,False,False,False,"US05286501A,US20040058422A1,US20040175446A1"
CC(C(=O)[O-])c1ccc2c(c1)[nH]c1ccc(Cl)cc12,MAK-UNK-0d6-6,Maksym Voznyy,"by eye, inspired by GER-UNI-ec7-1",x0749,False,False,False,https://covid.postera.ai/covid/submissions/0d6072ac-46a2-45cc-b388-631560e93477,True,False,False,False,False,False,False,False,False,False,EP0405602A1
CC(=O)Nc1ccc2oc(-c3ccccc3)c(O)c(=O)c2c1,NAU-LAT-ec9-1,"Nauris Narvaiss, Latvian Institute of Organic Synthesis","Saw the post on Practical Fragments blog and Fragalysis page, decided to do some docking, using UCSF Chimera/AutoDock Vina. First screened some popular fragments, heterocycles etc, then combined them and docked again. 
Synthesis for most proposed compounds seems to be fairly straightforward, allowing for lots of variations for lead optimization. Can help with synthesis planning if necessary.",x1093,False,False,False,https://covid.postera.ai/covid/submissions/ec9c7557-aad7-4238-85f5-161e77412103,False,False,False,False,False,False,False,False,False,False,"US07863323,US07863323B1,US07863323,US07863323B1"
