SMILES,shipment_ID,catalog_ID,sample_MW,purity,volume(uL),concentration(mM),plate_ID,well,stereochemistry
CC(C)(C)NC(=O)C(N(C(=O)C=C)C=1C=CC=2N=CSC2C1)C=3C=CC=NC3,,Z4439011608,394.48,100,4,50,1166137-Y4-01,A05,Racemic or presumed racemic or meso
CC(C)C=1C=CC(=CN1)N(C(C(=O)NC(C)(C)C)C=2C=CC=NC2)C(=O)C=C,,Z4439011614,380.48,81.29,4,50,1166137-Y4-01,B05,Racemic or presumed racemic or meso
COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC=3N=CSC3C2)C=4C=CC=NC4)=C(C)C1,,Z4438424252,458.53,100,4,50,1166137-Y4-01,C05,Racemic or presumed racemic or meso
COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)C(F)(F)F)C=3C=CC=NC3)=CC1,,Z4439011539,455.42,100,4,50,1166137-Y4-01,D05,Racemic or presumed racemic or meso
CCC=1C=CC=C(C)C1NC(=O)C(N(C(=O)C=C)C=2C=CC(SC)=CC2)C=3C=CC=NC3,,Z4439011579,445.57,82.98,4,50,1166137-Y4-01,E05,Racemic or presumed racemic or meso
CCC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NC=2C=CC(Cl)=CC2)C=3C=CC=NC3)C(=O)C=C,,Z4438424288,461.98,90.91,4,50,1166137-Y4-01,F05,Racemic or presumed racemic or meso
COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)C(F)(F)F)C=3C=CC=NC3)=C(C)C1,,Z4438424251,469.45,95.38,4,50,1166137-Y4-01,G05,Racemic or presumed racemic or meso
CCC=1C=CC=C(NC(=O)C(N(C(=O)C=C)C=2C=CC=3N=CSC3C2)C=4C=CC=NC4)C1,,Z4438424262,442.53,92.91,4,50,1166137-Y4-01,H05,Racemic or presumed racemic or meso
CS(=O)(=O)CC1=CC=C(O1)C(=O)NC=2C=CC=NC2,,Z995832158,280.29,100,4,50,1166137-Y4-01,I05,Achiral
ClC1=CC=C(CC(=O)NC=2C=CC=NC2)S1,,Z2010253653,252.71,100,4,50,1166137-Y4-01,J05,Achiral
