SMILES,shipment_ID,catalog_ID,sample_MW,purity,volume(uL),concentration(mM),plate_ID,well,stereochemistry
ClCC(=O)NC=1C=CC=C(C1)N2CCCC2=O,MAK-UNK-643-4,Z199423638,252.69,100,40,10,1169103-Y40-02,A03,
FC=1C=CC=C(F)C1S(=O)(=O)N2CCN(CC2)C(=O)CCl,MAK-UNK-643-6-2,Z147647646,338.75,95,40,10,1169103-Y40-02,B03,
ClCC(=O)N1CCN(CC1)S(=O)(=O)C2=CC=CS2,MAK-UNK-643-1-2,Z147647358,308.8,100,40,10,1169103-Y40-02,C03,
FC=1C=CC=C(C1)S(=O)(=O)N2CCN(CC2)C(=O)CCl,MAK-UNK-643-5-2,Z147647642,320.76,100,40,10,1169103-Y40-02,D03,
NS(=O)(=O)C=1C=CC(=CC1)N2CCC(CC2)C=3C=CSC3,WAR-XCH-b72-16,Z3076733213,322.44,100,40,10,1169103-Y40-02,E03,
CC=1C=CC=C(NC2CCN(CC2)C=3C=CC(=CC3)S(=O)(=O)N)C1,WAR-XCH-b68-27,Z3076198092,345.45,100,40,10,1169103-Y40-02,F03,
NS(=O)(=O)C=1C=CC(=CC1)N2CCC(CC2)C3=CC=CO3,WAR-XCH-b72-7,Z3077528599,306.38,100,40,10,1169103-Y40-02,G03,
O=C(CC=1C=NC=NC1)NC=2C=CC=C(OC3CC(=O)N3)C2,BAR-COM-4e0-39,Z4444622180,298.29,99.31,40,10,1169103-Y40-02,H03,
O=C(CC=1C=NC=C2C=CC=CC12)NC=3C=CC=CC3,DAR-DIA-23a-20,Z4444622066,262.3,100,40,10,1169103-Y40-02,I03,
CC(NC(=O)C=1C=CC=CC1OCC(=O)N)C=2C=NN(C)C2,BAR-COM-4e0-62,Z1260022281,302.32,100,40,10,1169103-Y40-02,J03,
O=C(NCC=1C=NSC1)C=2C=CC=CC2OCC#N,BAR-COM-4e0-49,Z4444621965,273.31,97.02,40,10,1169103-Y40-02,K03,
CCC(NC(=O)C(C)N1C=NC=N1)C=2C=CC=CC2OCC(=O)N3CCCC3,BAR-COM-4e0-31,Z1190447759,385.46,96.15,40,10,1169103-Y40-02,L03,
O=C(C1CCOCC1)N2CCN(CC2)C(=O)C=3C=CC=CC3,GIA-UNK-eaa-1,Z73335350,302.36,100,40,10,1169103-Y40-02,M03,
NS(=O)(=O)C=1C=CC(=CC1)N2CCC(CC2)C=3C=CN=CC3,WAR-XCH-b72-15,Z3076880033,317.4,99,40,10,1169103-Y40-02,N03,
O=C(CC=1C=NC=C(C#N)C1)NC=2C=CC=NC2,DAR-DIA-23a-17,Z4444621910,238.24,100,40,10,1169103-Y40-02,O03,
NC1=NN=NN1C=2C=CC=C(C2)C(=O)NC3=C(N=C4C=CC=CN34)C=5C=CC=NC5,BAR-COM-4e0-2,Z4444622179,397.39,94.54,40,10,1169103-Y40-02,P03,
NS(=O)(=O)C=1C=CC(=CC1)N2CCC(CO)CC2,WAR-XCH-b72-14,Z759957788,270.34,100,40,10,1169103-Y40-02,A04,
CC=1C=CN=CC1NC(=O)CC=2C=CC=C(C#N)C2,TRY-UNI-714-20,Z1344037997,251.28,100,40,10,1169103-Y40-02,B04,
CCN(C)CC1CCN(CC1)C=2C=CC(=CC2)S(=O)(=O)N,WAR-XCH-b72-49,Z3394588817,311.44,100,40,10,1169103-Y40-02,C04,
O=C(CC=1C=NC=C2C=CC=CC12)NC=3C=CC=C(C#N)C3,DAR-DIA-23a-19,Z4444622023,287.31,100,40,10,1169103-Y40-02,D04,
CC(NC(=O)C=1C=CC=CC1OCC=2C(C)=NOC2C)C3=NN=C4N=CC=CN34,BAR-COM-4e0-9,Z1374382617,392.41,93.08,40,10,1169103-Y40-02,E04,
CC=1C=CC=C(C)C1OCC(=O)NCCC=2C=CC=CC2,ALE-UNK-fca-3,Z26348840,283.36,95,40,10,1169103-Y40-02,F04,
NS(=O)(=O)C=1C=CC(=CC1)N2CCC(CN3CCCCCC3)CC2,WAR-XCH-b72-20,Z3075583038,351.5,93.79,40,10,1169103-Y40-02,G04,
CNS(=O)(=O)C=1C=CC(=CC1)C(C)NC(=O)C2CC2=C,VIJ-CYC-1a3-5,Z2798213615,294.36,90,40,10,1169103-Y40-02,H04,
CC=1C=CN=CC1NC(=O)CC=2C=CC(=CC2)S(=O)(=O)N,GAB-REV-70c-20,Z1135790839,305.35,100,40,10,1169103-Y40-02,I04,
CC(C(=O)NC=1C=CC=C(NC2CCCC2)C1)C=3C=NC=CN3,BAR-COM-4e0-20,Z2915108704,310.39,100,40,10,1169103-Y40-02,J04,
COC=1C=CN=C(NC(=O)CC=2C=CC=3C=CC=CC3C2)C1,LV-UNI-7ff-47,Z1535580916,292.33,100,40,10,1169103-Y40-02,K04,
CC(C)NC1CCN(CC1)C=2C=CC(=CC2)S(=O)(=O)N,WAR-XCH-b68-23,Z3075936836,297.41,100,40,10,1169103-Y40-02,L04,
CC(=O)N1CCN(CC1)S(=O)(=O)C=2C(F)=CC=CC2F,MAK-UNK-643-6,Z30727410,304.31,100,40,10,1169103-Y40-02,M04,
CC(=O)N1CCN(CC1)C(=O)CC=2C=CC=CN2,JON-UIO-066-3,Z1021142272,247.29,92.52,40,10,1169103-Y40-02,N04,
NC(=O)C1CN(CC(=O)NC=2C=NC=CN2)C=3C=CC=CC3C1,BAR-COM-4e0-21,Z2599591955,311.33,100,40,10,1169103-Y40-02,O04,
ClC=1N=CC=CC1CC(=O)NC=2C=CC=C(OCCC=3C=CC=CC3)C2,BAR-COM-4e0-15,Z4444622019,366.84,100,40,10,1169103-Y40-02,P04,
O=C(NCC=1C=CC(C#C)=CC1)N2CCOCC2,PAT-GYR-359-1,Z2278338263,244.28,100,40,10,1169103-Y40-02,A05,
COC=1C=CC=C(NC(=O)NC=2C=CC=C(C#N)C2)C1,ANN-UNI-263-6,Z641273092,267.28,100,40,10,1169103-Y40-02,B05,
CNS(=O)(=O)C=1C=CC(=CC1)C(C)NC(=O)NC(C)(C)C,VIJ-CYC-1a3-11,Z1408037619,313.41,100,40,10,1169103-Y40-02,C05,
O=C(NCC1=CN=CS1)NC=2C=CC=C(C2)N3CCOCC3,BAR-COM-4e0-58,Z1670099933,318.39,97.49,40,10,1169103-Y40-02,D05,
CC(N1CCOCC1)C=2C=CC=C(NC(=O)CC=3C=NC=CC3Cl)C2,BAR-COM-4e0-66,Z2330806997,359.84,100,40,10,1169103-Y40-02,E05,
CC(C)C(F)C(=O)N1CCN(CC=2C=CC=CC2C)CC1,JON-UIO-066-9,Z1786577487,292.39,100,40,10,1169103-Y40-02,F05,
O=C(NCC1=CC=NS1)NC=2C=CC=C(CN3CCCC3=O)C2,BAR-COM-4e0-61,Z2708549355,330.4,100,40,10,1169103-Y40-02,G05,
CC1CN(CC=2C=CC=CC2NC(=O)NCC=3C=NSC3)CC(C)O1,BAR-COM-4e0-4,Z3405514183,360.47,97.37,40,10,1169103-Y40-02,H05,
CC(C(=O)NC=1C=NC=CC1C)C=2C=CC=C(C#N)C2,TRY-UNI-714-22,Z2186659954,265.3,100,40,10,1169103-Y40-02,I05,
OC(CNC(=O)C=1C=CC=CC1OC2CCC2)CN3C=CN=N3,BAR-COM-4e0-34,Z2305221270,316.35,100,40,10,1169103-Y40-02,J05,
CC=1C=CC=CC1CNC=2C=CC=CC2NC(=O)C(O)C=3C=CC=NC3,BAR-COM-4e0-3,Z1644866655,347.41,96.71,40,10,1169103-Y40-02,K05,
CCN1C(=O)N(CC(=O)NCC=2C=NC=CN2)C=3C=CC=CC13,BAR-COM-4e0-51,Z3092563476,311.33,100,40,10,1169103-Y40-02,L05,
O=C(CC=1C=NC=NC1)NC=2C=CC=C(CCCC=3C=CC=CC3)C2,BAR-COM-4e0-11,Z2172190193,331.41,100,40,10,1169103-Y40-02,M05,
O=C(CC=1C=CC=C(C#N)C1)NC=2C=CC=NC2,ANN-UNI-263-5,Z1343543528,237.25,100,40,10,1169103-Y40-02,N05,
CC1=NN=C(CC(=O)NC=2C=CC=NC2)S1,ALE-HEI-f28-5,Z4444621942,234.27,100,40,10,1169103-Y40-02,O05,
FC=1C=CC=C2SC(C(=O)NCC=3C=NC=CN3)=C(COC=4C=CC=CC4)C12,BAR-COM-4e0-64,Z4444622069,393.43,100,40,10,1169103-Y40-02,P05,
O=C(NCC1=NOC=2C=CC=CC12)C=3C=CC=CC3OCC4CC4,BAR-COM-4e0-43,Z1935637461,322.35,100,40,10,1169103-Y40-02,A06,
O=C(COC=1C=CC=CC1)NCCC=2C=CC=CC2,ALE-UNK-fca-4,Z19735885,255.31,100,40,10,1169103-Y40-02,B06,
O=C(CCN1C=CN=N1)NC(CN2CCOCC2)C=3C=CC=CC3,BAR-COM-4e0-45,Z296475158,329.39,100,40,10,1169103-Y40-02,C06,
FC(F)(F)C=1C=CN=C(NC(=O)CC=2C=CC=3C=CC=CC3C2)C1,LV-UNI-7ff-46,Z1631501979,330.3,100,40,10,1169103-Y40-02,D06,
CC=1C=CC=CC1NC2CCN(CC2)C=3C=CC(=CC3)S(=O)(=O)N,WAR-XCH-b68-30,Z3075835921,345.45,100,40,10,1169103-Y40-02,E06,
CC1=CC=C(NC(=O)NC=2C=CC=NC2)S1,DAR-DIA-842-3,Z1286870272,233.28,97.27,40,10,1169103-Y40-02,F06,
FC(F)COC=1C=CC=C(NC(=O)NCC=2C=CC=NC2)N1,BAR-COM-4e0-69,Z1693576546,308.28,100,40,10,1169103-Y40-02,G06,
O=C(NCC=1C=CC=NN1)NC=2C=CC=C(OCCN3CCOCC3)C2,BAR-COM-4e0-54,Z3603964263,357.4,100,40,10,1169103-Y40-02,H06,
CC=1C=CN=CC1NC(=O)NC=2C=CC=C(C#N)C2,TRY-UNI-714-24,Z1130395496,252.27,100,40,10,1169103-Y40-02,I06,
ClC=1C=C(NC(=O)NC=2C=CC=NC2)C=C(C#N)C1,WAR-XCH-eb7-2,Z4444622232,272.68,100,40,10,1169103-Y40-02,J06,
CC1=NN=C(NC(=O)NC=2C=CC=NC2)S1,ALE-HEI-f28-4,Z798924654,235.26,100,40,10,1169103-Y40-02,K06,
ClC1=CC=C(NC(=O)NC=2C=CC=NC2)S1,DAR-DIA-842-4,Z4444622030,253.7,100,40,10,1169103-Y40-02,L06,
CC=1C=CN=CC1NC(=O)NC=2C=CC=C(Cl)C2,TRY-UNI-714-12,Z1130395540,261.7,95.65,40,10,1169103-Y40-02,M06,
CS(=O)(=O)NCCC=1C=CC=C(O)C1,ANT-DIA-b7f-2,Z1247416427,215.26,100,40,10,1169103-Y40-02,N06,
CC1=COC(NC(=O)NC=2C=CC=NC2)=N1,DAR-DIA-842-7,Z4444621858,218.21,100,40,10,1169103-Y40-02,O06,
CC=1N=CN=CC1NC(=O)NC=2C=CC=CC2,HAN-NEW-5f5-1,Z4444621905,228.24,100,40,10,1169103-Y40-02,P06,
COC=1C=CC(=CC1OC)C2CC(=NN2C(=O)CCl)C3=CC=CS3,Z56955922,Z56955922,364.84,95.6,40,10,1169103-Y40-02,A07,
O=C(C1CCN(CC1)S(=O)(=O)C=2C=CC=CC2)N3CCOCC3,GIA-UNK-eaa-3,Z28250828,338.42,100,40,10,1169103-Y40-02,B07,
COC=1C=CC=CC1OCCNC(=O)C2=CC(=O)NC=3C=CC=CC23,Z30450892,Z57980660,338.35,100,40,10,1169103-Y40-02,C07,
CC=1C=C(C)C(C)=C(C1C)S(=O)(=O)N2CCN(CC2)C(=O)C3=CC(=O)NC=4C=CC=CC34,Z29513321,Z56962551,453.55,98.54,40,10,1169103-Y40-02,D07,
O=C(CCC1=CNN=N1)NC(CN2C=CC=N2)C=3C=CC=CC3,BAR-COM-4e0-30,Z2771389038,310.35,100,40,10,1169103-Y40-02,E07,
Cl.ClCC(=O)N1CCN(CC2=CC=CS2)CC1,MAK-UNK-643-2,Z147647874,295.22,99,40,10,1169103-Y40-02,F07,
Cl.ClCC(=O)N1CCN(CC=2C=CSC2)CC1,MAK-UNK-643-3,Z2608820553,295.22,100,40,10,1169103-Y40-02,G07,
O=C(NCC=1C=CC=NN1)NC=2C=CC=C(C2)N3CCC3=O,BAR-COM-4e0-60,Z1931403851,297.31,95,40,10,1169103-Y40-02,H07,
CC(=O)N1CCN(CC2=CN(N=N2)C=3C=CC=C(C3)S(=O)(=O)N)CC1,NIM-UNI-022-3,Z4444621867,364.42,100,40,10,1169103-Y40-02,I07,
COC1CCN(CC1)C=2C=CC(=CC2)S(=O)(=O)N,WAR-XCH-b72-9,Z3075430846,270.34,100,40,10,1169103-Y40-02,J07,
