SMILES,shipment_ID,catalog_ID,sample_MW,purity,volume(uL),concentration(mM),plate_ID,well,stereochemistry,Comments
"O=C(N[C@@H]1CCCC[C@H]1NC(=O)C=2C=CN=CC2)C=3C=CC=CC3 |&1:3,8,r|",GIA-UNK-d2d-2,Z2648338340,323.38,88.13,40,20,1178796-Y40-01,A03,Racemic diastereomer with known relative stereochemistry,
COC(=O)C(CC=1C=CC=CC1)C(C)NC(=O)C(C)N2C=CN=C2,BAR-COM-4e0-36,Z2079085604,329.39,100,40,20,1178796-Y40-01,B03,Diastereomeric mixture,
CC(CN1C=CN=C1)C(=O)NC(CC2=NC(C)=NO2)C=3C=CC=CC3,BAR-COM-4e0-38,Z3353393504,339.39,100,40,20,1178796-Y40-01,C03,Diastereomeric mixture,
CC=1C=CN=CC1NC(=O)C=2C=CC(NC(=O)NC=3C=CC=NC3)=CC2,MAK-UNK-129-12,Z4444621861,347.37,99,40,20,1178796-Y40-01,D03,Achiral,
CC=1C=CN=CC1NC(=O)C=2C=CC=C(NC(=O)NC=3C=CC=NC3)C2,MAK-UNK-129-11,Z4444621886,347.37,100,40,20,1178796-Y40-01,E03,Achiral,
O=C(CC(=O)N1CCOCC1)NC=2C=CC=CC2,GIA-UNK-3f3-2,Z2933493947,248.27,95,40,20,1178796-Y40-01,F03,Achiral,
NC(=O)CCN(C1CCS(=O)(=O)C1)C(=O)CCl,DAN-PUR-678-2,Z4444622211,282.74,95.09,40,20,1178796-Y40-01,G03,Racemic or presumed racemic or meso,
CNC(=O)OC1CCN(CC1)C(=O)C=2C=CN=CC2,GIA-UNK-595-3,Z4444622097,263.29,90,40,20,1178796-Y40-01,H03,Achiral,
CC=1C=CN=CC1NC(=O)CCNC(=O)C=2C=CC=CC2F,PET-SGC-2e9-1,Z4444622091,301.31,100,40,20,1178796-Y40-01,I03,Achiral,
CC=1C=CN=CC1NC(=O)CC(C)(C)NC(=O)C=2C=CC=C3NC=CC23,GAB-REV-70c-6,Z4444622220,350.41,98.28,40,20,1178796-Y40-01,J03,Achiral,
CNC(=O)OC1CCN(CC1)S(=O)(=O)C=2C=CC=CC2,GIA-UNK-595-4,Z4444622126,298.35,85,40,20,1178796-Y40-01,K03,Achiral,
CC=1C=CC=C(NC(=O)C(C#N)C(=O)C2CC2)C1,Z638861820,Z638861820,242.27,91,40,20,1178796-Y40-01,L03,Racemic or presumed racemic or meso,
CCC(CC)C(=O)C(C#N)C(=O)NC=1C=CC(F)=CC1,Z637364502,Z637364502,276.30,95,40,20,1178796-Y40-01,M03,Racemic or presumed racemic or meso,
CC(C)CC(=O)C(C#N)C(=O)NC=1C=CC=C(C)C1,Z638862034,Z638862034,258.31,95,40,20,1178796-Y40-01,N03,Racemic or presumed racemic or meso,
