shipment_ID,catalog_ID,Formula,stereochemistry,MW,purity,PO,Salt_Name,Salt_ratio,MW_salt,volume(uL),concentration(mM),plate_ID,well,SMILES,Name
Z4457849219,Z4457849219,C25H31N3O3,Diastereomeric mixture,421.53,95.47,200415-FTE,,,0,40,20,1181202-Y40-01,A03,CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NCC2CCCO2)C=3C=CC=NC3)C(=O)C=C,N-(4-tert-butylphenyl)-N-({[(oxolan-2-yl)methyl]carbamoyl}(pyridin-3-yl)methyl)prop-2-enamide
Z4457849213,Z4457849213,C23H29N3O3,Racemic or presumed racemic or meso,395.49,96.85,200415-FTE,,,0,40,20,1181202-Y40-01,B03,COCCNC(=O)C(N(C(=O)C=C)C=1C=CC(=CC1)C(C)(C)C)C=2C=CC=NC2,N-(4-tert-butylphenyl)-N-{[(2-methoxyethyl)carbamoyl](pyridin-3-yl)methyl}prop-2-enamide
Z4457849222,Z4457849222,C25H31N3O2,Racemic or presumed racemic or meso,405.53,100,200415-FTE,,,0,40,20,1181202-Y40-01,C03,CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NC2CCCC2)C=3C=CC=NC3)C(=O)C=C,N-(4-tert-butylphenyl)-N-[(cyclopentylcarbamoyl)(pyridin-3-yl)methyl]prop-2-enamide
Z4457944475,Z4457944475,C27H33N3O4,Diastereomeric mixture,463.56,100,200415-FTE,,,0,40,20,1181202-Y40-01,D03,"COC(=O)[C@@H]1CC[C@@H](C1)NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)C(C)(C)C)C=3C=CC=NC3 |&1:4,7,r|","rac-methyl (1R,3S)-3-{2-[N-(4-tert-butylphenyl)prop-2-enamido]-2-(pyridin-3-yl)acetamido}cyclopentane-1-carboxylate"
Z4457849201,Z4457849201,C24H29N3O2,Racemic or presumed racemic or meso,391.50,100,200415-FTE,,,0,40,20,1181202-Y40-01,E03,CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NC2CCC2)C=3C=CC=NC3)C(=O)C=C,N-(4-tert-butylphenyl)-N-[(cyclobutylcarbamoyl)(pyridin-3-yl)methyl]prop-2-enamide
Z4457849195,Z4457849195,C26H33N3O2,Racemic or presumed racemic or meso,419.55,100,200415-FTE,,,0,40,20,1181202-Y40-01,F03,CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NC2CCCCC2)C=3C=CC=NC3)C(=O)C=C,N-(4-tert-butylphenyl)-N-[(cyclohexylcarbamoyl)(pyridin-3-yl)methyl]prop-2-enamide
Z4457849208,Z4457849208,C23H29N3O2,Racemic or presumed racemic or meso,379.49,100,200415-FTE,,,0,40,20,1181202-Y40-01,G03,CC(C)NC(=O)C(N(C(=O)C=C)C=1C=CC(=CC1)C(C)(C)C)C=2C=CC=NC2,N-(4-tert-butylphenyl)-N-{[(propan-2-yl)carbamoyl](pyridin-3-yl)methyl}prop-2-enamide
Z4457849197,Z4457849197,C24H31N3O2S,Racemic or presumed racemic or meso,425.58,100,200415-FTE,,,0,40,20,1181202-Y40-01,H03,CSCCCNC(=O)C(N(C(=O)C=C)C=1C=CC(=CC1)C(C)(C)C)C=2C=CC=NC2,N-(4-tert-butylphenyl)-N-({[3-(methylsulfanyl)propyl]carbamoyl}(pyridin-3-yl)methyl)prop-2-enamide
Z4457849190,Z4457849190,C21H25N3O2,Racemic or presumed racemic or meso,351.44,93.74,200415-FTE,,,0,40,20,1181202-Y40-01,I03,CNC(=O)C(N(C(=O)C=C)C=1C=CC(=CC1)C(C)(C)C)C=2C=CC=NC2,N-(4-tert-butylphenyl)-N-[(methylcarbamoyl)(pyridin-3-yl)methyl]prop-2-enamide
Z4457849210,Z4457849210,C27H28FN3O2,Racemic or presumed racemic or meso,445.52,100,200415-FTE,,,0,40,20,1181202-Y40-01,J03,CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NCC=2C=CC(F)=CC2)C=3C=CC=NC3)C(=O)C=C,N-(4-tert-butylphenyl)-N-({[(4-fluorophenyl)methyl]carbamoyl}(pyridin-3-yl)methyl)prop-2-enamide
