catalog_ID,shipment_ID,Origin,Covalent,stereochemistry,MW,purity,Salt_Name,Salt_ratio,MW_salt,volume(uL),concentration(mM),plate_ID,well,SMILES,Name
Z4457849246,Z4457849246,Ugi library-2,Yes,Racemic or presumed racemic or meso,437.57,100.00,,,0,4,100,1181202-Y4-01,W05,COC=1C=NC=C(C(N(C(=O)C=C)C=2C=CC(=CC2)C(C)(C)C)C(=O)NC(C)(C)C)C1C,N-[(tert-butylcarbamoyl)(5-methoxy-4-methylpyridin-3-yl)methyl]-N-(4-tert-butylphenyl)prop-2-enamide
Z4457944475,Z4457944475,Ugi library-2,Yes,Diastereomeric mixture,463.56,100.00,,,0,4,100,1181202-Y4-01,D05,"COC(=O)[C@@H]1CC[C@@H](C1)NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)C(C)(C)C)C=3C=CC=NC3 |&1:4,7,r|","rac-methyl (1R,3S)-3-{2-[N-(4-tert-butylphenyl)prop-2-enamido]-2-(pyridin-3-yl)acetamido}cyclopentane-1-carboxylate"
Z4457849245,Z4457849245,Ugi library-2,Yes,Racemic or presumed racemic or meso,423.54,94.44,,,0,4,100,1181202-Y4-01,AD05,COC=1C=NC=C(C1)C(N(C(=O)C=C)C=2C=CC(=CC2)C(C)(C)C)C(=O)NC(C)(C)C,N-[(tert-butylcarbamoyl)(5-methoxypyridin-3-yl)methyl]-N-(4-tert-butylphenyl)prop-2-enamide
Z4457849243,Z4457849243,Ugi library-2,Yes,Racemic or presumed racemic or meso,407.54,100.00,,,0,4,100,1181202-Y4-01,AE06,CC=1N=CC=CC1C(N(C(=O)C=C)C=2C=CC(=CC2)C(C)(C)C)C(=O)NC(C)(C)C,N-[(tert-butylcarbamoyl)(2-methylpyridin-3-yl)methyl]-N-(4-tert-butylphenyl)prop-2-enamide
Z4457849248,Z4457849248,Ugi library-2,Yes,Racemic or presumed racemic or meso,407.54,100.00,,,0,4,100,1181202-Y4-01,AB05,CC=1C=CN=CC1C(N(C(=O)C=C)C=2C=CC(=CC2)C(C)(C)C)C(=O)NC(C)(C)C,N-[(tert-butylcarbamoyl)(4-methylpyridin-3-yl)methyl]-N-(4-tert-butylphenyl)prop-2-enamide
Z4457849247,Z4457849247,Ugi library-2,Yes,Racemic or presumed racemic or meso,457.55,100.00,,,0,4,100,1181202-Y4-01,Z05,CC(C)(C)NC(=O)C(N(C(=O)C=C)C=1C=CC(=CC1)C(C)(C)C)C=2C=NC=C(C2)C(C)(F)F,"N-[(tert-butylcarbamoyl)[5-(1,1-difluoroethyl)pyridin-3-yl]methyl]-N-(4-tert-butylphenyl)prop-2-enamide"
Z4457849244,Z4457849244,Ugi library-2,Yes,Racemic or presumed racemic or meso,437.57,100.00,,,0,4,100,1181202-Y4-01,X05,CCOC=1C=NC=C(C1)C(N(C(=O)C=C)C=2C=CC(=CC2)C(C)(C)C)C(=O)NC(C)(C)C,N-[(tert-butylcarbamoyl)(5-ethoxypyridin-3-yl)methyl]-N-(4-tert-butylphenyl)prop-2-enamide
Z4457849232,Z4457849232,Ugi library-2,Yes,Racemic or presumed racemic or meso,473.56,100.00,,,0,4,100,1181202-Y4-01,Q05,COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)C(C)(C)C)C=3C=CC=NC3)=C(OC)C1,"N-(4-tert-butylphenyl)-N-{[(2,4-dimethoxyphenyl)carbamoyl](pyridin-3-yl)methyl}prop-2-enamide"
Z4457849234,Z4457849234,Ugi library-2,Yes,Racemic or presumed racemic or meso,459.55,100.00,,,0,4,100,1181202-Y4-01,P05,CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NCCC=2C=CC=C(F)C2)C=3C=CC=NC3)C(=O)C=C,N-(4-tert-butylphenyl)-N-({[2-(3-fluorophenyl)ethyl]carbamoyl}(pyridin-3-yl)methyl)prop-2-enamide
Z4457849228,Z4457849228,Ugi library-2,Yes,Racemic or presumed racemic or meso,431.50,93.16,,,0,4,100,1181202-Y4-01,F07,CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NC=2C=CC(F)=CC2)C=3C=CC=NC3)C(=O)C=C,N-(4-tert-butylphenyl)-N-{[(4-fluorophenyl)carbamoyl](pyridin-3-yl)methyl}prop-2-enamide
