shipment_ID,catalog_ID,Formula,stereochemistry,sample_MW,purity,PO,Salt_Name,Salt_ratio,MW_salt,volume(uL),concentration(mM),plate_ID,well,SMILES,Name
RAL-MED-2de63afb-1,Z4497196437,C16H15N3O3,Racemic or presumed racemic or meso,297.308,100,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-06,03_A,O=C(CC=1C=CC=NC1)NC=2C=CC=C(OC3CC(=O)N3)C2,N-{3-[(4-oxoazetidin-2-yl)oxy]phenyl}-2-(pyridin-3-yl)acetamide
JAN-GHE-83b26c96-24,Z1663987506,C14H10ClN3O,Achiral,271.701,100,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-06,03_B,CC=1C=CN=CC1C2=NN=C(O2)C=3C=CC=C(Cl)C3,"3-[5-(3-chlorophenyl)-1,3,4-oxadiazol-2-yl]-4-methylpyridine"
TRY-UNI-2eddb1ff-1,Z4497196465,C14H12N4O,Achiral,252.271,100,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-06,03_C,CC=1C=CN=CC1NC(=O)CC=2C=NC=C(C#N)C2,2-(5-cyanopyridin-3-yl)-N-(4-methylpyridin-3-yl)acetamide
Z1347557460,Z1347557460,C18H24N2O3,Racemic or presumed racemic or meso,316.394,100,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-06,03_D,CC=1C=C(C=CC1OCC(O)CN2C=NC=CC2=O)C(C)(C)C,"3-[3-(4-tert-butyl-2-methylphenoxy)-2-hydroxypropyl]-3,4-dihydropyrimidin-4-one"
Z4498832235,Z4498832235,C24H38N4O3,Racemic or presumed racemic or meso,430.583,95.49,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-06,03_E,CCN1CCN(CC=2C=CC=CC2CNC(=O)C3(C)CCN3C(=O)OC(C)(C)C)CC1,tert-butyl 2-[({2-[(4-ethylpiperazin-1-yl)methyl]phenyl}methyl)carbamoyl]-2-methylazetidine-1-carboxylate
JAN-GHE-83b26c96-6,Z3615034901,C16H18ClN3O,Racemic or presumed racemic or meso,303.786,100,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-06,03_F,CC(C)C=1N=CN=CC1NC(=O)C(C)C=2C=CC=C(Cl)C2,2-(3-chlorophenyl)-N-[4-(propan-2-yl)pyrimidin-5-yl]propanamide
JAN-GHE-83b26c96-3,Z1264534125,C17H15ClN4O,Racemic or presumed racemic or meso,326.78,100,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-06,03_G,CC(C(=O)NC=1C=NC=CC1N2C=CC=N2)C=3C=CC=C(Cl)C3,2-(3-chlorophenyl)-N-[4-(1H-pyrazol-1-yl)pyridin-3-yl]propanamide
RAL-MED-2de63afb-12,Z4497196435,C15H16N4O2,Achiral,284.313,100,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-06,03_H,CC(=O)NCC=1C=CC=C(NC(=O)CC=2C=NC=NC2)C1,N-({3-[2-(pyrimidin-5-yl)acetamido]phenyl}methyl)acetamide
TRY-UNI-2eddb1ff-7,Z4497196461,C17H16ClN3O3,Racemic or presumed racemic or meso,345.78,97.47,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-06,03_I,CC=1C=CN=CC1NC(=O)CC=2C=C(Cl)C=C(OC3CC(=O)N3)C2,2-{3-chloro-5-[(4-oxoazetidin-2-yl)oxy]phenyl}-N-(4-methylpyridin-3-yl)acetamide
JAR-KUA-672-1,Z2782173902,C16H20N2O3S2,Racemic or presumed racemic or meso,352.471,100,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-06,03_J,O=C(N1CCOC(CN2CCOCC2)C1)C3=CC=4SC=CC4S3,"2-[(morpholin-4-yl)methyl]-4-{thieno[3,2-b]thiophene-2-carbonyl}morpholine"
RAL-MED-2de63afb-2,Z4497196429,C16H16N4O3,Racemic or presumed racemic or meso,312.323,100,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-06,03_K,CC=1C=C(NC(=O)CC=2C=NC=NC2)C=C(OC3CC(=O)N3)C1,N-{3-methyl-5-[(4-oxoazetidin-2-yl)oxy]phenyl}-2-(pyrimidin-5-yl)acetamide
Z4498832237,Z4498832237,C18H22BrN3O2,Achiral,392.29,100,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-06,03_L,CC=1C=CC(NCC=2C=C(NC(=O)OC(C)(C)C)C=CC2Br)=CN1,tert-butyl N-(4-bromo-3-{[(6-methylpyridin-3-yl)amino]methyl}phenyl)carbamate
JAG-UCB-a3ef7265-20,Z2077725504,C15H15ClN4O2,Racemic or presumed racemic or meso,318.758,96.04,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-06,03_M,ClC=1C=CC=2OCCC(C(=O)NC3=NN=CN3C4CC4)C2C1,"6-chloro-N-(4-cyclopropyl-4H-1,2,4-triazol-3-yl)-3,4-dihydro-2H-1-benzopyran-4-carboxamide"
JAG-UCB-a3ef7265-24,Z1715965908,C18H17N5O2,Racemic or presumed racemic or meso,335.359,100,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-06,03_N,CC=1C=C2OCC(C(=O)NC=3C=NC=NC3N4C=CC=N4)C2=CC1C,"5,6-dimethyl-N-[4-(1H-pyrazol-1-yl)pyrimidin-5-yl]-2,3-dihydro-1-benzofuran-3-carboxamide"
JAG-UCB-a3ef7265-21,Z416902834,C13H13F3N2O3S,Racemic or presumed racemic or meso,334.314,100,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-06,03_O,CC(C1=NC(C)=NO1)S(=O)(=O)CC=2C=CC=C(C2)C(F)(F)F,"3-methyl-5-(1-{[3-(trifluoromethyl)phenyl]methanesulfonyl}ethyl)-1,2,4-oxadiazole"
JAN-GHE-83b26c96-9,Z1344037982,C17H19ClN2O,Racemic or presumed racemic or meso,302.798,100,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-06,03_P,CC(C)C(C(=O)NC=1C=NC=CC1C)C=2C=CC=C(Cl)C2,2-(3-chlorophenyl)-3-methyl-N-(4-methylpyridin-3-yl)butanamide
RAL-MED-2de63afb-14,Z4497196433,C15H13FN4O3,Racemic or presumed racemic or meso,316.287,100,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-06,04_A,FC=1C=C(NC(=O)CC=2C=NC=NC2)C=C(OC3CC(=O)N3)C1,N-{3-fluoro-5-[(4-oxoazetidin-2-yl)oxy]phenyl}-2-(pyrimidin-5-yl)acetamide
JAN-GHE-83b26c96-1,Z3083887489,C15H16ClN3O,Racemic or presumed racemic or meso,289.76,100,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-06,04_B,CCC(C(=O)NC=1C=NN=CC1C)C=2C=CC=C(Cl)C2,2-(3-chlorophenyl)-N-(5-methylpyridazin-4-yl)butanamide
JAN-GHE-83b26c96-2,Z1739759863,C16H16ClN3O2,Racemic or presumed racemic or meso,317.77,100,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-06,04_C,CC(C(=O)NC=1C=NC=CC1NC(=O)C)C=2C=CC=C(Cl)C2,2-(3-chlorophenyl)-N-(4-acetamidopyridin-3-yl)propanamide
RAL-MED-2de63afb-3,Z2174393016,C16H16N4O2,Racemic or presumed racemic or meso,296.323,90.72,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-06,04_D,O=C(CC=1C=NC=NC1)NC=2C=CC=C(C2)C3CNC(=O)C3,N-[3-(5-oxopyrrolidin-3-yl)phenyl]-2-(pyrimidin-5-yl)acetamide
Z4498832236,Z4498832236,C26H35N3O3,Single known enantiomer,437.574,98,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-06,04_E,CCOC(=O)[C@H](CCC=1C=CC=CC1)N[C@@H](C)C(=O)NC=2C=CC=C(CN3CCCC3)C2,ethyl (2S)-4-phenyl-2-{[(1S)-1-({3-[(pyrrolidin-1-yl)methyl]phenyl}carbamoyl)ethyl]amino}butanoate
JAN-GHE-83b26c96-20,Z1129286981,C16H15ClN2O,Achiral,286.756,100,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-06,04_F,CC=1C=CN=CC1NC(=O)C2(CC2)C=3C=CC=C(Cl)C3,1-(3-chlorophenyl)-N-(4-methylpyridin-3-yl)cyclopropane-1-carboxamide
EDJ-MED-49816e9b-2,Z2194192724,C15H15ClN2O,Achiral,274.745,98.3,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-06,04_G,CC=1C=CN=C(C)C1NC(=O)CC=2C=CC=C(Cl)C2,"2-(3-chlorophenyl)-N-(2,4-dimethylpyridin-3-yl)acetamide"
DAR-DIA-842-18,Z4452238001,C14H13N3OS,Achiral,271.337,100,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-06,04_H,CC1=CC=C(NC(=O)CC2=CC3=CC=CNC3=N2)S1,"N-(5-methylthiophen-2-yl)-2-{7H-pyrrolo[2,3-b]pyridin-2-yl}acetamide"
JAN-GHE-83b26c96-10,Z1256294224,C16H18ClN3O,Racemic or presumed racemic or meso,303.786,100,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-06,04_I,CN(C)C(C(=O)NC=1C=NC=CC1C)C=2C=CC=C(Cl)C2,2-(3-chlorophenyl)-2-(dimethylamino)-N-(4-methylpyridin-3-yl)acetamide
JAN-GHE-83b26c96-23,Z1129288941,C14H11ClF2N2O,Achiral,296.699,100,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-06,04_J,CC=1C=CN=CC1NC(=O)C(F)(F)C=2C=CC=C(Cl)C2,"2-(3-chlorophenyl)-2,2-difluoro-N-(4-methylpyridin-3-yl)acetamide"
JAG-UCB-a3ef7265-3,Z1852878836,C15H13ClN2O3,Racemic or presumed racemic or meso,304.728,98.32,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-06,04_K,OCC=1C=CN=CC1NC(=O)C2COC=3C=CC(Cl)=CC23,"5-chloro-N-[4-(hydroxymethyl)pyridin-3-yl]-2,3-dihydro-1-benzofuran-3-carboxamide"
GIA-UNK-20b-6,Z4505379463,C19H28Cl2N2O,Racemic or presumed racemic or meso,371.344,96.23,200415-FTE / COVID-19,hydrogen chloride,1,36.46094,40,20,1178796-Y40-06,04_L,Cl.ClCC(=O)N1CCN(CC1)C(C2CCCCC2)C=3C=CC=CC3,2-chloro-1-{4-[cyclohexyl(phenyl)methyl]piperazin-1-yl}ethan-1-one hydrochloride
JAN-GHE-bf4-2,Z4461624259,C25H23N5O3S,Achiral,473.546,100,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-06,04_M,C=CC(=O)N1CCN(CC1)S(=O)(=O)C=2C=CC=CC2C=3C=CC(NC=4C=CC(C#N)=CN4)=CC3,"6-[(2'-{[4-(prop-2-enoyl)piperazin-1-yl]sulfonyl}-[1,1'-biphenyl]-4-yl)amino]pyridine-3-carbonitrile"
Z3496329867,Z3496329867,C12H12ClN3O3S,Racemic or presumed racemic or meso,313.759,100,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-06,04_N,OC(=O)C(CC=1N=CC=C(O)N1)NCC2=CC=C(Cl)S2,2-{[(5-chlorothiophen-2-yl)methyl]amino}-3-(4-hydroxypyrimidin-2-yl)propanoic acid
