shipment_ID,catalog_ID,Formula,stereochemistry,sample_MW,purity,PO,Salt_Name,Salt_ratio,MW_salt,volume(uL),concentration(mM),plate_ID,well,SMILES,Name
LON-WEI-babf2c61-4,Z4509080674,C28H30FN3O3,Racemic or presumed racemic or meso,475.554,90.75,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-06,01_A,CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NCCC=2C=CC=C(F)C2)C=3C=NC=C(O)C3)C(=O)C=C,N-(4-tert-butylphenyl)-N-({[2-(3-fluorophenyl)ethyl]carbamoyl}(5-hydroxypyridin-3-yl)methyl)prop-2-enamide
LON-WEI-babf2c61-4,Z4509080674,C28H30FN3O3,Racemic or presumed racemic or meso,475.554,90.75,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-06,01_B,CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NCCC=2C=CC=C(F)C2)C=3C=NC=C(O)C3)C(=O)C=C,N-(4-tert-butylphenyl)-N-({[2-(3-fluorophenyl)ethyl]carbamoyl}(5-hydroxypyridin-3-yl)methyl)prop-2-enamide
LON-WEI-babf2c61-4,Z4509080674,C28H30FN3O3,Racemic or presumed racemic or meso,475.554,90.75,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-06,02_A,CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NCCC=2C=CC=C(F)C2)C=3C=NC=C(O)C3)C(=O)C=C,N-(4-tert-butylphenyl)-N-({[2-(3-fluorophenyl)ethyl]carbamoyl}(5-hydroxypyridin-3-yl)methyl)prop-2-enamide
LON-WEI-babf2c61-4,Z4509080674,C28H30FN3O3,Racemic or presumed racemic or meso,475.554,90.75,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-06,02_B,CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NCCC=2C=CC=C(F)C2)C=3C=NC=C(O)C3)C(=O)C=C,N-(4-tert-butylphenyl)-N-({[2-(3-fluorophenyl)ethyl]carbamoyl}(5-hydroxypyridin-3-yl)methyl)prop-2-enamide
LON-WEI-babf2c61-4,Z4509080674,C28H30FN3O3,Racemic or presumed racemic or meso,475.554,90.75,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-06,03_A,CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NCCC=2C=CC=C(F)C2)C=3C=NC=C(O)C3)C(=O)C=C,N-(4-tert-butylphenyl)-N-({[2-(3-fluorophenyl)ethyl]carbamoyl}(5-hydroxypyridin-3-yl)methyl)prop-2-enamide
LON-WEI-babf2c61-4,Z4509080674,C28H30FN3O3,Racemic or presumed racemic or meso,475.554,90.75,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-06,03_B,CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NCCC=2C=CC=C(F)C2)C=3C=NC=C(O)C3)C(=O)C=C,N-(4-tert-butylphenyl)-N-({[2-(3-fluorophenyl)ethyl]carbamoyl}(5-hydroxypyridin-3-yl)methyl)prop-2-enamide
LON-WEI-babf2c61-8,Z4509080711,C25H21F4N3O3,Racemic or presumed racemic or meso,487.446,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-06,04_A,OC=1C=NC=C(C1)C(N(C(=O)C=C)C=2C=CC(=CC2)C(F)(F)F)C(=O)NCCC=3C=CC=C(F)C3,N-({[2-(3-fluorophenyl)ethyl]carbamoyl}(5-hydroxypyridin-3-yl)methyl)-N-[4-(trifluoromethyl)phenyl]prop-2-enamide
LON-WEI-babf2c61-8,Z4509080711,C25H21F4N3O3,Racemic or presumed racemic or meso,487.446,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-06,04_B,OC=1C=NC=C(C1)C(N(C(=O)C=C)C=2C=CC(=CC2)C(F)(F)F)C(=O)NCCC=3C=CC=C(F)C3,N-({[2-(3-fluorophenyl)ethyl]carbamoyl}(5-hydroxypyridin-3-yl)methyl)-N-[4-(trifluoromethyl)phenyl]prop-2-enamide
LON-WEI-babf2c61-8,Z4509080711,C25H21F4N3O3,Racemic or presumed racemic or meso,487.446,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-06,05_A,OC=1C=NC=C(C1)C(N(C(=O)C=C)C=2C=CC(=CC2)C(F)(F)F)C(=O)NCCC=3C=CC=C(F)C3,N-({[2-(3-fluorophenyl)ethyl]carbamoyl}(5-hydroxypyridin-3-yl)methyl)-N-[4-(trifluoromethyl)phenyl]prop-2-enamide
LON-WEI-babf2c61-8,Z4509080711,C25H21F4N3O3,Racemic or presumed racemic or meso,487.446,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-06,05_B,OC=1C=NC=C(C1)C(N(C(=O)C=C)C=2C=CC(=CC2)C(F)(F)F)C(=O)NCCC=3C=CC=C(F)C3,N-({[2-(3-fluorophenyl)ethyl]carbamoyl}(5-hydroxypyridin-3-yl)methyl)-N-[4-(trifluoromethyl)phenyl]prop-2-enamide
