shipment_ID,catalog_ID,Formula,stereochemistry,sample_MW,purity,PO,Salt_Name,Salt_ratio,MW_salt,volume(uL),concentration(mM),plate_ID,well,SMILES,Name
LON-WEI-2e27a2e5-1,Z4601777319,C30H30FN3O3,Racemic or presumed racemic or meso,499.575,100,H92014852,,,0,40,20,1220170-Y40-01,03_A,CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NCCC=2C=CC=C(F)C2)C=3C=CC=NC3)C(=O)C4=CC=CO4,2-[N-(4-tert-butylphenyl)-1-(furan-2-yl)formamido]-N-[2-(3-fluorophenyl)ethyl]-2-(pyridin-3-yl)acetamide
ALP-POS-05819dc4-1,Z4606617266,C19H17ClN2O4,Achiral,372.802,99,H92014852,,,0,40,20,1220170-Y40-01,03_B,COC=1C=CC(Cl)=CC1OCCNC(=O)C2=CC(=O)NC=3C=CC=CC23,"N-[2-(5-chloro-2-methoxyphenoxy)ethyl]-2-oxo-1,2-dihydroquinoline-4-carboxamide"
ALP-POS-ddb41b15-4,Z4606609029,C25H21ClN2O3,Achiral,432.898,97,H92014852,,,0,40,20,1220170-Y40-01,03_C,COC=1C=CC=C(CCN(C(=O)C2=CC(=O)NC=3C=CC=CC23)C=4C=CC=C(Cl)C4)C1,"N-(3-chlorophenyl)-N-[2-(3-methoxyphenyl)ethyl]-2-oxo-1,2-dihydroquinoline-4-carboxamide"
JAG-UCB-ef2c0e8e-4,Z2734696886,C15H15N5O2,Achiral,297.311,,H92014852,,,0,40,20,1220170-Y40-01,03_D,CC=1C=CC(=CC1C)N2N=CC=3C(=O)N(CC(=O)N)C=NC23,"2-[1-(3,4-dimethylphenyl)-4-oxo-1H,4H,5H-pyrazolo[3,4-d]pyrimidin-5-yl]acetamide"
VLA-UCB-00f2c2b3-7,Z1333300352,C15H12ClN3O,Achiral,285.728,,H92014852,,,0,40,20,1220170-Y40-01,03_E,ClC=1C=CC=C(CC(=O)NC=2C=CC=C3NN=CC23)C1,2-(3-chlorophenyl)-N-(1H-indazol-4-yl)acetamide
JAG-UCB-1d922829-7,Z1718721903,C19H23N3O2,Diastereomeric mixture,325.404,,H92014852,,,0,40,20,1220170-Y40-01,03_F,CC=1C=C2OCC(C(=O)N3CCCCC3C=4C=NNC4)C2=CC1C,"1-(5,6-dimethyl-2,3-dihydro-1-benzofuran-3-carbonyl)-2-(1H-pyrazol-4-yl)piperidine"
JAG-UCB-cedd89ab-2,Z2241012654,C11H12ClN3O,Racemic or presumed racemic or meso,237.685,,H92014852,,,0,40,20,1220170-Y40-01,03_G,OC(CC=1C=CC=C(Cl)C1)CN2C=NC=N2,"1-(3-chlorophenyl)-3-(1H-1,2,4-triazol-1-yl)propan-2-ol"
BEN-DND-93268d01-5,Z1129286049,C15H15FN2O,Achiral,258.290,,H92014852,,,0,40,20,1220170-Y40-01,03_H,CC=1C=CN=CC1NC(=O)CCC=2C=CC=C(F)C2,3-(3-fluorophenyl)-N-(4-methylpyridin-3-yl)propanamide
BEN-DND-93268d01-11,Z4281014863,C13H19N3O,Achiral,233.309,,H92014852,,,0,40,20,1220170-Y40-01,03_I,CC=1C=CN=CC1NC(=O)CN2CCCCC2,N-(4-methylpyridin-3-yl)-2-(piperidin-1-yl)acetamide
JAG-UCB-77729364-1,Z2735668444,C15H13ClN4O2S,Achiral,348.807,,H92014852,,,0,40,20,1220170-Y40-01,03_J,CC1=CC=2C(N)=NC(=O)N(CC(=O)NC=3C=CC=C(Cl)C3)C2S1,"2-{4-amino-6-methyl-2-oxo-1H,2H-thieno[2,3-d]pyrimidin-1-yl}-N-(3-chlorophenyl)acetamide"
BEN-DND-93268d01-8,Z4605959408,C14H20N4O2,Achiral,276.334,,H92014852,,,0,40,20,1220170-Y40-01,03_K,CC(=O)N1CCN(CC(=O)NC=2C=NC=CC2C)CC1,2-(4-acetylpiperazin-1-yl)-N-(4-methylpyridin-3-yl)acetamide
EDJ-MED-a364e151-1,Z4598794268,C17H17ClN2O,Achiral,300.782,100,H92014852,,,0,40,20,1220170-Y40-01,03_L,ClC=1C=CC=C(CC(=O)NC=2C=NC=C3CCCCC23)C1,"2-(3-chlorophenyl)-N-(5,6,7,8-tetrahydroisoquinolin-4-yl)acetamide"
EDJ-MED-06d94977-2,Z73319350,C16H15ClN4O,Achiral,314.769,81.09,H92014852,,,0,40,20,1220170-Y40-01,03_M,CN(CC=1C=CC=C(Cl)C1)C(=O)CN2N=NC=3C=CC=CC23,"2-(1H-1,2,3-benzotriazol-1-yl)-N-[(3-chlorophenyl)methyl]-N-methylacetamide"
