shipment_ID,catalog_ID,Formula,stereochemistry,sample_MW,purity,PO,Salt_Name,Salt_ratio,MW_salt,volume(uL),concentration(mM),plate_ID,well,SMILES,Name
ALP-POS-ddb41b15-8,Z4644073939,C25H22ClN4O,Racemic or presumed racemic or meso,429.921,98,200415-FTE / COVID-19,,,0,4,100,1181202-Y4-18,05_A,Cn1c(C(NC(=O)Cc2cc3ccccc3[nH]2)c2cccc(Cl)c2)nc2ccccc21,"2-[(3-chlorophenyl)[2-(1H-indol-2-yl)acetamido]methyl]-1-methyl-3H-1??,3-benzodiazol-1-yl"
EDJ-MED-00c1612e-1,Z4598700231,C18H15ClN2O2,Achiral,326.776,100,200415-FTE / COVID-19,,,0,4,100,1181202-Y4-18,05_B,COC=1C=CC=2C=NC=C(NC(=O)CC=3C=CC=C(Cl)C3)C2C1,2-(3-chlorophenyl)-N-(6-methoxyisoquinolin-4-yl)acetamide
MAT-POS-f42f3716-9,Z4609618473,C20H19ClN4O3,Achiral,398.842,97.34,200415-FTE / COVID-19,,,0,4,100,1181202-Y4-18,05_C,CCOC(=O)C1=CC(=NN1)C=2C=C(Cl)C=C(CC(=O)NC=3C=NC=CC3C)C2,ethyl 3-(3-chloro-5-{[(4-methylpyridin-3-yl)carbamoyl]methyl}phenyl)-1H-pyrazole-5-carboxylate
TRY-UNI-2eddb1ff-8,Z4497196460,C18H18ClN3O3,Diastereomeric mixture,359.806,91.33,200415-FTE / COVID-19,,,0,4,100,1181202-Y4-18,05_D,CC(C(=O)NC=1C=NC=CC1C)C=2C=C(Cl)C=C(OC3CC(=O)N3)C2,2-{3-chloro-5-[(4-oxoazetidin-2-yl)oxy]phenyl}-N-(4-methylpyridin-3-yl)propanamide
MAT-POS-f42f3716-7,Z4609618468,C19H17ClF2N4O,Achiral,390.814,100,200415-FTE / COVID-19,,,0,4,100,1181202-Y4-18,05_E,CC=1C=CN=CC1NC(=O)CC=2C=C(Cl)C=C(C2)C=3C=NN(C)C3C(F)F,2-{3-chloro-5-[5-(difluoromethyl)-1-methyl-1H-pyrazol-4-yl]phenyl}-N-(4-methylpyridin-3-yl)acetamide
MAT-POS-6344a35d-1,Z4607377228,C23H18ClN3O3,Achiral,419.860,100,200415-FTE / COVID-19,,,0,4,100,1181202-Y4-18,05_F,COC=1C=CC=C(OC=2C=C(Cl)C=C(NC(=O)CC=3C=NC=C4C=CC=CC34)C2)N1,N-{3-chloro-5-[(6-methoxypyridin-2-yl)oxy]phenyl}-2-(isoquinolin-4-yl)acetamide
MAT-POS-f42f3716-5,Z4609618460,C24H23ClN2O2,Racemic or presumed racemic or meso,406.904,90,200415-FTE / COVID-19,,,0,4,100,1181202-Y4-18,05_G,CC=1C=CN=CC1NC(=O)CC=2C=C(Cl)C=C(C2)C=3C=CC(=CC3)C4(C)CCO4,"2-[5-chloro-4'-(2-methyloxetan-2-yl)-[1,1'-biphenyl]-3-yl]-N-(4-methylpyridin-3-yl)acetamide"
CHO-MSK-6e55470f-21,Z4623427647,C28H24ClFN2O3,Achiral,490.953,100,200415-FTE / COVID-19,,,0,4,100,1181202-Y4-18,05_H,CC=1C=CN=CC1NC(=O)CC=2C=C(Cl)C=C(OCC=3C=CC(OCC=4C=CC=CC4F)=CC3)C2,2-[3-chloro-5-({4-[(2-fluorophenyl)methoxy]phenyl}methoxy)phenyl]-N-(4-methylpyridin-3-yl)acetamide
CHO-MSK-6e55470f-24,Z4623427639,C27H27ClN4O4,Achiral,506.980,87,200415-FTE / COVID-19,,,0,4,100,1181202-Y4-18,05_I,CC=1C=CN=CC1NC(=O)CC=2C=C(Cl)C=C(OCC3=NN(C(=O)OC(C)(C)C)C=4C=CC=CC34)C2,tert-butyl 3-[(3-chloro-5-{[(4-methylpyridin-3-yl)carbamoyl]methyl}phenoxy)methyl]-1H-indazole-1-carboxylate
CHO-MSK-6e55470f-17,Z4623427653,C26H23ClN2O5,Achiral,478.924,100,200415-FTE / COVID-19,,,0,4,100,1181202-Y4-18,05_J,CCOC(=O)C1=C(COC=2C=C(Cl)C=C(CC(=O)NC=3C=NC=CC3C)C2)OC=4C=CC=CC14,ethyl 2-[(3-chloro-5-{[(4-methylpyridin-3-yl)carbamoyl]methyl}phenoxy)methyl]-1-benzofuran-3-carboxylate
CHO-MSK-6e55470f-14,Z4623427659,C23H21ClF2N2O4,Achiral,462.873,100,200415-FTE / COVID-19,,,0,4,100,1181202-Y4-18,05_K,COC=1C=C(COC=2C=C(Cl)C=C(CC(=O)NC=3C=NC=CC3C)C2)C=CC1OC(F)F,2-(3-chloro-5-{[4-(difluoromethoxy)-3-methoxyphenyl]methoxy}phenyl)-N-(4-methylpyridin-3-yl)acetamide
CHO-MSK-6e55470f-5,Z4623427664,C18H17ClN4O3,Achiral,372.805,90,200415-FTE / COVID-19,,,0,4,100,1181202-Y4-18,05_L,CC1=NOC(COC=2C=C(Cl)C=C(CC(=O)NC=3C=NC=CC3C)C2)=N1,"2-{3-chloro-5-[(3-methyl-1,2,4-oxadiazol-5-yl)methoxy]phenyl}-N-(4-methylpyridin-3-yl)acetamide"
WIL-MOD-03b86a88-4,Z4609618524,C17H17ClN2O3,Achiral,332.781,95.25,200415-FTE / COVID-19,,,0,4,100,1181202-Y4-18,05_M,CC=1C=CN=CC1NC(=O)CC=2C=C(Cl)C=C(OC3COC3)C2,2-[3-chloro-5-(oxetan-3-yloxy)phenyl]-N-(4-methylpyridin-3-yl)acetamide
