shipment_ID,catalog_ID,Formula,stereochemistry,sample_MW,purity,PO,Salt_Name,Salt_ratio,MW_salt,volume(uL),concentration(mM),plate_ID,well,SMILES,Name,Comment
MAT-POS-fa06b69f-9,Z57032523,C17H15ClN4O3,Achiral,358.779,100,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-22,03_A,CC1=CC(C(=O)CCl)=C(C)N1NC(=O)C2=NNC(=O)C=3C=CC=CC23,"N-[3-(2-chloroacetyl)-2,5-dimethyl-1H-pyrrol-1-yl]-4-oxo-3,4-dihydrophthalazine-1-carboxamide",DMSO
MAT-POS-fa06b69f-4,Z56948287,C17H18ClNO3,Racemic or presumed racemic or meso,319.782,98.18,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-22,03_B,CC1=CC(C(=O)CCl)=C(C)N1CC2COC=3C=CC=CC3O2,"2-chloro-1-{1-[(2,3-dihydro-1,4-benzodioxin-2-yl)methyl]-2,5-dimethyl-1H-pyrrol-3-yl}ethan-1-one",DMSO
MAT-POS-fa06b69f-2,Z90664458,C15H17ClN4OS,Achiral,336.839,95.63,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-22,03_C,CSC1=C(C#N)C2(CCCCC2)C(=C(NC(=O)CCl)N1)C#N,"2-chloro-N-[1,5-dicyano-4-(methylsulfanyl)-3-azaspiro[5.5]undeca-1,4-dien-2-yl]acetamide",DMSO
MAT-POS-fa06b69f-3,Z56921112,C18H13ClFNO2,Achiral,329.752,97.67,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-22,03_D,CC=1C(C(=O)CCl)=C2C=CC=CN2C1C(=O)C=3C=CC(F)=CC3,2-chloro-1-[3-(4-fluorobenzoyl)-2-methylindolizin-1-yl]ethan-1-one,DMSO
MAT-POS-fa06b69f-7,Z363947584,C18H18ClN3O3S,Racemic or presumed racemic or meso,391.871,100,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-22,03_E,CS(=O)(=O)NC=1C=CC=C(C1)C2=NN(C(C2)C=3C=CC=CC3)C(=O)CCl,"N-{3-[1-(2-chloroacetyl)-5-phenyl-4,5-dihydro-1H-pyrazol-3-yl]phenyl}methanesulfonamide",DMSO
MAT-POS-fa06b69f-6,Z31316845,C16H14N2O3S2,Achiral,346.423,100,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-22,03_F,O=C1OC(=NC1=CC2=CC=C(S2)N3CCOCC3)C4=CC=CS4,"4-{[5-(morpholin-4-yl)thiophen-2-yl]methylidene}-2-(thiophen-2-yl)-4,5-dihydro-1,3-oxazol-5-one",DMSO
MAT-POS-fa06b69f-1,Z31321688,C16H13NO3S,Achiral,299.344,100,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-22,03_G,COC=1C=CC=C(C1)C2=NC(=CC=3SC=CC3C)C(=O)O2,"2-(3-methoxyphenyl)-4-[(3-methylthiophen-2-yl)methylidene]-4,5-dihydro-1,3-oxazol-5-one",DMSO
ALP-POS-6747fa38-1,Z4613247190,C17H20N4O2,Achiral,312.366,93,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-22,03_H,CC(=O)N1CCN(CC(=O)NC=2C=NC=C3C=CC=CC23)CC1,2-(4-acetylpiperazin-1-yl)-N-(isoquinolin-4-yl)acetamide,DMSO
MAT-POS-fa06b69f-5,Z56886487,C17H19ClN2O4S,Achiral,382.861,95,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-22,03_I,CCN(C=1C=CC=CC1)S(=O)(=O)C=2C=CC(OC)=C(NC(=O)CCl)C2,2-chloro-N-{5-[ethyl(phenyl)sulfamoyl]-2-methoxyphenyl}acetamide,DMSO
MAT-POS-fa06b69f-8,Z57054209,C11H12BrClN2O2,Achiral,319.582,99,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-22,03_J,CN(CC(=O)NC=1C=CC=CC1Br)C(=O)CCl,N-{[(2-bromophenyl)carbamoyl]methyl}-2-chloro-N-methylacetamide,DMSO
CHO-MSK-6e55470f-1,Z4623427667,C21H26ClN3O3,Racemic or presumed racemic or meso,403.902,90.68,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-23,03_A,CC1COCCN1CCOC=2C=C(Cl)C=C(CC(=O)NC=3C=NC=CC3C)C2,2-{3-chloro-5-[2-(3-methylmorpholin-4-yl)ethoxy]phenyl}-N-(4-methylpyridin-3-yl)acetamide,DMSO-d6
MAT-POS-f2460aef-1,Z4647017343,C30H30FN3O3,Single known enantiomer,499.575,100,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-23,03_B,"CC(C)(C)C=1C=CC(=CC1)N([C@H](C(=O)NCCC=2C=CC=C(F)C2)C=3C=CC=NC3)C(=O)C4=CC=CO4 |o1:11,r|",rel-(2R)-2-[N-(4-tert-butylphenyl)-1-(furan-2-yl)formamido]-N-[2-(3-fluorophenyl)ethyl]-2-(pyridin-3-yl)acetamide,DMSO-d6
MAT-POS-f2460aef-2,Z4647023313,C30H30FN3O3,Single known enantiomer,499.575,100,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-23,03_C,"CC(C)(C)C=1C=CC(=CC1)N([C@@H](C(=O)NCCC=2C=CC=C(F)C2)C=3C=CC=NC3)C(=O)C4=CC=CO4 |o1:11,r|",rel-(2R)-2-[N-(4-tert-butylphenyl)-1-(furan-2-yl)formamido]-N-[2-(3-fluorophenyl)ethyl]-2-(pyridin-3-yl)acetamide,DMSO-d6
MIC-UNK-42806bd5-1,Z2602072666,C12H13ClN2O2,Single known enantiomer,252.696,97.65,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-23,03_D,ClC=1C=CC=C(CC(=O)N[C@H]2CCNC2=O)C1,2-(3-chlorophenyl)-N-[(3S)-2-oxopyrrolidin-3-yl]acetamide,DMSO-d6
