shipment_ID,catalog_ID,Formula,stereochemistry,sample_MW,purity,PO,Salt_Name,Salt_ratio,MW_salt,volume(uL),concentration(mM),plate_ID,well,SMILES,Name,PostEra comments
ALP-POS-02c6a514-1,EN300-182914-Ugi,C31H38FN3O3,Achiral,519.661,,,,,0,40,20,,,CC1CC(CCN(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)CC(C)(C)C1,"N-[2-(3-fluorophenyl)ethyl]-2-[1-(furan-2-yl)-N-[2-(3,3,5-trimethylcyclohexyl)ethyl]formamido]-2-(pyridin-3-yl)acetamide",CVD-0013830
ALP-POS-02c6a514-2,EN300-16215-Ugi,C27H24FN3O3,Achiral,457.505,,,,,0,40,20,,,O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(Cc1ccccc1)C(=O)c1ccco1,2-[N-benzyl-1-(furan-2-yl)formamido]-N-[2-(3-fluorophenyl)ethyl]-2-(pyridin-3-yl)acetamide,CVD-0013831
ALP-POS-02c6a514-3,EN300-02104-Ugi,C29H23FN4O3S,Achiral,526.59,,,,,0,40,20,,,O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1ccco1)c1nc(-c2ccccc2)cs1,"N-[2-(3-fluorophenyl)ethyl]-2-[1-(furan-2-yl)-N-(4-phenyl-1,3-thiazol-2-yl)formamido]-2-(pyridin-3-yl)acetamide",CVD-0013832
ALP-POS-02c6a514-4,EN300-367102-Ugi,C28H30FN3O4,Achiral,491.56300000000005,,,,,0,40,20,,,CCOC1CC2(C1)CC2N(C(=O)c1ccco1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1,2-(N-{5-ethoxyspiro[2.3]hexan-1-yl}-1-(furan-2-yl)formamido)-N-[2-(3-fluorophenyl)ethyl]-2-(pyridin-3-yl)acetamide,CVD-0013833
ALP-POS-02c6a514-5,EN300-200096-Ugi,C31H30FN3O3,Achiral,511.597,,,,,0,40,20,,,O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1ccco1)c1ccc(C2CCCC2)cc1,2-[N-(4-cyclopentylphenyl)-1-(furan-2-yl)formamido]-N-[2-(3-fluorophenyl)ethyl]-2-(pyridin-3-yl)acetamide,CVD-0013834
ALP-POS-02c6a514-6,EN300-25493-Ugi,C34H34FN3O3,Achiral,551.6619999999999,,,,,0,40,20,,,CC(=O)c1ccccc1C(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1,2-[1-(2-acetylphenyl)-N-(4-tert-butylphenyl)formamido]-N-[2-(3-fluorophenyl)ethyl]-2-(pyridin-3-yl)acetamide,CVD-0013859
ALP-POS-02c6a514-7,EN300-6759803-Ugi,C26H20FN5O4,Achiral,485.475,,,,,0,40,20,,,O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1ccco1)c1ccc2nonc2c1,"2-[N-(2,1,3-benzoxadiazol-5-yl)-1-(furan-2-yl)formamido]-N-[2-(3-fluorophenyl)ethyl]-2-(pyridin-3-yl)acetamide",CVD-0013835
ALP-POS-02c6a514-8,EN300-6738687-Ugi,C26H21F4N3O3S,Achiral,531.53,,,,,0,40,20,,,O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(Cc1cc(C(F)(F)F)cs1)C(=O)c1ccco1,N-[2-(3-fluorophenyl)ethyl]-2-[1-(furan-2-yl)-N-{[4-(trifluoromethyl)thiophen-2-yl]methyl}formamido]-2-(pyridin-3-yl)acetamide,CVD-0013836
ALP-POS-02c6a514-9,EN300-6740025-Ugi,C32H30FN3O3S,Achiral,555.67,,,,,0,40,20,,,CC(C)(C)c1ccc(N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2snc3ccccc23)cc1,"2-(2,1-benzothiazol-3-yl)-2-[N-(4-tert-butylphenyl)-1-(furan-2-yl)formamido]-N-[2-(3-fluorophenyl)ethyl]acetamide",CVD-0013860
ALP-POS-02c6a514-10,EN300-45242-Ugi,C29H24FN5O4,Achiral,525.54,,,,,0,40,20,,,Nc1ccc2[nH]c(C(=O)N(C(=O)c3ccco3)C(C(=O)NCCc3cccc(F)c3)c3cccnc3)cc2c1,2-[N-(5-amino-1H-indole-2-carbonyl)-1-(furan-2-yl)formamido]-N-[2-(3-fluorophenyl)ethyl]-2-(pyridin-3-yl)acetamide,CVD-0013861
