shipment_ID,catalog_ID,Formula,stereochemistry,sample_MW,purity,PO,Salt_Name,Salt_ratio,MW_salt,volume(uL),concentration(mM),plate_ID,well,SMILES,Name,Batch ID
RAL-THA-4aa06b95-1,Z4872701248,C20H17ClN4O2,Racemic or presumed racemic or meso,380.827,100,200415-FTE / COVID-19,,,0,4,100,1181202-Y4-32,05_A,NC(=O)N1CCC(C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=C(Cl)C=CC14,"6-chloro-N4-(isoquinolin-4-yl)-1,2,3,4-tetrahydroquinoline-1,4-dicarboxamide",H2837360
EDJ-MED-3c65e9ce-3,Z4878360701,C19H22N4O2,Achiral,338.403,97.21,200415-FTE / COVID-19,,,0,4,100,1181202-Y4-32,05_B,CC(=O)N1CCN(CC(=O)NC=2C=NC=CC2C=3C=CC=CC3)CC1,2-(4-acetylpiperazin-1-yl)-N-(4-phenylpyridin-3-yl)acetamide,H2833462
rel-EDJ-MED-92e193ae-2,Z4878375477,C19H16ClN3O,Single known enantiomer,337.802,100,200415-FTE / COVID-19,,,0,4,100,1181202-Y4-32,05_C,"ClC=1C=CC=2NCC[C@H](C(=O)NC=3C=NC=C4C=CC=CC34)C2C1 |o1:8,r|","rel-(4R)-6-chloro-N-(isoquinolin-4-yl)-1,2,3,4-tetrahydroquinoline-4-carboxamide",H2835820
rel-EDJ-MED-92e193ae-1,Z4878375901,C19H16ClN3O,Single known enantiomer,337.802,100,200415-FTE / COVID-19,,,0,4,100,1181202-Y4-32,05_D,"ClC=1C=CC=2NCC[C@@H](C(=O)NC=3C=NC=C4C=CC=CC34)C2C1 |o1:8,r|","rel-(4R)-6-chloro-N-(isoquinolin-4-yl)-1,2,3,4-tetrahydroquinoline-4-carboxamide",H2835821
BEN-DND-c852c98b-1,Z4778736891,C20H14ClN3O2,Racemic or presumed racemic or meso,363.797,95.46,200415-FTE / COVID-19,,,0,4,100,1181202-Y4-32,05_E,ClC=1C=CC=2OCCC(C(=O)NC=3C=NC=C4C=CC(C#N)=CC34)C2C1,"6-chloro-N-(6-cyanoisoquinolin-4-yl)-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H2837339
MAT-POS-6c284e65-1,Z4878360707,C25H23ClN4O,Achiral,430.929,87.73,200415-FTE / COVID-19,,,0,4,100,1181202-Y4-32,05_F,CN(C)C=1C=CC(=NC1)N(CC=2C=CC=C(Cl)C2)C(=O)CC=3C=NC=C4C=CC=CC34,N-[(3-chlorophenyl)methyl]-N-[5-(dimethylamino)pyridin-2-yl]-2-(isoquinolin-4-yl)acetamide,H2839213
MAT-POS-c7771779-1,Z4878381017,C19H14ClN3O3,Racemic or presumed racemic or meso,367.785,98.86,200415-FTE / COVID-19,,,0,4,100,1181202-Y4-32,05_G,OC1(CC(=O)NC=2C=CC(Cl)=CC21)C(=O)NC=3C=NC=C4C=CC=CC34,"6-chloro-4-hydroxy-N-(isoquinolin-4-yl)-2-oxo-1,2,3,4-tetrahydroquinoline-4-carboxamide",H2839609
rac-EDJ-MED-fb4b7746-4,Z4780165435,C17H15ClN4O3,Racemic or presumed racemic or meso,358.779,100,200415-FTE / COVID-19,,,0,4,100,1181202-Y4-32,05_H,CN1C(=O)NC=2C=NC=C(NC(=O)C3CCOC=4C=CC(Cl)=CC34)C12,"6-chloro-N-{1-methyl-2-oxo-1H,2H,3H-imidazo[4,5-c]pyridin-7-yl}-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H2839606
rac-EDJ-MED-fb4b7746-3,Z4780165427,C16H13ClN4O3,Racemic or presumed racemic or meso,344.752,100,200415-FTE / COVID-19,,,0,4,100,1181202-Y4-32,05_I,ClC=1C=CC=2OCCC(C(=O)NC=3C=NC=C4NC(=O)NC34)C2C1,"6-chloro-N-{2-oxo-1H,2H,3H-imidazo[4,5-c]pyridin-7-yl}-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H2834162
BEN-DND-c852c98b-10,Z4778736890,C18H18ClN3O2,Racemic or presumed racemic or meso,343.807,94.64,200415-FTE / COVID-19,,,0,4,100,1181202-Y4-32,05_J,ClC=1C=CC=2OCCC(C(=O)NC=3C=NC=C4CCNCC34)C2C1,"6-chloro-N-(5,6,7,8-tetrahydro-2,6-naphthyridin-4-yl)-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H2843505
