shipment_ID,catalog_ID,Formula,stereochemistry,sample_MW,purity,PO,Salt_Name,Salt_ratio,MW_salt,volume(uL),concentration(mM),plate_ID,well,SMILES,Name,Batch ID
RAL-THA-2d450e86-26,Z1530724972,C17H12F2N2O,Achiral,298.286,100,200415-FTE / COVID-19,,,0,40,20,1181202-Y40-34,03_A,FC=1C=CC(F)=C(CC(=O)NC=2C=NC=C3C=CC=CC23)C1,"2-(2,5-difluorophenyl)-N-(isoquinolin-4-yl)acetamide",H2864076
MAT-POS-fce787c2-1,Z1840536621,C19H17ClN2O2,Achiral,340.803,95.78,200415-FTE / COVID-19,,,0,40,20,1181202-Y40-34,03_B,CCOC=1C(Cl)=CC=CC1CC(=O)NC=2C=NC=C3C=CC=CC23,2-(3-chloro-2-ethoxyphenyl)-N-(isoquinolin-4-yl)acetamide,H2864078
RAL-THA-2d450e86-33,Z2033493111,C16H12ClN3O,Achiral,297.738,98.72,200415-FTE / COVID-19,,,0,40,20,1181202-Y40-34,03_C,ClC=1C=CC(CC(=O)NC=2C=NC=C3C=CC=CC23)=NC1,2-(5-chloropyridin-2-yl)-N-(isoquinolin-4-yl)acetamide,H2864060
RAL-THA-2d450e86-10,Z1530725841,C17H13FN2O,Achiral,280.296,100,200415-FTE / COVID-19,,,0,40,20,1181202-Y40-34,03_D,FC=1C=CC=C(CC(=O)NC=2C=NC=C3C=CC=CC23)C1,2-(3-fluorophenyl)-N-(isoquinolin-4-yl)acetamide,H2864070
RAL-THA-2d450e86-13,Z1530724790,C18H16N2O,Achiral,276.332,100,200415-FTE / COVID-19,,,0,40,20,1181202-Y40-34,03_E,CC=1C=CC=C(CC(=O)NC=2C=NC=C3C=CC=CC23)C1,N-(isoquinolin-4-yl)-2-(3-methylphenyl)acetamide,H2864074
RAL-THA-2d450e86-1,Z1530723620,C17H14N2O,Achiral,262.305,100,200415-FTE / COVID-19,,,0,40,20,1181202-Y40-34,03_F,O=C(CC=1C=CC=CC1)NC=2C=NC=C3C=CC=CC23,N-(isoquinolin-4-yl)-2-phenylacetamide,H2864069
RAL-THA-2d450e86-8,Z4897371023,C18H15ClN2O,Achiral,310.777,97.35,200415-FTE / COVID-19,,,0,40,20,1181202-Y40-34,03_G,CC=1C=CC(CC(=O)NC=2C=NC=C3C=CC=CC23)=CC1Cl,2-(3-chloro-4-methylphenyl)-N-(isoquinolin-4-yl)acetamide,H2864085
RAL-THA-2d450e86-17,Z4896259324,C18H12ClN3O,Achiral,321.760,100,200415-FTE / COVID-19,,,0,40,20,1181202-Y40-34,03_H,ClC=1C=C(CC(=O)NC=2C=NC=C3C=CC=CC23)C=C(C#N)C1,2-(3-chloro-5-cyanophenyl)-N-(isoquinolin-4-yl)acetamide,H2863733
RAL-THA-2d450e86-7,Z1530713253,C17H13FN2O,Achiral,280.296,100,200415-FTE / COVID-19,,,0,40,20,1181202-Y40-34,03_I,FC=1C=CC(CC(=O)NC=2C=NC=C3C=CC=CC23)=CC1,2-(4-fluorophenyl)-N-(isoquinolin-4-yl)acetamide,H2863608
RAL-THA-2d450e86-3,Z1530720440,C18H16N2O,Achiral,276.332,100,200415-FTE / COVID-19,,,0,40,20,1181202-Y40-34,03_J,CC=1C=CC(CC(=O)NC=2C=NC=C3C=CC=CC23)=CC1,N-(isoquinolin-4-yl)-2-(4-methylphenyl)acetamide,H2863606
MAT-POS-281d2ee9-1,Z4872701242,C20H18ClN3O2,Racemic or presumed racemic or meso,367.828,100,200415-FTE / COVID-19,,,0,40,20,1181202-Y40-34,03_K,CC(C(=O)N)C=1C=C(Cl)C=C(CC(=O)NC=2C=NC=C3C=CC=CC23)C1,2-(3-chloro-5-{[(isoquinolin-4-yl)carbamoyl]methyl}phenyl)propanamide,H2867904
RAL-THA-2d450e86-38,Z1530717050,C18H16N2O,Achiral,276.332,100,200415-FTE / COVID-19,,,0,40,20,1181202-Y40-34,03_L,CC=1C=CC=CC1CC(=O)NC=2C=NC=C3C=CC=CC23,N-(isoquinolin-4-yl)-2-(2-methylphenyl)acetamide,H2863605
RAL-THA-2d450e86-23,Z1530714700,C17H12F2N2O,Achiral,298.286,100,200415-FTE / COVID-19,,,0,40,20,1181202-Y40-34,03_M,FC=1C=CC=C(CC(=O)NC=2C=NC=C3C=CC=CC23)C1F,"2-(2,3-difluorophenyl)-N-(isoquinolin-4-yl)acetamide",H2863604
RAL-THA-2d450e86-12,Z1530723372,C18H13N3O,Achiral,287.315,100,200415-FTE / COVID-19,,,0,40,20,1181202-Y40-34,03_N,O=C(CC=1C=CC=C(C#N)C1)NC=2C=NC=C3C=CC=CC23,2-(3-cyanophenyl)-N-(isoquinolin-4-yl)acetamide,H2863611
RAL-THA-2d450e86-16,Z4897371027,C17H12F2N2O,Achiral,298.286,100,200415-FTE / COVID-19,,,0,40,20,1181202-Y40-34,03_O,FC=1C=C(F)C=C(CC(=O)NC=2C=NC=C3C=CC=CC23)C1,"2-(3,5-difluorophenyl)-N-(isoquinolin-4-yl)acetamide",H2863614
RAL-THA-2d450e86-36,Z1530713701,C17H13ClN2O,Achiral,296.750,100,200415-FTE / COVID-19,,,0,40,20,1181202-Y40-34,03_P,ClC=1C=CC=CC1CC(=O)NC=2C=NC=C3C=CC=CC23,2-(2-chlorophenyl)-N-(isoquinolin-4-yl)acetamide,H2863884
RAL-THA-2d450e86-25,Z4897371033,C17H12ClFN2O,Achiral,314.741,98.06,200415-FTE / COVID-19,,,0,40,20,1181202-Y40-34,04_A,FC=1C=CC(Cl)=CC1CC(=O)NC=2C=NC=C3C=CC=CC23,2-(5-chloro-2-fluorophenyl)-N-(isoquinolin-4-yl)acetamide,H2863891
RAL-THA-2d450e86-14,Z4897371024,C17H12ClFN2O,Achiral,314.741,100,200415-FTE / COVID-19,,,0,40,20,1181202-Y40-34,04_B,FC=1C=C(Cl)C=C(CC(=O)NC=2C=NC=C3C=CC=CC23)C1,2-(3-chloro-5-fluorophenyl)-N-(isoquinolin-4-yl)acetamide,H2863890
RAL-THA-2d450e86-9,Z1931292079,C17H12ClFN2O,Achiral,314.741,100,200415-FTE / COVID-19,,,0,40,20,1181202-Y40-34,04_C,FC=1C=C(CC(=O)NC=2C=NC=C3C=CC=CC23)C=CC1Cl,2-(4-chloro-3-fluorophenyl)-N-(isoquinolin-4-yl)acetamide,H2863888
RAL-THA-2d450e86-37,Z1530721970,C17H13FN2O,Achiral,280.296,100,200415-FTE / COVID-19,,,0,40,20,1181202-Y40-34,04_D,FC=1C=CC=CC1CC(=O)NC=2C=NC=C3C=CC=CC23,2-(2-fluorophenyl)-N-(isoquinolin-4-yl)acetamide,H2863609
RAL-THA-2d450e86-4,Z1530713230,C18H16N2O2,Achiral,292.331,100,200415-FTE / COVID-19,,,0,40,20,1181202-Y40-34,04_E,COC=1C=CC(CC(=O)NC=2C=NC=C3C=CC=CC23)=CC1,N-(isoquinolin-4-yl)-2-(4-methoxyphenyl)acetamide,H2864063
ALP-POS-869ac754-1,Z4897373673,C19H14Cl2N2O2,Racemic or presumed racemic or meso,373.232,100,200415-FTE / COVID-19,,,0,40,20,1181202-Y40-34,04_F,ClC=1C=C2OCCC(C(=O)NC=3C=NC=C4C=CC=CC34)C2=CC1Cl,"6,7-dichloro-N-(isoquinolin-4-yl)-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H2864466
ALP-POS-869ac754-2,Z4897373674,C19H14Cl2N2O2,Racemic or presumed racemic or meso,373.232,100,200415-FTE / COVID-19,,,0,40,20,1181202-Y40-34,04_G,ClC=1C=CC=2C(CCOC2C1Cl)C(=O)NC=3C=NC=C4C=CC=CC34,"7,8-dichloro-N-(isoquinolin-4-yl)-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H2864468
RAL-THA-2d450e86-34,Z4897371038,C16H12ClN3O,Achiral,297.738,100,200415-FTE / COVID-19,,,0,40,20,1181202-Y40-34,04_H,ClC=1C=NC=CC1CC(=O)NC=2C=NC=C3C=CC=CC23,2-(3-chloropyridin-4-yl)-N-(isoquinolin-4-yl)acetamide,H2865981
RAL-THA-2d450e86-32,Z1530722223,C18H13F3N2O,Achiral,330.303,100,200415-FTE / COVID-19,,,0,40,20,1181202-Y40-34,04_I,FC(F)(F)C=1C=CC(CC(=O)NC=2C=NC=C3C=CC=CC23)=CC1,N-(isoquinolin-4-yl)-2-[4-(trifluoromethyl)phenyl]acetamide,H2865914
rel-EDG-MED-971238d3-1-1,Z4839375737,C19H15ClN2O3,Single unknown enantiomer,354.787,100,200415-FTE / COVID-19,,,0,40,20,1181202-Y40-34,04_J,"O[C@]1(CCOC=2C=CC(Cl)=CC21)C(=O)NC=3C=NC=C4C=CC=CC34 |o1:1,r|","rel-(4R)-6-chloro-4-hydroxy-N-(isoquinolin-4-yl)-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H2859871
