shipment_ID,catalog_ID,Formula,stereochemistry,sample_MW,purity,PO,Salt_Name,Salt_ratio,MW_salt,volume(uL),concentration(mM),plate_ID,well,SMILES,Name,Batch ID,"Amount, mg"
EN300-19438,Z104473848,C10H15N,Achiral,149.232,95,200415-FTE / COVID-19,,,0,,,1178796-01,01_A,CC(C)(C)C=1C=CC(N)=CC1,4-tert-butylaniline,*R1881246*,1500.1
RAL-THA-2d450e86-11,Z1530713684,C18H16N2O2,Achiral,292.331,100,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-40,03_A,COC=1C=CC=C(CC(=O)NC=2C=NC=C3C=CC=CC23)C1,N-(isoquinolin-4-yl)-2-(3-methoxyphenyl)acetamide,H2865965,
MAT-POS-281d2ee9-3,Z4872701244,C18H13ClN6O,Achiral,364.788,99.46,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-40,03_B,ClC=1C=C(CC(=O)NC=2C=NC=C3C=CC=CC23)C=C(C1)C4=NN=NN4,"2-[3-chloro-5-(1H-1,2,3,4-tetrazol-5-yl)phenyl]-N-(isoquinolin-4-yl)acetamide",H2871778,
MAT-POS-fce787c2-5,Z4897373829,C18H15Cl2N3O,Racemic or presumed racemic or meso,360.237,100,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-40,03_C,CNC(C(=O)NC=1C=NC=C2C=CC=CC12)C=3C=CC(Cl)=C(Cl)C3,"2-(3,4-dichlorophenyl)-N-(isoquinolin-4-yl)-2-(methylamino)acetamide",H2871761,
ALP-POS-d91e0300-1,Z4897373676,C19H14ClFN2O2,Racemic or presumed racemic or meso,356.778,100,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-40,03_D,FC=1C=C2OCCC(C(=O)NC=3C=NC=C4C=CC=CC34)C2=CC1Cl,"6-chloro-7-fluoro-N-(isoquinolin-4-yl)-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H2873913,
MAT-POS-1f3f1a6f-3,Z4898404688,C19H15Cl2N3O2,Racemic or presumed racemic or meso,388.247,90.94,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-40,03_E,CC(=O)NC(C(=O)NC=1C=NC=C2C=CC=CC12)C=3C=CC(Cl)=C(Cl)C3,"2-(3,4-dichlorophenyl)-2-acetamido-N-(isoquinolin-4-yl)acetamide",H2878469,
JOH-UNI-23d9e1b1-1,Z4911768742,C14H17ClN2O2,Achiral,280.749,,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-40,03_F,CC(=O)C(=O)N1CCN(CC=2C=CC=C(Cl)C2)CC1,"1-{4-[(3-chlorophenyl)methyl]piperazin-1-yl}propane-1,2-dione",T4065199,
JOH-UNI-61f30276-2,Z1497331470,C15H10F3N3O,Achiral,305.254,,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-40,03_G,FC(F)(F)C=1C=CC=C(CC2=NC=3C=NC=CC3C(=O)N2)C1,"2-{[3-(trifluoromethyl)phenyl]methyl}-3H,4H-pyrido[3,4-d]pyrimidin-4-one",T4065197,
JOH-UNI-abfda500-7,Z1227699908,C15H11F3N2O3,Achiral,324.254,,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-40,03_H,OC(=O)C=1C=CN=CC1NC(=O)CC=2C=CC=C(C2)C(F)(F)F,3-{2-[3-(trifluoromethyl)phenyl]acetamido}pyridine-4-carboxylic acid,T8728563,
MAT-POS-de59a476-2,Z4898404663,C18H14Cl2N2O2,Racemic or presumed racemic or meso,361.221,95.3,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-40,03_I,COC(C(=O)NC=1C=NC=C2C=CC=CC12)C=3C=CC(Cl)=C(Cl)C3,"2-(3,4-dichlorophenyl)-N-(isoquinolin-4-yl)-2-methoxyacetamide",H2871372,
MAT-POS-fce787c2-2,Z4897373826,C17H12Cl2N2O,Achiral,331.195,100,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-40,03_J,ClC=1C=C(Cl)C=C(CC(=O)NC=2C=NC=C3C=CC=CC23)C1,"2-(3,5-dichlorophenyl)-N-(isoquinolin-4-yl)acetamide",H2865148,
JOH-UNI-61f30276-3,Z4911761842,C14H10F5N3OS,Achiral,363.305,,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-40,03_K,FS(F)(F)(F)(F)C=1C=CC=C(CC2=NC=3C=NC=CC3C(=O)N2)C1,"2-{[3-(pentafluoro-??-sulfanyl)phenyl]methyl}-3H,4H-pyrido[3,4-d]pyrimidin-4-one",T8728599,
ANN-UNI-98d2bf15-1,Z1124501348,C14H15N3O,Achiral,241.288,,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-40,03_L,CC=1C=CN=CC1NC(=O)CC=2C=CC=CC2N,2-(2-aminophenyl)-N-(4-methylpyridin-3-yl)acetamide,T8728583,
rel-EDG-MED-5d232de5-2,Z4906876476,C19H14ClFN2O2,Single known enantiomer,356.778,100,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-40,03_M,"FC=1C=CC=2C=NC=C(NC(=O)[C@H]3CCOC=4C=CC(Cl)=CC34)C2C1 |o1:12,r|","rel-(4R)-6-chloro-N-(6-fluoroisoquinolin-4-yl)-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H2877391,
rel-EDG-MED-5d232de5-1,Z4906876471,C19H14ClFN2O2,Single known enantiomer,356.778,100,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-40,03_N,"FC=1C=CC=2C=NC=C(NC(=O)[C@@H]3CCOC=4C=CC(Cl)=CC34)C2C1 |o1:12,r|","rel-(4R)-6-chloro-N-(6-fluoroisoquinolin-4-yl)-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H2877390,
MAT-POS-f9802937-7,Z4860890017,C20H17ClN2O3,Racemic or presumed racemic or meso,368.813,96,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-40,03_O,COC=1C=CC=2C=NC=C(NC(=O)C3CCOC=4C=CC(Cl)=CC34)C2C1,"6-chloro-N-(6-methoxyisoquinolin-4-yl)-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H2849587,
rel-VLA-UCB-34f3ed0c-11,Z4906876468,C20H14ClN3O3,Single known enantiomer,379.796,100,200415-FTE / COVID-19,,,0,40,20,1178796-Y40-40,03_P,"ClC=1C=CC=2OCC[C@]3(NC(=O)N(C3=O)C=4C=NC=C5C=CC=CC45)C2C1 |o1:8,r|","rel-(4R)-6-chloro-1'-(isoquinolin-4-yl)-2,3-dihydrospiro[1-benzopyran-4,4'-imidazolidine]-2',5'-dione",H2877392,
