shipment_ID,catalog_ID,Formula,stereochemistry,sample_MW,purity,PO,Salt_Name,Salt_ratio,MW_salt,volume(uL),concentration(mM),plate_ID,well,SMILES,Name,Batch ID
rel-MAT-POS-f9802937-4,Z4909940776,C23H22ClN3O3,Single unknown enantiomer,423.892,100,200415-FTE / COVID-19,,,0,40,20,1234875-Y40-12,03_A,"CN(C)C(=O)C[C@]1(CCOC=2C=CC(Cl)=CC21)C(=O)NC=3C=NC=C4C=CC=CC34 |o1:6,r|","rel-(4R)-6-chloro-4-[(dimethylcarbamoyl)methyl]-N-(isoquinolin-4-yl)-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H2884510
rel-MAT-POS-f9802937-3,Z4909940775,C23H22ClN3O3,Single unknown enantiomer,423.892,100,200415-FTE / COVID-19,,,0,40,20,1234875-Y40-12,03_B,"CN(C)C(=O)C[C@@]1(CCOC=2C=CC(Cl)=CC21)C(=O)NC=3C=NC=C4C=CC=CC34 |o1:6,r|","rel-(4R)-6-chloro-4-[(dimethylcarbamoyl)methyl]-N-(isoquinolin-4-yl)-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H2884511
MAT-POS-fce787c2-6,Z4897373830,C17H10Cl2F2N2O,Achiral,367.176,100,200415-FTE / COVID-19,,,0,40,20,1234875-Y40-12,03_C,FC(F)(C(=O)NC=1C=NC=C2C=CC=CC12)C=3C=CC(Cl)=C(Cl)C3,"2-(3,4-dichlorophenyl)-2,2-difluoro-N-(isoquinolin-4-yl)acetamide",H2891407
ALP-POS-c3a96089-4,Z4878360708,C25H21ClN4O2,Achiral,444.912,100,200415-FTE / COVID-19,,,0,40,20,1234875-Y40-12,03_D,CC(=O)NC=1C=CC(=CN1)N(CC=2C=CC=C(Cl)C2)C(=O)CC=3C=NC=C4C=CC=CC34,N-[(3-chlorophenyl)methyl]-N-(6-acetamidopyridin-3-yl)-2-(isoquinolin-4-yl)acetamide,H2891093
MAT-POS-de59a476-4,Z4898404665,C20H18Cl2N2O3,Racemic or presumed racemic or meso,405.274,100,200415-FTE / COVID-19,,,0,40,20,1234875-Y40-12,03_E,COCCOC(C(=O)NC=1C=NC=C2C=CC=CC12)C=3C=CC(Cl)=C(Cl)C3,"2-(3,4-dichlorophenyl)-N-(isoquinolin-4-yl)-2-(2-methoxyethoxy)acetamide",H2891097
MAT-POS-5d65ec79-2,Z4886054152,C22H20ClN3O3,Racemic or presumed racemic or meso,409.865,95.07,200415-FTE / COVID-19,,,0,40,20,1234875-Y40-12,03_F,CNC(=O)CC1(CCOC=2C=CC(Cl)=CC21)C(=O)NC=3C=NC=C4C=CC=CC34,"6-chloro-N-(isoquinolin-4-yl)-4-[(methylcarbamoyl)methyl]-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H2874878
MAT-POS-fce787c2-8,Z4897373832,C18H11Cl2N3O,Racemic or presumed racemic or meso,356.205,87.13,200415-FTE / COVID-19,,,0,40,20,1234875-Y40-12,03_G,ClC=1C=CC(=CC1Cl)C(C#N)C(=O)NC=2C=NC=C3C=CC=CC23,"2-cyano-2-(3,4-dichlorophenyl)-N-(isoquinolin-4-yl)acetamide",H2895888
rel-EDG-MED-5d232de5-5,Z4906876485,C20H18ClN3O,Single unknown enantiomer,351.829,100,200415-FTE / COVID-19,,,0,40,20,1234875-Y40-12,03_H,"CN1CC[C@H](C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=C(Cl)C=CC14 |o1:4,r|","rel-(4R)-6-chloro-N-(isoquinolin-4-yl)-1-methyl-1,2,3,4-tetrahydroquinoline-4-carboxamide",H2887734
rel-EDG-MED-5d232de5-6,Z4906876482,C20H18ClN3O,Single unknown enantiomer,351.829,100,200415-FTE / COVID-19,,,0,40,20,1234875-Y40-12,03_I,"CN1CC[C@@H](C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=C(Cl)C=CC14 |o1:4,r|","rel-(4R)-6-chloro-N-(isoquinolin-4-yl)-1-methyl-1,2,3,4-tetrahydroquinoline-4-carboxamide",H2887735
MAT-POS-1f3f1a6f-4,Z4898404689,C21H19Cl2N3O,Racemic or presumed racemic or meso,400.301,97.87,200415-FTE / COVID-19,,,0,40,20,1234875-Y40-12,03_J,ClC=1C=CC(=CC1Cl)C(NCC2CC2)C(=O)NC=3C=NC=C4C=CC=CC34,"2-[(cyclopropylmethyl)amino]-2-(3,4-dichlorophenyl)-N-(isoquinolin-4-yl)acetamide",H2888602
