shipment_ID,catalog_ID,Formula,stereochemistry,sample_MW,purity,PO,Salt_Name,Salt_ratio,MW_salt,volume(uL),concentration(mM),plate_ID,well,SMILES,Name,Batch ID,"Amount, mg"
CVD-0004255-2,Z4908673280,C28H30FN3O2,Single unknown enantiomer,459.555,100,200415-FTE / COVID-19,,,0,40,20,1234875-Y40-14,03_A,CC(C)(C)C=1C=CC(=CC1)N([C@@H](C(=O)NCCC=2C=CC=C(F)C2)C=3C=CC=NC3)C(=O)C=C,N-(4-tert-butylphenyl)-N-[(R)-{[2-(3-fluorophenyl)ethyl]carbamoyl}(pyridin-3-yl)methyl]prop-2-enamide,H2877500,
EDJ-MED-37aac4bd-2,Z4917828870,C21H18Cl2N2O3,Racemic or presumed racemic or meso,417.285,100,200415-FTE / COVID-19,,,0,40,20,1234875-Y40-14,03_B,COCC1(CCOC=2C=C(Cl)C(Cl)=CC21)C(=O)NC=3C=NC=C4C=CC=CC34,"6,7-dichloro-N-(isoquinolin-4-yl)-4-(methoxymethyl)-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H2935788,
rel-EDJ-MED-d08626de-3,Z4920218481,C20H16Cl2N2O3,Single unknown enantiomer,403.258,100,200415-FTE / COVID-19,,,0,40,20,1234875-Y40-14,03_C,"CO[C@@]1(CCOC=2C=C(Cl)C(Cl)=CC21)C(=O)NC=3C=NC=C4C=CC=CC34 |o1:2,r|","rel-(4R)-6,7-dichloro-N-(isoquinolin-4-yl)-4-methoxy-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H2937163,
rel-EDJ-MED-d08626de-4,Z4920218312,C20H16Cl2N2O3,Single unknown enantiomer,403.258,98.95,200415-FTE / COVID-19,,,0,40,20,1234875-Y40-14,03_D,"CO[C@]1(CCOC=2C=C(Cl)C(Cl)=CC21)C(=O)NC=3C=NC=C4C=CC=CC34 |o1:2,r|","rel-(4R)-6,7-dichloro-N-(isoquinolin-4-yl)-4-methoxy-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H2937159,
CVD-0004255-1,Z4912275806,C28H30FN3O2,Single unknown enantiomer,459.555,100,200415-FTE / COVID-19,,,0,40,20,1234875-Y40-14,03_E,"CC(C)(C)C=1C=CC(=CC1)N([C@H](C(=O)NCCC=2C=CC=C(F)C2)C=3C=CC=NC3)C(=O)C=C |o1:11,r|",rel-N-(4-tert-butylphenyl)-N-[(R)-{[2-(3-fluorophenyl)ethyl]carbamoyl}(pyridin-3-yl)methyl]prop-2-enamide,H2877501,
ALP-UNI-3496895b-10,Z4914835008,C28H29ClF2N4O4,Racemic or presumed racemic or meso,559.004,81.14,200415-FTE / COVID-19,,,0,40,20,1234875-Y40-14,03_F,OCC(F)(F)CN1CCN(CC1)C(=O)CC2(CCOC=3C=CC(Cl)=CC32)C(=O)NC=4C=NC=C5C=CC=CC45,"6-chloro-4-{2-[4-(2,2-difluoro-3-hydroxypropyl)piperazin-1-yl]-2-oxoethyl}-N-(isoquinolin-4-yl)-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H2927995,
EDJ-MED-ee07cf00-1,Z4912983632,C24H20ClN5O4,Racemic or presumed racemic or meso,477.899,91.03,200415-FTE / COVID-19,,,0,40,20,1234875-Y40-14,03_G,CN1C(=O)C=CN(CC(=O)NC(C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=CC=C(Cl)C4)C1=O,"2-(3-chlorophenyl)-N-(isoquinolin-4-yl)-2-[2-(3-methyl-2,4-dioxo-1,2,3,4-tetrahydropyrimidin-1-yl)acetamido]acetamide",H2928337,
EDJ-MED-ee07cf00-9,Z4912983652,C26H20ClN7O2,Racemic or presumed racemic or meso,497.935,84.37,200415-FTE / COVID-19,,,0,40,20,1234875-Y40-14,03_H,ClC=1C=CC=C(C1)C(NC(=O)CN2N=NC(=N2)C=3C=CC=CC3)C(=O)NC=4C=NC=C5C=CC=CC45,"2-(3-chlorophenyl)-N-(isoquinolin-4-yl)-2-[2-(5-phenyl-2H-1,2,3,4-tetrazol-2-yl)acetamido]acetamide",H2928997,
EDJ-MED-ee07cf00-3,Z4912983636,C25H20ClN7O3,Racemic or presumed racemic or meso,501.924,85.57,200415-FTE / COVID-19,,,0,40,20,1234875-Y40-14,03_I,CN1N=CC=2C(=O)N(CC(=O)NC(C(=O)NC=3C=NC=C4C=CC=CC34)C=5C=CC=C(Cl)C5)C=NC12,"2-(3-chlorophenyl)-N-(isoquinolin-4-yl)-2-(2-{1-methyl-4-oxo-1H,4H,5H-pyrazolo[3,4-d]pyrimidin-5-yl}acetamido)acetamide",H2928344,
EDJ-MED-ee07cf00-8,Z4912983650,C24H17ClN6O4,Racemic or presumed racemic or meso,488.882,100,200415-FTE / COVID-19,,,0,40,20,1234875-Y40-14,03_J,ClC=1C=CC=C(C1)C(NC(=O)CN2C=C(C#N)C(=O)NC2=O)C(=O)NC=3C=NC=C4C=CC=CC34,"2-(3-chlorophenyl)-2-[2-(5-cyano-2,4-dioxo-1,2,3,4-tetrahydropyrimidin-1-yl)acetamido]-N-(isoquinolin-4-yl)acetamide",H2928347,
