shipment_ID,catalog_ID,Formula,stereochemistry,sample_MW,purity,PO,Salt_Name,Salt_ratio,MW_salt,volume(uL),concentration(mM),plate_ID,well,SMILES,Name,Batch ID,"Amount, mg"
MAT-POS-5369c344-5,Z4949565735,C25H20ClN3O3,Racemic or presumed racemic or meso,445.897,96.43,200415-FTE / COVID-19,,,0,4,100,1181202-Y4-43,05_A,ClC=1C=C(OCC=2C=CC=CN2)C=3OCCC(C(=O)NC=4C=NC=C5C=CC=CC45)C3C1,"6-chloro-N-(isoquinolin-4-yl)-8-[(pyridin-2-yl)methoxy]-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H3035405,
MAT-POS-5369c344-6,Z4949565736,C25H20ClN3O3,Racemic or presumed racemic or meso,445.897,94.81,200415-FTE / COVID-19,,,0,4,100,1181202-Y4-43,05_B,ClC=1C=C(OCC=2C=CC=NC2)C=3OCCC(C(=O)NC=4C=NC=C5C=CC=CC45)C3C1,"6-chloro-N-(isoquinolin-4-yl)-8-[(pyridin-3-yl)methoxy]-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H3035401,
DAR-DIA-0587064e-15,Z4949565731,C23H21ClN2O3,Racemic or presumed racemic or meso,408.877,100,200415-FTE / COVID-19,,,0,4,100,1181202-Y4-43,05_C,ClC=1C=C(OCC2CC2)C=3OCCC(C(=O)NC=4C=NC=C5C=CC=CC45)C3C1,"6-chloro-8-(cyclopropylmethoxy)-N-(isoquinolin-4-yl)-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H3035398,
DAR-DIA-0587064e-12,Z4949565734,C22H21ClN2O3,Racemic or presumed racemic or meso,396.866,100,200415-FTE / COVID-19,,,0,4,100,1181202-Y4-43,05_D,CCCOC=1C=C(Cl)C=C2C(CCOC12)C(=O)NC=3C=NC=C4C=CC=CC34,"6-chloro-N-(isoquinolin-4-yl)-8-propoxy-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H3035402,
LON-WEI-9739a092-7,Z4925948222,C24H19BrClN3O,Achiral,480.784,100,200415-FTE / COVID-19,,,0,4,100,1181202-Y4-43,05_E,ClC=1C=C(CC(=O)NC=2C=NC=C3C=CC=CC23)C=C(NCC=4C=CC(Br)=CC4)C1,2-(3-{[(4-bromophenyl)methyl]amino}-5-chlorophenyl)-N-(isoquinolin-4-yl)acetamide,H3021838,
DAR-DIA-0587064e-10,Z4949565732,C22H18ClF3N2O3,Racemic or presumed racemic or meso,450.838,100,200415-FTE / COVID-19,,,0,4,100,1181202-Y4-43,05_F,FC(F)(F)CCOC=1C=C(Cl)C=C2C(CCOC12)C(=O)NC=3C=NC=C4C=CC=CC34,"6-chloro-N-(isoquinolin-4-yl)-8-(3,3,3-trifluoropropoxy)-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H3035395,
RUB-POS-1325a9ea-5,Z4951847516,C18H15ClN2O,Achiral,310.777,95.5,200415-FTE / COVID-19,,,0,4,100,1181202-Y4-43,05_G,CC=1C=CC=C2C(NC(=O)CC=3C=CC=C(Cl)C3)=CN=CC12,2-(3-chlorophenyl)-N-(8-methylisoquinolin-4-yl)acetamide,H3024035,
JIN-POS-6dc588a4-23,Z4951847511,C18H15ClN2O2,Achiral,326.776,97.46,200415-FTE / COVID-19,,,0,4,100,1181202-Y4-43,05_H,COC=1N=CC(NC(=O)CC=2C=CC=C(Cl)C2)=C3C=CC=CC13,2-(3-chlorophenyl)-N-(1-methoxyisoquinolin-4-yl)acetamide,H3034419,
SAM-UNK-2684b532-12,Z4951847500,C14H10ClF3N2O,Achiral,314.690,100,200415-FTE / COVID-19,,,0,4,100,1181202-Y4-43,05_I,FC(F)(F)C=1C=CN=CC1NC(=O)CC=2C=CC=C(Cl)C2,2-(3-chlorophenyl)-N-[4-(trifluoromethyl)pyridin-3-yl]acetamide,H3041377,
ALP-POS-fe871b40-16,Z4917828871,C19H13Cl2N3O2,Racemic or presumed racemic or meso,386.231,91,200415-FTE / COVID-19,,,0,4,100,1181202-Y4-43,05_J,ClC=1C=C2NC(=O)CC(C(=O)NC=3C=NC=C4C=CC=CC34)C2=CC1Cl,"6,7-dichloro-N-(isoquinolin-4-yl)-2-oxo-1,2,3,4-tetrahydroquinoline-4-carboxamide",H3042997,
