shipment_ID,catalog_ID,Formula,stereochemistry,sample_MW,purity,PO,Salt_Name,Salt_ratio,MW_salt,volume(uL),concentration(mM),plate_ID,well,SMILES,Name,Batch ID,"Amount, mg"
MAT-POS-4223bc15-31,Z4973388958,C22H19ClN6O3S,Racemic or presumed racemic or meso,482.942,97.85,COVID-19,,,0,4,100,1342793-Y4-01,05_A,CN1N=CC(=N1)S(=O)(=O)N2CC(C(=O)NC=3C=NC=C4C=CC=CC34)C=5C=C(Cl)C=CC5C2,"6-chloro-N-(isoquinolin-4-yl)-2-[(2-methyl-2H-1,2,3-triazol-4-yl)sulfonyl]-1,2,3,4-tetrahydroisoquinoline-4-carboxamide",H3082785,
JIN-POS-6dc588a4-21,Z4951847509,C17H13ClN2O2,Achiral,312.750,100,COVID-19,,,0,4,100,1342793-Y4-01,05_B,OC=1C=NC=2C=CC=CC2C1NC(=O)CC=3C=CC=C(Cl)C3,2-(3-chlorophenyl)-N-(3-hydroxyquinolin-4-yl)acetamide,H3092154,
KAD-UNI-cb0f2bbc-10,Z4984330302,C29H35ClN4O5,Diastereomeric mixture,555.065,97.7,COVID-19,,,0,4,100,1342793-Y4-01,05_C,CC(C)(C)OC(=O)NC(CCO)CNCC1(CCOC=2C=CC(Cl)=CC21)C(=O)NC=3C=NC=C4C=CC=CC34,"tert-butyl N-{1-[({6-chloro-4-[(isoquinolin-4-yl)carbamoyl]-3,4-dihydro-2H-1-benzopyran-4-yl}methyl)amino]-4-hydroxybutan-2-yl}carbamate",H3089909,
MAT-POS-4223bc15-12,Z4973388929,C25H23ClN4O3S,Racemic or presumed racemic or meso,494.993,100,COVID-19,,,0,4,100,1342793-Y4-01,05_D,ClC=1C=CC=2CN(CC(C(=O)NC=3C=NC=C4C=CC=CC34)C2C1)S(=O)(=O)CC5(CCC5)C#N,"6-chloro-2-[(1-cyanocyclobutyl)methanesulfonyl]-N-(isoquinolin-4-yl)-1,2,3,4-tetrahydroisoquinoline-4-carboxamide",H3086571,
MAT-POS-4223bc15-11,Z4973388925,C24H25ClN4O3S,Diastereomeric mixture,484.998,100,COVID-19,,,0,4,100,1342793-Y4-01,05_E,CC1CCN(C1)S(=O)(=O)N2CC(C(=O)NC=3C=NC=C4C=CC=CC34)C=5C=C(Cl)C=CC5C2,"6-chloro-N-(isoquinolin-4-yl)-2-[(3-methylpyrrolidin-1-yl)sulfonyl]-1,2,3,4-tetrahydroisoquinoline-4-carboxamide",H3086624,
MAT-POS-4223bc15-1,Z4973388852,C20H19ClN4O3S,Racemic or presumed racemic or meso,430.907,100,COVID-19,,,0,4,100,1342793-Y4-01,05_F,CNS(=O)(=O)N1CC(C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=C(Cl)C=CC4C1,"6-chloro-N-(isoquinolin-4-yl)-2-(methylsulfamoyl)-1,2,3,4-tetrahydroisoquinoline-4-carboxamide",H3086623,
MIC-UNK-50cce87d-3,Z4951847514,C18H15ClN2O,Achiral,310.777,96.72,COVID-19,,,0,4,100,1342793-Y4-01,05_G,CC=1C=CC=C2C=NC=C(NC(=O)CC=3C=CC=C(Cl)C3)C12,2-(3-chlorophenyl)-N-(5-methylisoquinolin-4-yl)acetamide,H3091687,
MAT-POS-4223bc15-4,Z4973388879,C22H22ClN3O4S,Racemic or presumed racemic or meso,459.945,93.9,COVID-19,,,0,4,100,1342793-Y4-01,05_H,COCCS(=O)(=O)N1CC(C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=C(Cl)C=CC4C1,"6-chloro-N-(isoquinolin-4-yl)-2-(2-methoxyethanesulfonyl)-1,2,3,4-tetrahydroisoquinoline-4-carboxamide",H3086569,
MAT-POS-e6dd326d-4,Z4973373661,C21H20ClN3O4S,Racemic or presumed racemic or meso,445.919,100,COVID-19,,,0,4,100,1342793-Y4-01,05_I,CS(=O)(=O)NCC1(CCOC=2C=CC(Cl)=CC21)C(=O)NC=3C=NC=C4C=CC=CC34,"6-chloro-N-(isoquinolin-4-yl)-4-(methanesulfonamidomethyl)-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H3090013,
MAT-POS-e6dd326d-9,Z4973373641,C22H20ClN3O3,Racemic or presumed racemic or meso,409.865,100,COVID-19,,,0,4,100,1342793-Y4-01,05_J,CC(=O)NCC1(CCOC=2C=CC(Cl)=CC21)C(=O)NC=3C=NC=C4C=CC=CC34,"6-chloro-4-(acetamidomethyl)-N-(isoquinolin-4-yl)-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H3090011,
