shipment_ID,catalog_ID,Formula,stereochemistry,sample_MW,purity,PO,Salt_Name,Salt_ratio,MW_salt,volume(uL),concentration(mM),plate_ID,well,SMILES,Name,Batch ID,"Amount, mg"
MAT-POS-bb423b95-6,Z4609618513,C17H13ClN2O2,Achiral,312.75,100,200415-FTE / COVID-19,,,0,40,20,1326826-Y40-10,03_A,ClC=1C=CC=C(CC(=O)NC2=CNC(=O)C=3C=CC=CC23)C1,"2-(3-chlorophenyl)-N-(1-oxo-1,2-dihydroisoquinolin-4-yl)acetamide",H3139927,"16,2"
ALP-POS-5de921e7-6A,Z1675810506,C16H15ClN2O3,Racemic or presumed racemic or meso,318.754,"98,68",200415-FTE / COVID-19,,,0,40,20,1326826-Y40-10,03_B,CC=1C=C(O)N=CC1NC(=O)C2CCOC=3C=CC(Cl)=CC23,"6-chloro-N-(6-hydroxy-4-methylpyridin-3-yl)-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H3138779,"7,1"
MAT-POS-d8472c4f-2,Z5012003588,C24H24ClN3O4,Diastereomeric mixture,453.918,100,200415-FTE / COVID-19,,,0,40,20,1326826-Y40-10,03_C,COC(=O)[C@H]1CC[C@@H](CNC(C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=CC=C(Cl)C4)O1,"methyl (2R,5S)-5-({[(3-chlorophenyl)[(isoquinolin-4-yl)carbamoyl]methyl]amino}methyl)oxolane-2-carboxylate",H3135217,"18,6"
ALP-POS-e6e0c683-3,Z5012902030,C20H22ClN3O3S,Racemic or presumed racemic or meso,419.924,"93,55",200415-FTE / COVID-19,,,0,40,20,1326826-Y40-10,03_D,CS(=O)(=O)N1CC(C(=O)NC=2C=NC=C3CCCCC23)C=4C=C(Cl)C=CC4C1,"6-chloro-2-methanesulfonyl-N-(5,6,7,8-tetrahydroisoquinolin-4-yl)-1,2,3,4-tetrahydroisoquinoline-4-carboxamide",H3144829,"14,9"
RAL-THA-e002e396-1,Z4943083698,C21H19ClN2O4S,Racemic or presumed racemic or meso,430.904,100,200415-FTE / COVID-19,,,0,40,20,1326826-Y40-10,03_E,CS(=O)(=O)CC1(CCOC=2C=CC(Cl)=CC21)C(=O)NC=3C=NC=C4C=CC=CC34,"6-chloro-N-(isoquinolin-4-yl)-4-(methanesulfonylmethyl)-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H3149344,"36,5"
BEN-DND-03406596-3,Z5042476213,C13H16ClFN2O3S,Achiral,334.794,,200415-FTE / COVID-19,,,0,40,20,1326826-Y40-10,03_F,FC=1C=CC=C(C1)S(=O)(=O)N2CCCN(CC2)C(=O)CCl,"2-chloro-1-[4-(3-fluorobenzenesulfonyl)-1,4-diazepan-1-yl]ethan-1-one",T4065225,12
BEN-DND-03406596-2,Z5042476208,C13H15ClF2N2O3S,Achiral,352.784,,200415-FTE / COVID-19,,,0,40,20,1326826-Y40-10,03_G,FC=1C=CC=C(F)C1S(=O)(=O)N2CCCN(CC2)C(=O)CCl,"2-chloro-1-[4-(2,6-difluorobenzenesulfonyl)-1,4-diazepan-1-yl]ethan-1-one",T4065223,23
BEN-DND-03406596-6,Z5042476204,C13H15ClF2N2O3S,Achiral,352.784,,200415-FTE / COVID-19,,,0,40,20,1326826-Y40-10,03_H,FC=1C=CC(F)=C(C1)S(=O)(=O)N2CCCN(CC2)C(=O)CCl,"2-chloro-1-[4-(2,5-difluorobenzenesulfonyl)-1,4-diazepan-1-yl]ethan-1-one",T4065221,"22,8"
BEN-DND-03406596-9,Z5042476206,C13H16ClFN2O3S,Achiral,334.794,,200415-FTE / COVID-19,,,0,40,20,1326826-Y40-10,03_I,FC=1C=CC=CC1S(=O)(=O)N2CCCN(CC2)C(=O)CCl,"2-chloro-1-[4-(2-fluorobenzenesulfonyl)-1,4-diazepan-1-yl]ethan-1-one",T4065222,"20,9"
BEN-DND-03406596-5,Z5042476211,C11H15ClN2O3S2,Achiral,322.831,,200415-FTE / COVID-19,,,0,40,20,1326826-Y40-10,03_J,ClCC(=O)N1CCCN(CC1)S(=O)(=O)C2=CC=CS2,"2-chloro-1-[4-(thiophene-2-sulfonyl)-1,4-diazepan-1-yl]ethan-1-one",T4065224,24
