shipment_ID,catalog_ID,Formula,stereochemistry,sample_MW,purity,PO,Salt_Name,Salt_ratio,MW_salt,volume(uL),concentration(mM),plate_ID,well,SMILES,Name,Batch ID,"Amount, mg (left)"
PET-UNK-b1ef24dc-1,Z5032732281,C14H10ClN3O2,Achiral,287.701,98.13,200415-FTE / COVID-19,,,0,40,20,1326826-Y40-12,03_A,ClC=1C=CC=C(CC(=O)NC=2C=NC=C3C=NOC23)C1,"2-(3-chlorophenyl)-N-{[1,2]oxazolo[4,5-c]pyridin-7-yl}acetamide",H3184225,19.7
Z5051603391,Z5051603391,C16H16ClN3O2,Racemic or presumed racemic or meso,317.770,95.7,200415-FTE / COVID-19,,,0,40,20,1326826-Y40-12,03_B,CC=1C=CN=C(NC(=O)C2CCOC=3C=CC(Cl)=CC23)C1N,"N-(3-amino-4-methylpyridin-2-yl)-6-chloro-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H3136535,16.2
MAT-POS-14f31916-2,Z5012902025,C18H14ClN3O3S,Racemic or presumed racemic or meso,387.840,100,200415-FTE / COVID-19,,,0,40,20,1326826-Y40-12,03_C,NC(=O)C1=CC=2C(NC(=O)C3CCOC=4C=CC(Cl)=CC34)=CN=CC2S1,"4-(6-chloro-3,4-dihydro-2H-1-benzopyran-4-amido)thieno[2,3-c]pyridine-2-carboxamide",H3175436,9.8
BEN-DND-02317c5c-5,Z5032732286,C17H14Cl2N4O,Racemic or presumed racemic or meso,361.225,100,200415-FTE / COVID-19,,,0,40,20,1326826-Y40-12,03_D,ClC=1C=C2NCCC(C(=O)NC3=CN=C4C=CC=CN34)C2=CC1Cl,"6,7-dichloro-N-{imidazo[1,2-a]pyridin-3-yl}-1,2,3,4-tetrahydroquinoline-4-carboxamide",H3172521,44.3
MIC-UNK-50cce87d-1,Z4951847513,C17H12ClFN2O,Achiral,314.741,100,200415-FTE / COVID-19,,,0,40,20,1326826-Y40-12,03_E,FC=1C=CC=C2C=NC=C(NC(=O)CC=3C=CC=C(Cl)C3)C12,2-(3-chlorophenyl)-N-(5-fluoroisoquinolin-4-yl)acetamide,H3172523,7.3
MAT-POS-14f31916-3,Z5028563696,C19H16ClN3O3S,Racemic or presumed racemic or meso,401.866,100,200415-FTE / COVID-19,,,0,40,20,1326826-Y40-12,03_F,CNC(=O)C1=CC=2C(NC(=O)C3CCOC=4C=CC(Cl)=CC34)=CN=CC2S1,"4-(6-chloro-3,4-dihydro-2H-1-benzopyran-4-amido)-N-methylthieno[2,3-c]pyridine-2-carboxamide",H3175123,15.4
EDJ-MED-ee742daa-4,Z5032732284,C18H18ClF3N4O3S,Racemic or presumed racemic or meso,462.873,100,200415-FTE / COVID-19,,,0,40,20,1326826-Y40-12,03_G,CN(C)S(=O)(=O)N1CC(C(=O)NC=2C=NC=CC2C(F)(F)F)C=3C=C(Cl)C=CC3C1,"6-chloro-2-(dimethylsulfamoyl)-N-[4-(trifluoromethyl)pyridin-3-yl]-1,2,3,4-tetrahydroisoquinoline-4-carboxamide",H3175423,13.2
EDJ-MED-93390d0c-2,Z5012901941,C20H17ClN2O5S2,Racemic or presumed racemic or meso,464.942,97.28,200415-FTE / COVID-19,,,0,40,20,1326826-Y40-12,03_H,CS(=O)(=O)C=1C=CC=2C(NC(=O)C3CCS(=O)(=O)C=4C=CC(Cl)=CC34)=CN=CC2C1,"6-chloro-N-(7-methanesulfonylisoquinolin-4-yl)-1,1-dioxo-3,4-dihydro-2H-1??-benzothiopyran-4-carboxamide",H3190944,1.8
MAT-POS-64942dd0-3,Z4992038954,C20H17ClFN3O3S,Racemic or presumed racemic or meso,433.883,100,200415-FTE / COVID-19,,,0,40,20,1326826-Y40-12,03_I,CS(=O)(=O)N1CC(C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=C(Cl)C(F)=CC4C1,"6-chloro-7-fluoro-N-(isoquinolin-4-yl)-2-methanesulfonyl-1,2,3,4-tetrahydroisoquinoline-4-carboxamide",H3190945,1
ALP-POS-6d96567b-2,Z5064391861,C24H20Cl2N4O4,Racemic or presumed racemic or meso,499.346,80.23,200415-FTE / COVID-19,hydrogen chloride,1,36.46094,40,20,1326826-Y40-12,03_J,Cl.ClC=1C=CC=2C(CCOC2C1)C(=O)N(CC3=CNC(=O)NC3=O)C=4C=NC=C5C=CC=CC45,"7-chloro-N-[(2,4-dioxo-1,2,3,4-tetrahydropyrimidin-5-yl)methyl]-N-(isoquinolin-4-yl)-3,4-dihydro-2H-1-benzopyran-4-carboxamide hydrochloride",H3177909,4.9
MAT-POS-4223bc15-26,Z4973449328,C21H17ClF3N3O,Racemic or presumed racemic or meso,419.827,90.85,200415-FTE / COVID-19,,,0,40,20,1326826-Y40-12,03_K,FC(F)(F)CN1CC(C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=C(Cl)C=CC4C1,"6-chloro-N-(isoquinolin-4-yl)-2-(2,2,2-trifluoroethyl)-1,2,3,4-tetrahydroisoquinoline-4-carboxamide",H3177868,4.4
EDG-MED-10fcb19e-1,Z5012901942,C21H20ClN3O5S,Racemic or presumed racemic or meso,461.918,95.76,200415-FTE / COVID-19,,,0,40,20,1326826-Y40-12,03_L,COC1(CCOC=2C=CC(Cl)=CC21)C(=O)NC=3C=NC=C4C=CC(NS(=O)(=O)C)=CC34,"6-chloro-N-(6-methanesulfonamidoisoquinolin-4-yl)-4-methoxy-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H3178554,3.7
