shipment_ID,catalog_ID,Formula,stereochemistry,sample_MW,purity,PO,Salt_Name,Salt_ratio,MW_salt,volume(uL),concentration(mM),plate_ID,well,SMILES,Name,Batch ID,"Amount, mg (left)"
MAT-POS-5cd9ea36-5,Z5169210086,C26H25ClN4O3S,Racemic or presumed racemic or meso,509.019,100,COVID-19,,,0,40,20,1326826-Y40-25,03_A,ClC=1C=CC=2CN(CC(C(=O)NC=3C=NC=C4C=CC=CC34)C2C1)S(=O)(=O)CC5(CCCC5)C#N,"6-chloro-2-[(1-cyanocyclopentyl)methanesulfonyl]-N-(isoquinolin-4-yl)-1,2,3,4-tetrahydroisoquinoline-4-carboxamide",H3375756,18.2
MAT-POS-2e8b2191-10,Z5210381242,C23H24ClN5O4S,Racemic or presumed racemic or meso,501.985,100,COVID-19,,,0,40,20,1326826-Y40-25,03_B,CNC(=O)CN1CC(C(=O)NC=2C=NC=C3C=CC(NS(=O)(=O)C)=CC23)C=4C=C(Cl)C=CC4C1,"6-chloro-N-(6-methanesulfonamidoisoquinolin-4-yl)-2-[(methylcarbamoyl)methyl]-1,2,3,4-tetrahydroisoquinoline-4-carboxamide",H3377733,16.5
MAT-POS-c0609ef7-1,Z5169210186,C18H13ClF2N2O,Achiral,346.758,100,COVID-19,,,0,40,20,1326826-Y40-25,03_C,FC(F)C=1C=CC=2C(NC(=O)CC=3C=CC=C(Cl)C3)=CN=CC2C1,2-(3-chlorophenyl)-N-[7-(difluoromethyl)isoquinolin-4-yl]acetamide,H3375583,32.2
MAT-POS-2e8b2191-12,Z5210381244,C23H21ClN4O5S,Racemic or presumed racemic or meso,500.954,100,COVID-19,,,0,40,20,1326826-Y40-25,03_D,CNC(=O)CN1CC(C(=O)NC=2C=NC=C3C=C(C=CC23)S(=O)(=O)C)C=4C=C(Cl)C=CC4C1=O,"6-chloro-N-(7-methanesulfonylisoquinolin-4-yl)-2-[(methylcarbamoyl)methyl]-1-oxo-1,2,3,4-tetrahydroisoquinoline-4-carboxamide",H3377334,13.3
MAT-POS-c20a539d-4,Z5210381247,C20H19ClN2O2,Achiral,354.830,100,COVID-19,,,0,40,20,1326826-Y40-25,03_E,CC(C)(O)C=1C=CC=2C(NC(=O)CC=3C=CC=C(Cl)C3)=CN=CC2C1,2-(3-chlorophenyl)-N-[7-(2-hydroxypropan-2-yl)isoquinolin-4-yl]acetamide,H3373923,37
MAT-POS-c20a539d-7,Z5210381249,C19H18ClN3O3S,Achiral,403.882,100,COVID-19,,,0,40,20,1326826-Y40-25,03_F,CCS(=O)(=O)NC=1C=CC=2C=NC=C(NC(=O)CC=3C=CC=C(Cl)C3)C2C1,2-(3-chlorophenyl)-N-(6-ethanesulfonamidoisoquinolin-4-yl)acetamide,H3379239,76.9
EDJ-MED-6e43a462-2,Z5115885790,C16H14ClN3O2,Achiral,315.754,98.93,COVID-19,,,0,40,20,1326826-Y40-25,03_G,COC=1C=CC2=NC=C(NC(=O)CC=3C=CC=C(Cl)C3)N2C1,"2-(3-chlorophenyl)-N-{6-methoxyimidazo[1,2-a]pyridin-3-yl}acetamide",H3373930,324.5
MIC-UNK-50cce87d-2,Z5210381241,C17H12Cl2N2O,Achiral,331.195,100,COVID-19,,,0,40,20,1326826-Y40-25,03_H,ClC=1C=CC=C(CC(=O)NC=2C=NC=C3C=CC=C(Cl)C23)C1,N-(5-chloroisoquinolin-4-yl)-2-(3-chlorophenyl)acetamide,H3384766,24.5
ALP-POS-a577c8a2-1,Z5207980938,C18H14ClN3O3S,Racemic or presumed racemic or meso,387.840,100,COVID-19,,,0,40,20,1326826-Y40-25,03_I,ClC=1C=CC2=C(C1)C(CNS2(=O)=O)C(=O)NC=3C=NC=C4C=CC=CC34,"6-chloro-N-(isoquinolin-4-yl)-1,1-dioxo-3,4-dihydro-2H-1??,2-benzothiazine-4-carboxamide",H3384123,34.9
ALP-POS-6f6ae286-5,Z5210381224,C22H20ClFN4O2,Racemic or presumed racemic or meso,426.871,97.91,COVID-19,,,0,40,20,1326826-Y40-25,03_J,CNC(=O)CN1CC(C(=O)NC=2C=NC=C3C=C(F)C=CC23)C=4C=C(Cl)C=CC4C1,"6-chloro-N-(7-fluoroisoquinolin-4-yl)-2-[(methylcarbamoyl)methyl]-1,2,3,4-tetrahydroisoquinoline-4-carboxamide",H3388622,18.1
